po_line_id,po_id,item_id,po_date,supplier_id,quantity_ordered,quantity_received,unit_cost,line_total,unit_of_measure,line_status
POL-83741,PO-20364,ITM-8327,2024-01-15,SUP-5538,500,500,12.75,6375.0,EA,Closed
POL-29384,PO-65480,ITM-8327,2024-01-15,SUP-7781,200,200,48.5,9700.0,EA,Closed
POL-57203,PO-82359,ITM-1247,2024-02-03,SUP-4456,1000,1000,3.2,3200.0,KG,Closed
POL-64819,PO-82359,ITM-5067,2024-02-03,SUP-7781,350,300,22.4,7840.0,EA,Partially Received
POL-13056,PO-11596,ITM-2764,2024-02-18,SUP-4821,75,75,215.0,16125.0,EA,Closed
POL-90472,PO-49712,ITM-8327,2024-03-07,SUP-5538,600,600,8.9,5340.0,LB,Closed
POL-37614,PO-28940,ITM-6389,2024-03-07,SUP-3812,120,0,135.6,16272.0,EA,Cancelled
POL-48293,PO-20364,ITM-8327,2024-03-22,SUP-4821,2500,2500,1.85,4625.0,M,Closed
POL-71905,PO-53867,ITM-8327,2024-04-10,SUP-2193,400,400,67.25,26900.0,EA,Closed
POL-25837,PO-96174,ITM-6603,2024-04-10,SUP-7781,180,180,92.0,16560.0,EA,Closed
POL-63480,PO-28940,ITM-2931,2024-04-28,SUP-9057,800,750,5.4,4320.0,KG,Partially Received
POL-19274,PO-38472,ITM-2764,2024-05-14,SUP-3812,55,55,480.0,26400.0,EA,Closed
POL-84503,PO-11596,ITM-8327,2024-05-29,SUP-9057,3000,3000,0.95,2850.0,EA,Closed
POL-32761,PO-38472,ITM-7394,2024-06-11,SUP-5538,90,90,310.5,27945.0,EA,Closed
POL-57038,PO-15293,ITM-9173,2024-06-25,SUP-5538,450,450,18.75,8437.5,EA,Closed
POL-96142,PO-89432,ITM-2764,2024-07-08,SUP-2193,1200,600,4.6,5520.0,L,Partially Received
POL-40875,PO-44280,ITM-8327,2024-07-22,SUP-7781,250,250,56.8,14200.0,EA,Closed
POL-73619,PO-29573,ITM-5941,2024-08-05,SUP-4456,700,700,11.3,7910.0,KG,Closed
POL-21487,PO-38472,ITM-1247,2024-08-19,SUP-9057,160,160,175.0,28000.0,EA,Closed
POL-58394,PO-28940,ITM-5941,2024-09-02,SUP-3309,500,0,7.15,3575.0,EA,Open
POL-87023,PO-34819,ITM-4172,2024-09-16,SUP-3812,320,320,13.4,4288.0,EA,Closed
POL-34256,PO-37026,ITM-6603,2024-10-01,SUP-3812,100,80,52.0,5200.0,EA,Partially Received
POL-69781,PO-47205,ITM-8327,2024-10-14,SUP-5538,60,60,228.9,13734.0,EA,Closed
POL-15904,PO-82359,ITM-9173,2024-10-28,SUP-7781,900,0,2.75,2475.0,KG,Open
POL-42637,PO-28940,ITM-4172,2024-11-05,SUP-4456,430,430,9.5,4085.0,LB,Closed
POL-78312,PO-95037,ITM-7394,2024-11-19,SUP-5102,1800,1800,2.1,3780.0,M,Closed
POL-53890,PO-20364,ITM-8327,2024-12-03,SUP-2967,275,0,34.2,9405.0,EA,Open
POL-26049,PO-78346,ITM-1247,2024-12-17,SUP-8390,140,70,72.0,10080.0,EA,Partially Received
