fulfillment_event_id,event_date,order_id,warehouse_id,item_id,event_type,fulfillment_status,quantity_requested,quantity_fulfilled,fulfillment_rate,processing_time_mins,operator_id
FEV-83741,2026-09-01,ORD-49283,WH-1042,ITM-77531,Receive,Pending,120,120,100.0,18,OPR-3041
FEV-29104,2026-09-01,ORD-61847,WH-2315,ITM-44892,Pack,Cancelled,48,48,100.0,12,OPR-1728
FEV-57832,2026-09-01,ORD-30571,WH-0873,ITM-23014,Receive,Partially Fulfilled,200,195,97.5,35,OPR-5512
FEV-14673,2026-09-01,ORD-84920,WH-1042,ITM-60347,Receive,Pending,500,380,76.0,52,OPR-2894
FEV-93287,2026-09-01,ORD-17643,WH-3701,ITM-88103,Ship,Partially Fulfilled,75,75,100.0,22,OPR-6134
FEV-46019,2026-09-01,ORD-55209,WH-2315,ITM-31748,Ship,Cancelled,90,0,0.0,5,OPR-4477
FEV-72548,2026-09-01,ORD-22781,WH-0873,ITM-50291,Ship,Completed,36,36,100.0,9,OPR-3041
FEV-38261,2026-08-27,ORD-70435,WH-1042,ITM-14672,Receive,Partially Fulfilled,1000,1000,100.0,88,OPR-1728
FEV-61493,2026-08-19,ORD-39104,WH-3701,ITM-72839,Pack,Cancelled,250,250,100.0,41,OPR-5512
FEV-20847,2026-08-11,ORD-91723,WH-2315,ITM-39485,Ship,Cancelled,60,0,0.0,7,OPR-2894
FEV-84710,2026-07-30,ORD-48361,WH-0873,ITM-61024,Pack,Cancelled,144,140,97.2,27,OPR-6134
FEV-53902,2026-07-14,ORD-63812,WH-1042,ITM-27563,Receive,Cancelled,800,620,77.5,74,OPR-4477
FEV-17364,2026-06-28,ORD-27594,WH-3701,ITM-83910,Ship,Completed,55,55,100.0,15,OPR-3041
FEV-40825,2026-06-15,ORD-10492,WH-2315,ITM-44021,Pick,Cancelled,300,300,100.0,48,OPR-1728
FEV-68391,2026-05-22,ORD-75831,WH-0873,ITM-56784,Receive,Cancelled,72,68,94.4,19,OPR-5512
FEV-91047,2026-05-08,ORD-34019,WH-1042,ITM-18349,Pick,Completed,650,650,100.0,95,OPR-2894
FEV-25736,2026-04-17,ORD-58247,WH-3701,ITM-70456,Pack,Completed,180,175,97.2,33,OPR-6134
FEV-79182,2026-03-31,ORD-82650,WH-2315,ITM-29037,Receive,Pending,420,420,100.0,61,OPR-4477
FEV-34508,2026-03-10,ORD-19374,WH-0873,ITM-65812,Pack,Completed,96,72,75.0,24,OPR-3041
FEV-62847,2026-02-18,ORD-47082,WH-1042,ITM-41293,Pick,Completed,1200,1200,100.0,130,OPR-1728
FEV-11593,2026-01-25,ORD-65910,WH-3701,ITM-87634,Receive,Completed,88,88,100.0,20,OPR-5512
FEV-47206,2026-01-09,ORD-28463,WH-2315,ITM-53027,Pick,Completed,160,155,96.9,43,OPR-2894
FEV-85319,2025-11-14,ORD-71839,WH-0873,ITM-36481,Receive,Partially Fulfilled,240,240,100.0,55,OPR-6134
FEV-30742,2025-08-03,ORD-53718,WH-1042,ITM-92047,Pick,Cancelled,700,490,70.0,110,OPR-4477
FEV-58163,2024-12-19,ORD-36592,WH-3701,ITM-15873,Pack,Cancelled,320,316,98.8,47,OPR-3041
