shipment_id,po_id,supplier_id,shipment_date,expected_arrival_date,actual_arrival_date,destination_warehouse_id,carrier,shipment_status,freight_cost,total_weight_kg,is_late
SHP-83421,PO-96174,SUP-6640,2024-01-08,2024-01-15,2024-01-16,WH-5537,FedEx Freight,Delivered,2847.5,1240.5,True
SHP-61739,PO-28940,SUP-9057,2024-02-14,2024-02-21,2024-02-20,WH-2095,UPS Supply Chain,Delivered,5312.0,3450.0,False
SHP-49205,PO-49712,SUP-5538,2024-03-03,2024-03-10,2024-03-10,WH-5537,XPO Logistics,Delivered,1875.25,890.0,False
SHP-72814,PO-74831,SUP-1475,2024-03-18,2024-03-25,2024-03-29,WH-9142,Old Dominion Freight,Delivered,4120.75,2670.3,True
SHP-30586,PO-37026,SUP-2967,2024-04-05,2024-04-12,2024-04-11,WH-4821,Estes Express Lines,Delivered,3560.0,1980.0,False
SHP-15947,PO-11596,SUP-4821,2024-04-22,2024-04-29,2024-05-03,WH-5537,Saia LTL Freight,Delivered,6890.5,4310.8,True
SHP-58372,PO-15293,SUP-1475,2024-05-10,2024-05-17,2024-05-17,WH-5537,FedEx Freight,Delivered,2230.0,760.5,False
SHP-94613,PO-74831,SUP-6640,2024-05-28,2024-06-04,2024-06-07,WH-2095,Werner Enterprises,Delivered,7450.25,5120.0,True
SHP-27481,PO-83916,SUP-5538,2024-06-12,2024-06-19,2024-06-18,WH-5537,UPS Supply Chain,Delivered,3140.75,1650.2,False
SHP-63850,PO-78346,SUP-3812,2024-06-29,2024-07-06,2024-07-06,WH-5537,XPO Logistics,Delivered,4875.0,2950.7,False
SHP-41097,PO-13847,SUP-5538,2024-07-15,2024-07-22,2024-07-25,WH-7364,Old Dominion Freight,Delivered,5640.5,3780.4,True
SHP-78364,PO-49712,SUP-7781,2024-08-02,2024-08-09,2024-08-09,WH-5537,Estes Express Lines,Delivered,1980.0,620.0,False
SHP-52930,PO-13847,SUP-5102,2024-08-19,2024-08-26,,WH-9142,Saia LTL Freight,In Transit,3320.75,2100.1,False
SHP-19485,PO-29573,SUP-3309,2024-09-05,2024-09-12,2024-09-14,WH-5537,FedEx Freight,Delivered,8120.0,5870.6,True
SHP-86742,PO-13847,SUP-4821,2024-09-22,2024-09-29,2024-09-28,WH-7364,Werner Enterprises,Delivered,2760.25,1340.9,False
SHP-34167,PO-41685,SUP-6640,2024-10-08,2024-10-15,,WH-5537,UPS Supply Chain,In Transit,4450.0,2840.0,False
SHP-70523,PO-37026,SUP-5538,2024-10-25,2024-11-01,2024-11-05,WH-2095,XPO Logistics,Delivered,6215.5,4095.3,True
SHP-23896,PO-41685,SUP-1475,2024-11-12,2024-11-19,2024-11-19,WH-5537,Old Dominion Freight,Delivered,3890.75,2215.6,False
SHP-57314,PO-89432,SUP-4821,2024-11-29,2024-12-06,,WH-5537,Estes Express Lines,Pending,1540.0,480.0,False
SHP-92047,PO-65480,SUP-5102,2024-12-10,2024-12-17,2024-12-20,WH-5537,Saia LTL Freight,Delivered,7830.0,5450.2,True
SHP-45681,PO-13847,SUP-8823,2025-01-06,2025-01-13,2025-01-13,WH-5537,FedEx Freight,Delivered,2995.5,1720.8,False
SHP-68139,PO-13847,SUP-3812,2025-01-22,2025-01-29,,WH-5537,Werner Enterprises,In Transit,5175.25,3360.0,False
SHP-13762,PO-29573,SUP-3812,2025-02-08,2025-02-15,2025-02-18,WH-4821,UPS Supply Chain,Delivered,9240.0,6780.4,True
SHP-80475,PO-96174,SUP-4456,2025-02-25,2025-03-04,2025-03-04,WH-9142,XPO Logistics,Delivered,4680.75,3030.1,False
SHP-36908,PO-11596,SUP-5538,2025-03-14,2025-03-21,,WH-4821,Old Dominion Freight,Pending,3105.0,1895.5,False
