proposal_id,proposal_date,item_id,supplier_id,warehouse_id,proposal_status,proposal_source,current_qty_on_hand,reorder_point_qty,proposed_order_qty,estimated_total_cost,po_id,is_auto_generated
PROP-38471,2024-01-15,ITM-5941,SUP-4456,WH-2095,Approved,MRP,142,200,500,18750.0,PO-50921,True
PROP-72916,2024-02-03,ITM-5812,SUP-5102,WH-7364,Pending,Manual,87,150,300,9420.0,PO-37026,False
PROP-53084,2024-02-18,ITM-3405,SUP-1475,WH-7364,Converted,MRP,55,100,750,34500.0,PO-95037,True
PROP-61843,2024-03-07,ITM-7216,SUP-7364,WH-4821,Cancelled,Demand Forecast,310,250,400,12800.0,PO-50921,True
PROP-29457,2024-03-22,ITM-5067,SUP-7364,WH-4821,Approved,MRP,66,120,600,27300.0,PO-38472,True
PROP-84620,2024-04-10,ITM-3648,SUP-5102,WH-9142,Pending,Manual,205,300,450,22050.0,PO-20364,False
PROP-17395,2024-04-28,ITM-8740,SUP-3309,WH-9142,Converted,MRP,38,80,1000,47500.0,PO-20364,True
PROP-46812,2024-05-14,ITM-5067,SUP-2193,WH-4821,Approved,Demand Forecast,174,200,350,15750.0,PO-29573,True
PROP-93271,2024-05-29,ITM-4172,SUP-5538,WH-4821,Pending,MRP,92,175,800,56000.0,PO-82359,True
PROP-35609,2024-06-11,ITM-6603,SUP-9057,WH-2095,Converted,Manual,47,100,500,21500.0,PO-37026,False
PROP-78043,2024-06-25,ITM-7216,SUP-2193,WH-5537,Approved,MRP,130,180,600,31800.0,PO-89432,True
PROP-21584,2024-07-08,ITM-2056,SUP-4456,WH-9142,Pending,Demand Forecast,260,300,400,19200.0,PO-13847,True
PROP-64937,2024-07-22,ITM-5812,SUP-8823,WH-4821,Cancelled,Manual,410,350,250,8750.0,PO-15293,False
PROP-50281,2024-08-05,ITM-7216,SUP-7781,WH-4821,Converted,MRP,73,140,900,63000.0,PO-28940,True
PROP-39716,2024-08-19,ITM-9854,SUP-8390,WH-9142,Approved,Demand Forecast,115,160,700,42700.0,PO-78346,True
PROP-82450,2024-09-03,ITM-4172,SUP-5538,WH-7364,Pending,MRP,198,220,550,24750.0,PO-11596,True
PROP-15867,2024-09-17,ITM-5067,SUP-9057,WH-9142,Converted,Manual,29,75,1200,78000.0,PO-34819,False
PROP-73124,2024-10-02,ITM-5812,SUP-9057,WH-2095,Approved,MRP,183,250,650,35750.0,PO-67843,True
PROP-48392,2024-10-16,ITM-6603,SUP-4456,WH-4821,Pending,Demand Forecast,61,110,850,59500.0,PO-50921,True
PROP-96057,2024-10-30,ITM-9173,SUP-3812,WH-9142,Converted,MRP,44,90,950,52250.0,PO-34819,True
PROP-27683,2024-11-12,ITM-5067,SUP-5538,WH-9142,Approved,Manual,167,200,480,17280.0,PO-13847,False
PROP-61290,2024-11-26,ITM-4821,SUP-5102,WH-7364,Pending,MRP,102,160,720,43200.0,PO-96174,True
PROP-34815,2024-12-09,ITM-2764,SUP-8823,WH-2095,Approved,Demand Forecast,78,130,550,29700.0,PO-53867,True
