inventory_id,warehouse_id,sku_code,commodity_category,storage_zone,is_quarantined,quantity_on_hand,quantity_reserved,quantity_available,inventory_value,snapshot_date
INV-3847,WH-9482,SKU-TEC-00291,Consumer Electronics,Zone-A,False,420,85,335,126000.0,2024-01-15
INV-3848,WH-6103,SKU-TEC-00291,Consumer Electronics,Zone-A,False,380,110,270,114000.0,2024-02-01
INV-3849,WH-2957,SKU-TEC-00291,Consumer Electronics,Zone-A,True,380,0,0,114000.0,2024-02-18
INV-3850,WH-6103,SKU-TEC-00291,Consumer Electronics,Zone-A,False,340,60,280,102000.0,2024-03-05
INV-3851,WH-6103,SKU-TEC-00291,Consumer Electronics,Zone-A,False,510,95,415,153000.0,2024-03-28
INV-5219,WH-4821,SKU-PHM-01847,Pharmaceuticals,Zone-C,False,1200,300,900,84000.0,2023-11-10
INV-5220,WH-6103,SKU-PHM-01847,Pharmaceuticals,Zone-C,False,1050,450,600,73500.0,2023-11-25
INV-5221,WH-9482,SKU-PHM-01847,Pharmaceuticals,Zone-C,True,1050,0,0,73500.0,2023-12-08
INV-5222,WH-9482,SKU-PHM-01847,Pharmaceuticals,Zone-C,True,980,0,0,68600.0,2023-12-22
INV-5223,WH-9482,SKU-PHM-01847,Pharmaceuticals,Zone-C,False,980,200,780,68600.0,2024-01-09
INV-6734,WH-9482,SKU-APP-03581,Apparel,Zone-B,False,3500,700,2800,87500.0,2023-09-14
INV-6735,WH-4821,SKU-APP-03581,Apparel,Zone-B,False,3100,900,2200,77500.0,2023-10-01
INV-6736,WH-4821,SKU-APP-03581,Apparel,Zone-B,False,2800,1100,1700,70000.0,2023-10-19
INV-6737,WH-9482,SKU-APP-03581,Apparel,Zone-B,False,4200,600,3600,105000.0,2023-11-06
INV-6738,WH-4821,SKU-APP-03581,Apparel,Zone-B,False,3900,850,3050,97500.0,2023-11-28
INV-8102,WH-7364,SKU-FDB-07293,Food & Beverage,Zone-D,False,8000,2000,6000,48000.0,2024-04-02
INV-8103,WH-4821,SKU-FDB-07293,Food & Beverage,Zone-D,False,7400,1800,5600,44400.0,2024-04-16
INV-8104,WH-4821,SKU-FDB-07293,Food & Beverage,Zone-D,True,7400,0,0,44400.0,2024-04-30
INV-8105,WH-9482,SKU-FDB-07293,Food & Beverage,Zone-D,False,6900,1500,5400,41400.0,2024-05-14
INV-8106,WH-9482,SKU-FDB-07293,Food & Beverage,Zone-D,False,9500,2200,7300,57000.0,2024-06-01
INV-9463,WH-6103,SKU-IND-05674,Industrial Equipment,Zone-E,False,150,40,110,225000.0,2023-07-20
INV-9464,WH-9482,SKU-IND-05674,Industrial Equipment,Zone-E,False,135,55,80,202500.0,2023-08-10
INV-9465,WH-6103,SKU-IND-05674,Industrial Equipment,Zone-E,False,120,30,90,180000.0,2023-08-29
INV-9466,WH-9482,SKU-IND-05674,Industrial Equipment,Zone-E,False,200,70,130,300000.0,2023-09-18
INV-9467,WH-4821,SKU-IND-05674,Industrial Equipment,Zone-E,False,185,45,140,277500.0,2023-10-07
INV-7281,WH-9482,SKU-HBC-02198,Health & Beauty,Zone-B,False,2200,400,1800,66000.0,2024-06-15
INV-7282,WH-9482,SKU-HBC-02198,Health & Beauty,Zone-B,False,2050,550,1500,61500.0,2024-07-01
INV-7283,WH-4821,SKU-HBC-02198,Health & Beauty,Zone-B,False,1800,300,1500,54000.0,2024-07-20
