receipt_id,po_id,shipment_id,supplier_id,receipt_date,warehouse_id,quantity_received,quantity_accepted,quantity_rejected,receipt_status,is_quality_passed
GR-58321,PO-49712,SHP-61739,SUP-8823,2024-01-15,WH-9142,500,492,8,Completed,True
GR-74109,PO-38472,SHP-49205,SUP-8823,2024-02-03,WH-4821,1200,1200,0,Completed,True
GR-31847,PO-44280,SHP-15947,SUP-5538,2024-02-18,WH-5537,750,690,60,Partially Accepted,False
GR-92045,PO-62074,SHP-13762,SUP-8823,2024-03-07,WH-7364,300,300,0,Completed,True
GR-46382,PO-44280,SHP-30586,SUP-2967,2024-03-22,WH-4821,2000,1975,25,Completed,True
GR-85617,PO-89432,SHP-27481,SUP-8823,2024-04-10,WH-7364,450,380,70,Partially Accepted,False
GR-23490,PO-49712,SHP-83421,SUP-8823,2024-04-25,WH-2095,600,600,0,Completed,True
GR-67831,PO-65480,SHP-94613,SUP-2967,2024-05-14,WH-9142,1800,1800,0,Completed,True
GR-14256,PO-65480,SHP-57314,SUP-5538,2024-05-29,WH-9142,925,900,25,Completed,True
GR-53978,PO-53867,SHP-94613,SUP-8390,2024-06-08,WH-9142,350,0,350,Rejected,False
GR-79034,PO-41685,SHP-49205,SUP-2193,2024-06-21,WH-9142,1100,1085,15,Completed,True
GR-38205,PO-41685,SHP-80475,SUP-8823,2024-07-05,WH-9142,800,760,40,Partially Accepted,False
GR-61749,PO-41685,SHP-36908,SUP-5538,2024-07-19,WH-4821,2500,2500,0,Completed,True
GR-90312,PO-11596,SHP-63850,SUP-5102,2024-08-02,WH-7364,675,650,25,Completed,True
GR-25867,PO-29573,SHP-36908,SUP-4821,2024-08-17,WH-5537,420,420,0,Completed,True
GR-47523,PO-41685,SHP-41097,SUP-8823,2024-09-01,WH-2095,1350,1200,150,Partially Accepted,False
GR-83160,PO-53867,SHP-34167,SUP-4821,2024-09-14,WH-4821,980,980,0,Completed,True
GR-19748,PO-82359,SHP-83421,SUP-9057,2024-09-28,WH-4821,560,545,15,Completed,True
GR-72384,PO-41685,SHP-80475,SUP-4456,2024-10-10,WH-4821,3000,2950,50,Completed,True
GR-56091,PO-65480,SHP-49205,SUP-8823,2024-10-24,WH-9142,875,0,875,Rejected,False
GR-34802,PO-15293,SHP-61739,SUP-8823,2024-11-06,WH-9142,1600,1600,0,Completed,True
GR-68417,PO-13847,SHP-80475,SUP-9057,2024-11-19,WH-7364,490,470,20,Completed,True
GR-21953,PO-29573,SHP-49205,SUP-8823,2024-12-03,WH-7364,720,680,40,Partially Accepted,False
GR-95274,PO-65480,SHP-94613,SUP-8823,2024-12-17,WH-2095,2200,2200,0,Completed,True
GR-40638,PO-49712,SHP-58372,SUP-8823,2025-01-08,WH-4821,1050,1030,20,Completed,True
GR-17529,PO-41685,SHP-61739,SUP-8823,2025-01-22,WH-5537,330,330,0,Completed,True
GR-63841,PO-37026,SHP-49205,SUP-4821,2025-02-05,WH-7364,1750,1690,60,Partially Accepted,False
GR-82406,PO-29573,SHP-78364,SUP-8390,2025-02-19,WH-9142,900,900,0,Completed,True
