transfer_id,transfer_date,item_id,from_warehouse_id,to_warehouse_id,transfer_status,quantity_requested,quantity_shipped,quantity_received,transfer_cost,expected_arrival_date,is_urgent
TRF-84723,2026-09-01,ITM-30291,WH-1042,WH-2087,in_transit,500,500,498,1250.0,2026-09-01,false
TRF-61048,2026-09-01,ITM-44812,WH-3315,WH-1042,cancelled,200,200,0,875.5,2026-09-03,true
TRF-77391,2026-09-01,ITM-58074,WH-2087,WH-4401,cancelled,1200,0,0,3100.0,2026-09-05,false
TRF-52847,2026-08-28,ITM-21563,WH-4401,WH-3315,cancelled,750,750,750,2200.75,2026-08-30,false
TRF-39104,2026-08-22,ITM-67390,WH-1042,WH-5503,completed,300,295,295,940.0,2026-08-25,false
TRF-90817,2026-08-15,ITM-83021,WH-5503,WH-2087,cancelled,600,600,597,1800.0,2026-08-18,false
TRF-45632,2026-08-10,ITM-30291,WH-3315,WH-4401,in_transit,400,0,0,0.0,2026-08-14,false
TRF-71293,2026-08-05,ITM-44812,WH-2087,WH-1042,in_transit,850,850,848,2650.5,2026-08-08,false
TRF-28475,2026-07-29,ITM-58074,WH-4401,WH-5503,pending,1000,1000,1000,3500.0,2026-08-01,false
TRF-63804,2026-07-18,ITM-21563,WH-5503,WH-3315,in_transit,450,445,445,1375.25,2026-07-22,false
TRF-17560,2026-07-09,ITM-67390,WH-1042,WH-2087,completed,700,700,698,2100.0,2026-07-12,false
TRF-84091,2026-06-25,ITM-83021,WH-2087,WH-4401,cancelled,950,950,950,2850.75,2026-06-28,true
TRF-50247,2026-06-14,ITM-30291,WH-3315,WH-5503,cancelled,325,325,322,975.0,2026-06-17,false
TRF-36718,2026-05-30,ITM-44812,WH-4401,WH-1042,in_transit,560,560,559,1680.0,2026-06-02,false
TRF-92834,2026-05-16,ITM-58074,WH-5503,WH-3315,cancelled,820,820,820,2460.5,2026-05-20,true
TRF-74503,2026-04-28,ITM-21563,WH-1042,WH-4401,cancelled,475,470,470,1425.0,2026-05-01,false
TRF-21896,2026-04-11,ITM-67390,WH-2087,WH-5503,completed,630,630,628,1890.25,2026-04-15,false
TRF-58347,2026-03-22,ITM-83021,WH-3315,WH-1042,pending,900,900,896,2700.0,2026-03-26,false
TRF-40125,2026-03-08,ITM-30291,WH-4401,WH-2087,cancelled,275,0,0,0.0,2026-03-12,true
TRF-67894,2026-02-19,ITM-44812,WH-5503,WH-4401,pending,780,780,778,2340.75,2026-02-23,false
TRF-13572,2026-02-03,ITM-58074,WH-1042,WH-3315,completed,1100,1100,1098,3300.0,2026-02-07,false
TRF-85240,2026-01-17,ITM-21563,WH-2087,WH-1042,cancelled,520,520,520,1560.5,2026-01-21,true
TRF-29613,2025-12-12,ITM-67390,WH-3315,WH-2087,cancelled,660,655,655,1980.0,2025-12-16,true
TRF-47908,2025-10-29,ITM-83021,WH-4401,WH-3315,cancelled,840,840,837,2520.25,2025-11-02,true
TRF-62381,2025-09-15,ITM-30291,WH-5503,WH-4401,completed,410,410,408,1230.0,2025-09-19,true
