shipment_id,po_id,supplier_id,shipment_date,expected_arrival_date,actual_arrival_date,destination_warehouse_id,carrier,shipment_status,freight_cost,total_weight_kg,is_late
SHP-7482,PO-93847,SUP-2314,2026-09-01,2026-09-08,2026-09-01,WH-ATL-04,FedEx Freight,in_transit,2840.5,1420.75,false
SHP-3891,PO-74523,SUP-5671,2026-09-01,2026-09-06,2026-09-01,WH-CHI-02,ABF Freight,delivered,1675.0,832.4,false
SHP-6127,PO-88310,SUP-4402,2026-09-01,2026-09-09,2026-09-01,WH-DAL-07,UPS Supply Chain,delivered,3210.75,2105.6,false
SHP-5043,PO-61298,SUP-3318,2026-08-28,2026-09-04,2026-09-01,WH-LAX-01,FedEx Freight,delivered,4520.0,3280.9,false
SHP-8834,PO-55047,SUP-7729,2026-08-20,2026-08-27,2026-08-31,WH-NYC-03,Pacific Rim Logistics,in_transit,5890.25,4710.3,true
SHP-2267,PO-43891,SUP-1156,2026-08-15,2026-08-22,2026-08-22,WH-PHX-06,Old Dominion Freight,in_transit,1340.8,678.5,false
SHP-9915,PO-71634,SUP-8843,2026-08-10,2026-08-18,2026-08-25,WH-SEA-05,UPS Supply Chain,in_transit,7230.6,5920.15,true
SHP-4408,PO-29076,SUP-6624,2026-07-28,2026-08-05,2026-08-04,WH-HOU-08,R+L Carriers,in_transit,2980.4,1845.7,false
SHP-7753,PO-84512,SUP-2314,2026-07-15,2026-07-23,2026-07-30,WH-ATL-04,Saia LTL Freight,delivered,3650.0,2430.85,false
SHP-1192,PO-36784,SUP-5671,2026-07-05,2026-07-12,2026-07-12,WH-CHI-02,FedEx Freight,in_transit,1890.15,1105.4,true
SHP-6648,PO-51923,SUP-9901,2026-06-18,2026-06-26,2026-06-26,WH-DEN-09,Old Dominion Freight,in_transit,4120.9,3015.25,true
SHP-3374,PO-67890,SUP-4402,2026-06-02,2026-06-10,2026-06-14,WH-DAL-07,Saia LTL Freight,delivered,6750.35,5140.6,false
SHP-8219,PO-92034,SUP-3318,2026-05-20,2026-05-28,2026-05-27,WH-LAX-01,ABF Freight,in_transit,3480.7,2250.3,false
SHP-5561,PO-48237,SUP-7729,2026-05-08,2026-05-16,2026-05-16,WH-NYC-03,Meridian Transport Solutions,in_transit,2175.5,1380.9,true
SHP-4097,PO-33614,SUP-1156,2026-04-22,2026-04-30,2026-05-06,WH-PHX-06,R+L Carriers,in_transit,5340.2,4230.75,false
SHP-2883,PO-79451,SUP-8843,2026-04-10,2026-04-18,2026-04-17,WH-SEA-05,FedEx Freight,in_transit,8920.45,7340.1,true
SHP-7136,PO-24789,SUP-6624,2026-03-25,2026-04-02,2026-04-02,WH-HOU-08,Meridian Transport Solutions,delivered,1560.8,920.55,true
SHP-9482,PO-56023,SUP-9901,2026-03-12,2026-03-20,2026-03-28,WH-DEN-09,ABF Freight,in_transit,4890.6,3680.45,false
SHP-1657,PO-41567,SUP-2314,2026-02-18,2026-02-26,2026-02-25,WH-ATL-04,FedEx Freight,delivered,2640.3,1720.8,false
SHP-3028,PO-87345,SUP-5671,2026-02-04,2026-02-12,2026-02-19,WH-CHI-02,FedEx Freight,in_transit,3110.75,2018.35,false
SHP-8764,PO-63812,SUP-4402,2026-01-20,2026-01-28,2026-01-28,WH-DAL-07,Estes Express Lines,delivered,5670.9,4485.2,false
SHP-5309,PO-19473,SUP-3318,2025-12-10,2025-12-18,2025-12-22,WH-LAX-01,XPO Logistics,delivered,7840.15,6310.7,true
SHP-2541,PO-75689,SUP-7729,2025-10-28,2025-11-05,2025-11-05,WH-NYC-03,ABF Freight,in_transit,3290.4,2540.65,true
SHP-6873,PO-38214,SUP-1156,2025-09-15,2025-09-23,2025-09-30,WH-PHX-06,XPO Logistics,in_transit,4450.55,3175.9,false
SHP-1348,PO-52976,SUP-6624,2026-08-05,2026-08-13,2026-08-13,WH-HOU-08,R+L Carriers,delivered,2095.25,1290.4,true
