event_id,shipment_id,freight_order_id,carrier_name,event_type,exception_category,location_city,location_country,region,transport_mode,is_exception,delay_hours,delay_cost_usd,event_date,resolution_date,resolution_hours,root_cause,impact_level,escalated,sla_breached,shipment_value_usd
EVT-84721,SHP-47839,FO-64802,OceanBridge Freight,Picked,None,Chicago,USA,North America,Sea,False,0,0,2024-01-15,2024-01-15,0,None,None,False,False,12300
EVT-39054,SHP-47839,FO-64802,OceanBridge Freight,Departed,Minor Delay,Los Angeles,USA,North America,Sea,False,1.5,225,2024-01-17,2024-01-17,2,Traffic congestion at port,Low,False,False,12300
EVT-57283,SHP-47839,FO-64802,OceanBridge Freight,In Transit,None,Memphis,USA,North America,Sea,False,0,0,2024-02-03,2024-02-03,0,None,None,False,False,12300
EVT-12948,SHP-83401,FO-90483,RailLink Express,Customs Hold,Compliance,Frankfurt,Germany,Europe,Air,True,18,4500,2024-02-10,2024-02-11,22,Missing export documentation,High,True,True,1480
EVT-73619,SHP-47839,FO-64802,OceanBridge Freight,Delivered,None,Paris,France,Europe,Sea,False,0,0,2024-02-14,2024-02-14,0,None,None,False,False,12300
EVT-45802,SHP-69357,FO-18947,AeroCargo Solutions,Exception - Damaged,Cargo Damage,Rotterdam,Netherlands,Europe,Rail,True,36,12000,2024-02-18,2024-02-21,78,Forklift impact during unloading,Critical,True,True,9900
EVT-96371,SHP-36285,FO-45821,CrossContinent Rail,Arrived,Minor Delay,Singapore,Singapore,Asia-Pacific,Rail,False,2,500,2024-03-01,2024-03-01,3,Congestion at terminal,Low,False,False,8750
EVT-28540,SHP-69357,FO-18947,AeroCargo Solutions,Picked,None,Toronto,Canada,North America,Rail,False,0,0,2024-03-05,2024-03-05,0,None,None,False,False,9900
EVT-61473,SHP-74182,FO-14567,GlobalShip Inc.,Out for Delivery,Minor Delay,Tokyo,Japan,Asia-Pacific,Sea,False,0.5,150,2024-03-12,2024-03-12,1,Address verification,Low,False,False,21500
EVT-83024,SHP-11748,FO-31896,MetroFreight Co.,Returned,Customs Rejection,Seoul,South Korea,Asia-Pacific,Road,True,48,8500,2024-03-20,2024-03-22,52,Regulatory non-compliance,Critical,True,True,1100
EVT-14759,SHP-47839,FO-64802,OceanBridge Freight,Departed,Minor Delay,Sydney,Australia,Asia-Pacific,Sea,False,3,600,2024-04-02,2024-04-02,4,Vessel departure delay,Low,False,False,12300
EVT-50917,SHP-93016,FO-46283,SkyRush Logistics,Customs Cleared,None,Dubai,UAE,Middle East,Sea,False,6,1200,2024-04-08,2024-04-08,7,Standard customs processing,Low,False,False,17800
EVT-72831,SHP-47839,FO-64802,OceanBridge Freight,Delivered,None,Mexico City,Mexico,Latin America,Sea,False,0,0,2024-04-15,2024-04-15,0,None,None,False,False,12300
EVT-39248,SHP-76219,FO-28473,OceanBridge Freight,In Transit,Minor Delay,São Paulo,Brazil,Latin America,Road,False,4,800,2024-04-22,2024-04-22,5,Customs queue,Low,False,False,2600
EVT-86502,SHP-69357,FO-18947,AeroCargo Solutions,Exception - Missing Docs,Compliance,Mumbai,India,Asia-Pacific,Rail,True,24,6000,2024-05-03,2024-05-04,28,Incomplete shipping manifest,High,True,True,9900
