invoice_line_id,invoice_id,po_line_id,item_id,supplier_id,invoice_date,quantity_invoiced,unit_price,line_amount,price_variance,quantity_variance,line_status,unit_of_measure
ILL-74821,INV-38472,POL-92841,ITM-50312,SUP-18374,2026-09-01,250,48.75,12187.5,-125.0,0,Approved,M
ILL-63092,INV-38472,POL-92842,ITM-70481,SUP-18374,2026-09-01,100,215.0,21500.0,0,5,Cancelled,M
ILL-48203,INV-41095,POL-83710,ITM-30157,SUP-29561,2026-09-01,500,8.4,4200.0,50.0,0,Cancelled,EA
ILL-55784,INV-41095,POL-83711,ITM-44829,SUP-29561,2026-09-01,75,340.0,25500.0,-680.0,-5,Under Review,KG
ILL-39471,INV-37284,POL-77492,ITM-61073,SUP-40738,2026-09-01,1200,3.25,3900.0,0,0,Cancelled,M
ILL-82047,INV-37284,POL-77493,ITM-22946,SUP-40738,2026-09-01,40,1875.0,75000.0,1500.0,0,Disputed,KG
ILL-29384,INV-44561,POL-65182,ITM-83704,SUP-53029,2026-08-15,320,56.5,18080.0,-226.0,20,Under Review,LT
ILL-71836,INV-44561,POL-65183,ITM-91527,SUP-53029,2026-08-15,800,12.8,10240.0,0,0,Under Review,KG
ILL-46920,INV-52073,POL-48391,ITM-37642,SUP-67184,2026-07-22,60,925.0,55500.0,925.0,0,Pending,M
ILL-93715,INV-52073,POL-48392,ITM-58294,SUP-67184,2026-07-22,2000,1.95,3900.0,100.0,-50,Under Review,LT
ILL-58463,INV-60849,POL-39204,ITM-10938,SUP-81426,2026-06-10,15,4200.0,63000.0,-840.0,0,Approved,EA
ILL-34871,INV-60849,POL-39205,ITM-26481,SUP-81426,2026-06-10,450,22.0,9900.0,0,25,Cancelled,M
ILL-67294,INV-71382,POL-28476,ITM-74815,SUP-92037,2026-05-05,180,88.5,15930.0,177.0,0,Approved,M
ILL-21548,INV-71382,POL-28477,ITM-39206,SUP-92037,2026-05-05,50,675.0,33750.0,0,-10,Under Review,LT
ILL-80362,INV-83017,POL-17839,ITM-65302,SUP-14853,2026-03-18,900,6.75,6075.0,-67.5,0,Cancelled,EA
ILL-53947,INV-83017,POL-17840,ITM-81764,SUP-14853,2026-03-18,25,3100.0,77500.0,3100.0,0,Disputed,LT
ILL-16729,INV-91450,POL-58623,ITM-47593,SUP-37694,2026-02-07,600,14.2,8520.0,0,0,Approved,KG
ILL-42081,INV-91450,POL-58624,ITM-19847,SUP-37694,2026-02-07,30,2450.0,73500.0,-735.0,5,Pending,LT
ILL-78503,INV-10284,POL-73951,ITM-53817,SUP-60491,2025-11-20,700,18.6,13020.0,186.0,0,Pending,M
ILL-25164,INV-10284,POL-73952,ITM-88043,SUP-60491,2025-11-20,90,410.0,36900.0,0,-15,Cancelled,KG
ILL-61843,INV-22739,POL-84267,ITM-72159,SUP-75312,2025-08-14,1500,4.5,6750.0,-135.0,0,Cancelled,M
ILL-37620,INV-22739,POL-84268,ITM-34581,SUP-75312,2025-08-14,20,5800.0,116000.0,0,0,Approved,KG
ILL-90257,INV-35861,POL-91034,ITM-62740,SUP-48963,2024-12-03,400,27.9,11160.0,279.0,10,Cancelled,KG
