shrinkage_event_id,event_date,item_id,warehouse_id,location_id,shrinkage_type,discovered_by,quantity_lost,unit_cost,total_cost_impact,is_recovered,reference_count_id
SHR-48291,2026-09-01,ITM-73842,WH-1047,LOC-A12-03,Damage,Marcus Delgado,14,87.5,1225.0,true,CNT-29381
SHR-61045,2026-09-01,ITM-58204,WH-2311,LOC-B07-11,Damage,Priya Nair,8,134.25,1074.0,true,CNT-48820
SHR-77302,2026-09-01,ITM-91027,WH-0893,LOC-C04-07,Damage,James Okonkwo,22,45.0,990.0,false,CNT-61047
SHR-53918,2026-09-01,ITM-44671,WH-1047,LOC-D01-15,Expiration,Sofia Reyes,60,22.8,1368.0,true,CNT-30092
SHR-82740,2026-09-01,ITM-66530,WH-3502,LOC-E09-02,Administrative Error,Nathan Kowalski,5,310.0,1550.0,false,CNT-55781
SHR-39174,2026-09-01,ITM-20948,WH-2311,LOC-A05-08,Damage,Aisha Mohammed,3,895.0,2685.0,true,CNT-72304
SHR-10583,2026-09-01,ITM-38812,WH-0893,LOC-B11-04,Expiration,Derek Huang,17,58.6,996.2,true,CNT-41190
SHR-64827,2026-08-21,ITM-55310,WH-1047,LOC-C08-09,Cycle Count Variance,Luciana Ferreira,9,212.4,1911.6,false,CNT-38854
SHR-29046,2026-08-14,ITM-83047,WH-3502,LOC-D06-01,Expiration,Tyler Brooks,120,8.75,1050.0,false,CNT-59217
SHR-91432,2026-07-30,ITM-17693,WH-2311,LOC-E03-12,Theft,Fatima Al-Hassan,6,740.0,4440.0,false,CNT-80041
SHR-47219,2026-07-18,ITM-62485,WH-0893,LOC-A02-06,Theft,Rajesh Patel,11,165.3,1818.3,false,CNT-24563
SHR-35680,2026-06-29,ITM-49201,WH-1047,LOC-B04-13,Expiration,Carmen Vega,33,38.9,1283.7,true,CNT-67429
SHR-72851,2026-06-11,ITM-30764,WH-3502,LOC-C10-05,Theft,Samuel Osei,7,480.0,3360.0,true,CNT-13985
SHR-58493,2026-05-24,ITM-75839,WH-2311,LOC-D08-10,Expiration,Mei-Ling Zhou,25,94.5,2362.5,true,CNT-91823
SHR-14672,2026-05-07,ITM-52367,WH-0893,LOC-E07-03,Cycle Count Variance,Kevin Oduya,48,17.25,828.0,true,CNT-44708
SHR-96308,2026-04-19,ITM-88124,WH-1047,LOC-A09-14,Theft,Hannah Lindqvist,4,1250.0,5000.0,true,CNT-28614
SHR-43751,2026-04-05,ITM-26903,WH-3502,LOC-B06-08,Damage,Dmitri Volkov,19,72.15,1370.85,true,CNT-53940
SHR-20984,2026-03-22,ITM-41580,WH-2311,LOC-C02-11,Theft,Tanya Williams,12,275.6,3307.2,true,CNT-76582
SHR-67143,2026-03-09,ITM-64827,WH-0893,LOC-D05-06,Expiration,Carlos Mendes,2,2100.0,4200.0,true,CNT-17839
SHR-85629,2026-02-14,ITM-37156,WH-1047,LOC-E01-09,Damage,Ngozi Adeyemi,85,11.4,969.0,false,CNT-64371
SHR-31806,2026-01-28,ITM-59743,WH-3502,LOC-A08-02,Damage,Ivan Petrov,29,63.8,1850.2,false,CNT-39025
SHR-59271,2025-11-17,ITM-80392,WH-2311,LOC-B10-07,Cycle Count Variance,Yuki Tanaka,16,198.75,3180.0,false,CNT-82157
SHR-74038,2025-08-30,ITM-23561,WH-0893,LOC-C06-14,Administrative Error,Amara Diallo,41,29.5,1209.5,false,CNT-50693
SHR-16495,2025-05-14,ITM-71248,WH-1047,LOC-D03-10,Cycle Count Variance,Brendan Fitzgerald,10,543.0,5430.0,false,CNT-25847
SHR-90362,2024-12-03,ITM-46089,WH-3502,LOC-E05-01,Theft,Monique Laurent,200,6.9,1380.0,false,CNT-71308
