id,date,supplier,warehouse,status,expected_date,total
1,2026-07-14,3,8,received,2026-07-31,39714.89
2,2026-07-24,13,2,received,2026-07-27,72913.7
3,2025-01-22,13,12,received,2025-01-28,39635.74
4,2026-01-18,1,12,received,2026-02-06,54912.14
5,2025-12-09,5,12,open,2025-12-14,53892.63
6,2026-06-16,6,8,open,2026-07-03,44069.6
7,2025-02-28,8,2,open,2025-03-10,19943.33
8,2026-07-03,1,1,cancelled,2026-07-09,8481.71
9,2025-07-18,1,12,received,2025-07-28,56376.18
10,2026-02-17,9,5,open,2026-03-09,74013.03
11,2026-01-14,12,13,partial,2026-01-24,22416.6
12,2025-06-02,14,8,received,2025-06-05,34966.99
13,2024-08-15,7,2,received,2024-08-28,46872.3
14,2026-01-06,9,13,partial,2026-01-09,11485.8
15,2025-04-15,14,7,received,2025-04-21,58796.25
16,2026-07-09,3,2,cancelled,2026-07-29,21528.15
17,2025-08-27,7,4,received,2025-08-31,45727.32
18,2026-07-14,4,4,received,2026-07-22,20953.48
19,2024-08-07,10,4,received,2024-08-20,5516.36
20,2025-07-25,8,8,received,2025-07-28,8084.64
21,2025-10-31,13,2,open,2025-11-04,40141.86
22,2025-04-04,11,3,open,2025-04-15,19570.58
23,2025-11-27,5,11,open,2025-12-15,78630.23
24,2025-06-04,8,6,received,2025-06-17,28383.77
25,2024-10-18,14,12,received,2024-10-23,62817.1
26,2026-02-21,10,5,open,2026-03-11,54592.12
27,2025-08-14,2,7,received,2025-08-22,27236.06
28,2026-07-17,8,10,open,2026-08-02,18155.75
29,2025-05-06,7,2,received,2025-05-08,69761.86
30,2026-05-21,11,12,received,2026-06-06,15685.66
31,2025-05-21,14,11,received,2025-06-02,23558.38
32,2026-07-27,6,14,received,2026-08-15,33055.5
33,2025-02-28,7,2,open,2025-03-06,5660.55
34,2026-03-04,6,7,received,2026-03-11,43095.6
35,2025-01-15,8,3,partial,2025-02-02,26696.61
36,2026-05-23,13,10,open,2026-06-08,37486.55
37,2025-05-28,9,3,open,2025-06-08,32368.37
38,2025-02-06,6,14,open,2025-02-27,48516.89
39,2026-04-28,14,14,received,2026-05-01,55242.69
40,2025-08-07,13,9,received,2025-08-17,72355.57
41,2024-09-07,9,3,open,2024-09-27,87437.24
42,2026-03-13,8,14,received,2026-04-01,45545.52
43,2025-01-14,10,11,received,2025-02-02,60710.78
44,2025-10-15,13,3,received,2025-11-01,46038.55
45,2025-06-18,8,10,partial,2025-06-26,58921.69
46,2025-11-21,3,14,received,2025-12-10,39430.57
47,2025-06-07,14,4,received,2025-06-11,44066.6
48,2025-08-17,2,11,received,2025-08-29,15981.48
49,2026-02-13,9,10,received,2026-02-27,68967.63
50,2025-11-09,10,12,received,2025-11-28,32094.38
51,2026-03-27,13,3,open,2026-04-04,43706.46
52,2025-09-03,7,2,received,2025-09-05,32071.8
53,2025-12-31,14,7,open,2026-01-05,39075.71
54,2025-05-30,4,3,received,2025-06-15,45336.64
55,2025-01-22,7,7,received,2025-01-30,22808.0
56,2025-07-04,11,5,received,2025-07-08,69380.23
57,2025-03-10,6,2,received,2025-03-12,50636.05
58,2025-09-23,5,5,received,2025-09-26,49777.51
59,2026-05-20,10,4,received,2026-05-31,25352.99
60,2024-12-24,8,7,open,2025-01-01,16654.46
61,2025-05-26,2,2,received,2025-05-30,23993.04
62,2026-07-30,8,12,received,2026-08-16,35119.58
63,2025-10-21,8,12,received,2025-11-02,84615.52
64,2024-09-19,11,5,received,2024-10-02,37599.87
65,2024-11-17,9,14,received,2024-12-01,56004.46
66,2024-10-22,6,10,received,2024-11-09,26024.39
67,2025-02-13,8,5,partial,2025-02-27,55258.41
68,2025-07-18,10,1,received,2025-08-01,34159.48
69,2024-08-15,6,9,open,2024-09-05,17005.72
70,2026-01-31,11,3,received,2026-02-17,49504.38
71,2025-01-07,14,6,received,2025-01-20,57586.1
72,2025-01-14,11,5,open,2025-01-29,62181.04
73,2025-08-14,5,9,received,2025-08-16,53389.53
74,2026-03-08,3,2,received,2026-03-23,30253.62
75,2024-08-27,10,9,open,2024-09-10,24194.44
76,2026-06-12,8,3,received,2026-06-17,21525.17
77,2025-11-24,11,11,received,2025-12-10,39265.05
78,2025-10-31,12,5,open,2025-11-06,59650.08
79,2024-12-03,6,2,received,2024-12-24,24517.54
80,2026-03-28,12,12,received,2026-04-13,3546.55
81,2026-06-16,14,5,received,2026-07-01,36391.16
82,2025-02-07,6,2,open,2025-02-24,12663.66
83,2025-01-24,14,6,received,2025-02-08,19537.3
84,2024-11-08,7,3,received,2024-11-24,56236.34
85,2025-04-30,2,12,open,2025-05-09,18910.76
86,2025-09-24,3,4,received,2025-10-09,18507.16
87,2026-05-19,13,8,received,2026-05-29,45515.53
88,2025-09-30,11,7,received,2025-10-16,50194.36
89,2025-11-24,13,8,received,2025-12-07,9560.34
90,2026-03-28,5,1,open,2026-04-16,23286.42
91,2024-09-16,4,11,received,2024-09-28,14157.79
92,2026-07-09,1,6,partial,2026-07-13,32692.58
93,2024-12-27,12,8,received,2025-01-15,66186.72
94,2025-08-16,1,3,received,2025-08-19,28149.36
95,2025-06-22,9,4,received,2025-07-08,50703.64
96,2024-09-23,9,8,cancelled,2024-10-06,22603.22
97,2025-06-06,7,3,received,2025-06-09,34588.52
98,2026-05-15,14,2,open,2026-06-05,41188.53
99,2024-09-05,11,12,received,2024-09-23,72467.42
100,2026-05-27,2,6,received,2026-06-01,18722.66
101,2024-10-02,10,13,open,2024-10-08,47464.9
102,2024-11-07,13,4,open,2024-11-23,17927.84
103,2026-04-07,1,4,cancelled,2026-04-23,14920.83
104,2026-02-18,10,5,open,2026-03-09,36522.57
105,2026-07-08,11,10,cancelled,2026-07-20,9278.33
106,2026-01-29,11,5,open,2026-02-14,22199.85
107,2024-10-16,3,3,received,2024-11-03,9512.0
108,2026-05-11,10,12,received,2026-05-23,24124.33
109,2026-06-12,4,8,open,2026-06-20,14942.1
110,2024-11-12,8,5,partial,2024-12-01,16427.84
111,2026-01-27,11,7,received,2026-02-12,20574.9
112,2024-08-15,1,2,open,2024-09-02,51152.1
113,2024-12-30,14,10,open,2025-01-04,27580.54
114,2024-08-29,13,7,open,2024-09-02,44889.78
