carrier_id,period_start_date,carrier_name,carrier_type,period_type,total_shipments,on_time_delivery_rate,damage_rate,avg_transit_days,total_freight_cost,total_weight_kg,claim_count
CRR-4821,2024-01-01,Swift Freight Solutions,LTL,monthly,1842,94.7,0.8,2.4,312450.0,187620,15
CRR-7364,2024-01-01,Meridian Transport Group,FTL,monthly,643,91.2,1.1,3.8,528900.0,412300,7
CRR-1093,2024-01-01,Pacific Rim Logistics,Parcel,monthly,5210,97.3,0.4,1.2,198750.0,62450,21
CRR-5582,2024-01-01,Ironclad Carriers Inc.,LTL,monthly,2105,89.5,1.6,3.1,367200.0,224100,34
CRR-2947,2024-01-01,Northern Star Freight,Intermodal,monthly,389,85.6,2.1,6.5,445600.0,589300,8
CRR-8816,2024-02-01,Coastal Express Shipping,Parcel,monthly,4780,96.1,0.5,1.5,183400.0,54820,24
CRR-3375,2024-02-01,Heartland Haulers LLC,FTL,monthly,712,93.4,0.9,4.2,614300.0,498700,6
CRR-6104,2024-02-01,Atlas Global Freight,Intermodal,monthly,501,87.9,1.8,7.2,512800.0,672400,9
CRR-9238,2024-02-01,Redwood Supply Chain Services,LTL,monthly,1673,92.8,1.0,2.9,289600.0,198450,17
CRR-4467,2024-02-01,Cascade Delivery Network,Parcel,monthly,6340,98.1,0.3,1.0,241700.0,71230,19
CRR-4821,2024-04-01,Swift Freight Solutions,LTL,quarterly,5614,93.9,0.9,2.6,948200.0,571800,51
CRR-7364,2024-04-01,Meridian Transport Group,FTL,quarterly,1987,90.5,1.3,4.0,1642500.0,1287400,26
CRR-1093,2024-04-01,Pacific Rim Logistics,Parcel,quarterly,15820,97.0,0.5,1.3,601400.0,189500,79
CRR-5582,2024-03-01,Ironclad Carriers Inc.,LTL,monthly,2348,88.2,1.9,3.3,409700.0,251600,45
CRR-2947,2024-04-01,Northern Star Freight,Intermodal,quarterly,1142,84.7,2.4,6.8,1324900.0,1748200,27
CRR-8816,2024-04-01,Coastal Express Shipping,Parcel,quarterly,14210,95.8,0.6,1.6,548600.0,163400,85
CRR-3375,2024-04-01,Heartland Haulers LLC,FTL,quarterly,2156,92.7,1.0,4.4,1875400.0,1521300,22
CRR-6104,2024-07-01,Atlas Global Freight,Intermodal,quarterly,1624,88.3,1.7,7.0,1612300.0,2104700,28
CRR-9238,2024-07-01,Redwood Supply Chain Services,LTL,quarterly,5218,91.6,1.2,3.0,891200.0,614800,63
CRR-4467,2024-07-01,Cascade Delivery Network,Parcel,quarterly,19240,97.8,0.4,1.1,731500.0,215900,77
CRR-4821,2024-10-01,Swift Freight Solutions,LTL,quarterly,6102,95.2,0.7,2.3,1034600.0,621400,43
CRR-7364,2024-10-01,Meridian Transport Group,FTL,quarterly,2243,92.1,1.0,3.7,1891200.0,1435600,22
CRR-5582,2024-10-01,Ironclad Carriers Inc.,LTL,quarterly,6891,90.4,1.5,3.0,1204800.0,738200,103
CRR-2947,2024-10-01,Northern Star Freight,Intermodal,quarterly,1389,86.3,2.2,6.6,1587400.0,2031800,31
CRR-8816,2024-10-01,Coastal Express Shipping,Parcel,quarterly,16530,96.4,0.5,1.4,632700.0,187300,83
