po_id,supplier_id,po_date,expected_delivery_date,po_status,currency,total_amount,total_line_items,buyer_id,department,is_emergency
PO-38472,SUP-4821,2024-01-15,2024-02-10,Completed,USD,142500.0,12,BYR-6038,Manufacturing,False
PO-91053,SUP-5102,2024-03-22,2024-04-18,Completed,USD,87300.5,8,BYR-5129,Procurement,False
PO-56719,SUP-3812,2024-05-07,2024-06-01,In Transit,EUR,215000.0,20,BYR-3867,Operations,False
PO-74831,SUP-4456,2024-02-14,2024-03-05,Completed,USD,63750.0,5,BYR-3867,Maintenance,True
PO-20364,SUP-4456,2024-06-10,2024-07-08,Pending Approval,GBP,49800.0,6,BYR-3867,IT,False
PO-83916,SUP-4456,2023-11-28,2023-12-20,Completed,USD,327400.0,30,BYR-7756,Manufacturing,False
PO-47205,SUP-2967,2024-07-03,2024-07-28,Open,USD,112000.0,14,BYR-4491,Logistics,False
PO-65480,SUP-4456,2024-04-19,2024-05-14,Completed,CAD,78900.0,9,BYR-1729,Facilities,False
PO-13847,SUP-7364,2023-09-12,2023-10-05,Cancelled,USD,34200.0,3,BYR-2983,Procurement,False
PO-29573,SUP-7364,2024-08-01,2024-08-25,Open,USD,189500.0,17,BYR-3867,Operations,True
PO-50921,SUP-4821,2024-01-30,2024-02-28,Completed,EUR,256300.0,22,BYR-2983,Manufacturing,False
PO-78346,SUP-7781,2024-03-05,2024-04-01,Completed,USD,97600.0,11,BYR-5863,IT,False
PO-34819,SUP-7364,2023-12-14,2024-01-10,Completed,USD,441000.0,35,BYR-3867,Manufacturing,False
PO-62074,SUP-8390,2024-05-22,2024-06-15,In Transit,GBP,131750.0,13,BYR-5129,Logistics,False
PO-89432,SUP-5102,2024-07-17,2024-08-10,Pending Approval,USD,58400.0,7,BYR-6647,Facilities,False
PO-41685,SUP-4456,2023-10-03,2023-10-28,Completed,USD,174200.0,16,BYR-3867,Operations,False
PO-15293,SUP-4821,2024-06-28,2024-07-22,Open,CAD,66350.0,8,BYR-6647,Maintenance,True
PO-73508,SUP-5102,2023-08-19,2023-09-12,Completed,USD,302500.0,28,BYR-7391,Manufacturing,False
PO-28940,SUP-8823,2024-04-08,2024-05-03,Completed,EUR,148700.0,15,BYR-3867,Procurement,False
PO-96174,SUP-4821,2024-02-26,2024-03-20,Cancelled,USD,22100.0,2,BYR-6647,IT,False
PO-53867,SUP-2967,2024-07-11,2024-08-05,In Transit,USD,384900.0,32,BYR-6038,Manufacturing,False
PO-37026,SUP-3309,2023-11-05,2023-11-30,Completed,GBP,93400.0,10,BYR-3867,Logistics,False
PO-82359,SUP-4456,2024-08-05,2024-09-01,Open,USD,167800.0,18,BYR-3867,Operations,True
PO-49712,SUP-4821,2024-01-09,2024-02-05,Completed,USD,519000.0,40,BYR-3867,Manufacturing,False
PO-67843,SUP-3812,2024-05-14,2024-06-08,Completed,EUR,73250.0,7,BYR-8204,Facilities,False
PO-11596,SUP-4456,2023-09-27,2023-10-22,Completed,USD,228600.0,24,BYR-2154,Procurement,False
PO-44280,SUP-9057,2024-06-17,2024-07-14,Pending Approval,CAD,41300.0,4,BYR-2154,IT,False
PO-95037,SUP-7781,2024-03-31,2024-04-25,Completed,USD,286100.0,26,BYR-3867,Manufacturing,False
