inspection_id,inspection_date,receipt_id,supplier_id,item_id,inspection_type,inspection_result,quantity_inspected,quantity_defective,defect_rate,inspector_id,is_passed
QI-7342,2026-09-01,RCT-48271,SUP-3819,ITM-6042,Incoming,Passed with Conditions,500,8,1.6,INS-2241,false
QI-8815,2026-09-01,RCT-51034,SUP-7204,ITM-2387,Final,Failed,300,47,15.67,INS-3305,true
QI-5503,2026-09-01,RCT-49882,SUP-1156,ITM-8811,Incoming,Failed,1200,14,1.17,INS-4417,false
QI-6128,2026-09-01,RCT-50019,SUP-9430,ITM-3395,In-Process,Failed,750,22,2.93,INS-2241,false
QI-4490,2026-08-27,RCT-47630,SUP-5572,ITM-7724,In-Process,Passed with Conditions,640,6,0.94,INS-5581,false
QI-3377,2026-08-20,RCT-46318,SUP-3819,ITM-1043,Final,Failed,890,134,15.06,INS-6692,false
QI-9201,2026-08-14,RCT-45791,SUP-7204,ITM-5519,Incoming,Failed,420,3,0.71,INS-3305,true
QI-7756,2026-08-05,RCT-44902,SUP-2287,ITM-9936,In-Process,Passed,2400,31,1.29,INS-4417,true
QI-2964,2026-07-22,RCT-44015,SUP-6641,ITM-4408,In-Process,Passed,560,9,1.61,INS-7834,false
QI-1839,2026-07-10,RCT-43187,SUP-1156,ITM-6042,Incoming,Failed,800,112,14.0,INS-2241,true
QI-5092,2026-07-03,RCT-42754,SUP-9430,ITM-2387,Final,Failed,1800,18,1.0,INS-5581,false
QI-6674,2026-06-18,RCT-41893,SUP-5572,ITM-8811,In-Process,Failed,950,11,1.16,INS-6692,true
QI-3551,2026-06-05,RCT-40622,SUP-2287,ITM-3395,In-Process,Passed with Conditions,340,17,5.0,INS-3305,true
QI-8249,2026-05-21,RCT-39471,SUP-6641,ITM-7724,Final,Passed with Conditions,2100,25,1.19,INS-7834,false
QI-4783,2026-05-09,RCT-38824,SUP-3819,ITM-1043,Final,Passed with Conditions,680,89,13.09,INS-4417,true
QI-2117,2026-04-14,RCT-37592,SUP-7204,ITM-5519,Incoming,Passed with Conditions,460,4,0.87,INS-2241,false
QI-9348,2026-03-28,RCT-36183,SUP-1156,ITM-9936,Incoming,Failed,3200,44,1.375,INS-5581,false
QI-6015,2026-03-11,RCT-35447,SUP-9430,ITM-4408,Incoming,Passed with Conditions,720,7,0.97,INS-6692,true
QI-7820,2026-02-25,RCT-34318,SUP-5572,ITM-6042,Incoming,Passed with Conditions,580,29,5.0,INS-3305,false
QI-1456,2026-02-08,RCT-33021,SUP-2287,ITM-2387,Final,Failed,1500,12,0.8,INS-7834,true
QI-3892,2026-01-19,RCT-32145,SUP-6641,ITM-8811,Incoming,Passed with Conditions,870,10,1.15,INS-4417,true
QI-5267,2025-12-03,RCT-29874,SUP-3819,ITM-3395,Incoming,Failed,400,68,17.0,INS-2241,false
QI-8433,2025-09-17,RCT-26593,SUP-7204,ITM-7724,Final,Passed with Conditions,2600,33,1.27,INS-5581,false
QI-2708,2025-11-14,RCT-28337,SUP-1156,ITM-1043,In-Process,Passed,990,16,1.62,INS-6692,false
QI-4061,2024-11-28,RCT-21084,SUP-9430,ITM-5519,Final,Passed with Conditions,320,19,5.94,INS-7834,true
