supplier_item_id,supplier_id,item_id,supplier_part_number,negotiated_unit_cost,minimum_order_qty,lead_time_days,currency,is_preferred_supplier,is_active,effective_date
SI-7423,SUP-3841,ITM-9204,NX-4400-BLK,142.75,50,14,USD,false,false,2026-09-01
SI-8819,SUP-5102,ITM-3371,VR-7820-M,58.4,100,21,CAD,false,true,2026-09-01
SI-4467,SUP-2293,ITM-6150,PL-1100-SS,317.0,25,30,CNY,true,true,2026-09-01
SI-6031,SUP-7748,ITM-4482,TQ-9955-C,24.9,200,7,EUR,true,false,2026-08-15
SI-2958,SUP-4416,ITM-8837,HZ-3300-AL,89.25,75,18,GBP,true,false,2026-07-22
SI-5574,SUP-9923,ITM-1729,MK-5510-GR,475.6,10,45,CAD,false,true,2026-06-10
SI-3812,SUP-6637,ITM-5063,RF-2200-XT,11.35,500,10,CAD,false,true,2026-05-03
SI-9140,SUP-1185,ITM-7741,BX-6680-TI,1245.0,5,60,EUR,false,false,2026-04-17
SI-7265,SUP-3309,ITM-2894,YL-8840-PVC,5.8,1000,5,EUR,false,false,2026-03-28
SI-1093,SUP-8821,ITM-3608,DV-4470-NI,203.5,30,28,CAD,false,false,2026-02-11
SI-4728,SUP-5564,ITM-9912,WS-1190-CU,37.2,150,12,CAD,true,false,2026-01-05
SI-8356,SUP-2047,ITM-4455,ZR-7730-ABS,62.9,80,22,CNY,false,false,2025-11-19
SI-6604,SUP-7193,ITM-6683,KP-3350-FE,19.45,250,8,EUR,false,true,2025-09-07
SI-2387,SUP-4872,ITM-8201,LT-9900-BR,558.0,10,35,GBP,true,true,2025-06-14
SI-5019,SUP-6318,ITM-1346,OC-2260-ZN,8.15,750,6,USD,false,false,2024-12-30
