freight_order_id,shipment_id,carrier_id,vehicle_id,order_status,origin_location,destination_location,agreed_cost,actual_cost,distance_km,order_date
FO-83741,SHP-62714,CRR-7364,VEH-4718,Delivered,"Chicago, IL","Detroit, MI",4200.0,4380.5,458,2024-01-15
FO-29156,SHP-18540,CRR-4821,VEH-3906,Delivered,"Los Angeles, CA","Phoenix, AZ",3750.0,3690.0,597,2024-02-03
FO-64802,SHP-78340,CRR-6079,VEH-3906,In Transit,"Dallas, TX","Houston, TX",1850.0,1920.75,386,2024-03-10
FO-51374,SHP-22691,CRR-1485,VEH-5039,Delivered,"New York, NY","Philadelphia, PA",2100.0,2045.0,151,2024-01-28
FO-37629,SHP-18540,CRR-8842,VEH-6754,Cancelled,"Seattle, WA","Portland, OR",1400.0,0.0,280,2024-02-14
FO-90483,SHP-78340,CRR-9203,VEH-2041,Delivered,"Miami, FL","Atlanta, GA",5300.0,5475.25,1063,2024-03-22
FO-14567,SHP-74182,CRR-8842,VEH-1064,Delivered,"Denver, CO","Salt Lake City, UT",2900.0,2855.0,611,2024-04-05
FO-72938,SHP-18540,CRR-6079,VEH-8325,In Transit,"Boston, MA","New York, NY",1650.0,1710.0,346,2024-04-18
FO-45821,SHP-36285,CRR-1485,VEH-1064,Delivered,"Minneapolis, MN","Milwaukee, WI",3100.0,3220.5,540,2024-05-02
FO-68304,SHP-74182,CRR-7364,VEH-5281,Pending,"San Francisco, CA","Sacramento, CA",1250.0,1250.0,141,2024-05-15
FO-23759,SHP-43726,CRR-1485,VEH-8612,Delivered,"Kansas City, MO","St. Louis, MO",1900.0,1875.0,376,2024-06-08
FO-58147,SHP-78340,CRR-4821,VEH-7439,Delivered,"Nashville, TN","Louisville, KY",2200.0,2310.0,427,2024-06-21
FO-31896,SHP-50934,CRR-4821,VEH-6193,In Transit,"Charlotte, NC","Raleigh, NC",1100.0,1145.0,247,2024-07-03
FO-79425,SHP-18540,CRR-4821,VEH-5039,Delivered,"Indianapolis, IN","Columbus, OH",2450.0,2390.0,296,2024-07-19
FO-46283,SHP-18540,CRR-8842,VEH-6754,Delivered,"Las Vegas, NV","Los Angeles, CA",3600.0,3725.8,435,2024-08-01
FO-17563,SHP-62714,CRR-4821,VEH-8612,Cancelled,"Portland, OR","Boise, ID",2750.0,0.0,702,2024-08-14
FO-84931,SHP-76219,CRR-4821,VEH-3847,Delivered,"Memphis, TN","Birmingham, AL",2050.0,2100.0,365,2024-08-27
FO-52748,SHP-76219,CRR-4821,VEH-9562,Delivered,"San Antonio, TX","Austin, TX",1350.0,1295.0,128,2024-09-10
FO-39167,SHP-18540,CRR-5130,VEH-2893,In Transit,"Cincinnati, OH","Pittsburgh, PA",2800.0,2950.0,484,2024-09-23
FO-61594,SHP-62714,CRR-5567,VEH-5039,Delivered,"Oklahoma City, OK","Tulsa, OK",1500.0,1530.0,185,2024-10-07
FO-28473,SHP-62714,CRR-4821,VEH-2041,Delivered,"Richmond, VA","Washington, DC",1750.0,1680.0,172,2024-10-20
FO-95382,SHP-18540,CRR-8842,VEH-5039,Pending,"Albuquerque, NM","El Paso, TX",3200.0,3200.0,450,2024-11-04
FO-47816,SHP-36285,CRR-4821,VEH-8325,Delivered,"Tampa, FL","Orlando, FL",1600.0,1645.0,130,2024-11-18
FO-73129,SHP-74182,CRR-9203,VEH-2041,Delivered,"Omaha, NE","Des Moines, IA",2350.0,2410.0,393,2024-12-02
FO-56284,SHP-18540,CRR-4821,VEH-6754,In Transit,"Tucson, AZ","Las Vegas, NV",4100.0,4225.0,850,2024-12-15
FO-18947,SHP-76219,CRR-6079,VEH-2041,Delivered,"Cleveland, OH","Buffalo, NY",2680.0,2590.0,315,2023-11-09
FO-34572,SHP-18540,CRR-6079,VEH-2893,Delivered,"Baton Rouge, LA","New Orleans, LA",1150.0,1200.0,130,2023-12-05
FO-87265,SHP-55174,CRR-9203,VEH-5039,Delivered,"Spokane, WA","Seattle, WA",3050.0,3120.5,460,2023-10-22
