shipment_id,carrier_id,route_id,origin_warehouse_id,shipment_status,transport_mode,total_weight_kg,freight_cost,insurance_cost,planned_delivery_days,is_hazardous,booked_date
SHP-38472,CRR-5567,RTE-8826,WH-7364,Delivered,Road,1245.5,3820.75,114.62,3,False,2024-01-15
SHP-91053,CRR-2957,RTE-7581,WH-6103,In Transit,Air,320.8,9450.0,472.5,1,False,2024-11-02
SHP-47839,CRR-3316,RTE-4821,WH-6103,Delivered,Sea,18500.0,12300.5,615.03,21,False,2023-08-10
SHP-62714,CRR-5567,RTE-2195,WH-2957,Delayed,Road,870.3,2150.0,64.5,5,True,2024-03-22
SHP-15926,CRR-7364,RTE-8826,WH-2957,Delivered,Rail,4200.0,5600.0,280.0,7,False,2023-11-18
SHP-83401,CRR-7364,RTE-4821,WH-9482,Delivered,Road,560.0,1480.25,44.41,2,False,2024-06-05
SHP-29567,CRR-6079,RTE-8826,WH-9482,Cancelled,Air,95.2,2800.0,140.0,1,False,2024-07-14
SHP-74182,CRR-8842,RTE-9154,WH-4821,In Transit,Sea,32400.0,21500.0,1075.0,28,True,2024-10-01
SHP-50934,CRR-8842,RTE-2195,WH-7364,Delivered,Road,1875.6,4100.8,123.02,4,False,2023-12-03
SHP-36285,CRR-1485,RTE-7581,WH-4821,Delivered,Rail,9800.0,8750.0,437.5,10,False,2024-02-28
SHP-11748,CRR-4821,RTE-2195,WH-2957,Processing,Road,430.0,1100.0,33.0,3,False,2024-11-18
SHP-67523,CRR-1485,RTE-4821,WH-7364,Delivered,Air,210.4,6300.0,378.0,2,True,2024-04-17
SHP-93016,CRR-2957,RTE-2195,WH-9482,Delivered,Sea,27600.0,17800.0,890.0,18,False,2023-09-25
SHP-44859,CRR-3316,RTE-2195,WH-9482,In Transit,Road,1560.9,3275.5,98.27,6,False,2024-11-10
SHP-78340,CRR-4821,RTE-2195,WH-6103,Delivered,Rail,6300.0,7200.0,360.0,9,False,2024-05-30
SHP-22691,CRR-4821,RTE-8826,WH-9482,Delayed,Road,740.0,1950.0,97.5,4,True,2024-08-22
SHP-55174,CRR-3316,RTE-5517,WH-7364,Delivered,Sea,15200.0,10400.0,520.0,25,False,2023-10-14
SHP-87463,CRR-3316,RTE-7364,WH-7364,Delivered,Air,145.7,4350.0,217.5,1,False,2024-01-30
SHP-31082,CRR-7364,RTE-2195,WH-7364,Processing,Road,2100.0,4800.0,144.0,5,False,2024-11-20
SHP-69357,CRR-6079,RTE-8826,WH-4821,Delivered,Rail,11500.0,9900.0,495.0,12,False,2024-03-08
SHP-43726,CRR-8842,RTE-2195,WH-4821,Delivered,Sea,22000.0,14500.0,725.0,20,True,2023-07-19
SHP-18540,CRR-8842,RTE-2195,WH-6103,In Transit,Air,480.3,14400.0,864.0,2,False,2024-11-15
SHP-76219,CRR-3316,RTE-2195,WH-4821,Delivered,Road,990.0,2600.0,78.0,3,False,2024-09-03
SHP-52843,CRR-8842,RTE-4821,WH-4821,Cancelled,Rail,3800.0,4250.0,212.5,8,False,2024-06-27
SHP-97615,CRR-7364,RTE-7364,WH-7364,Delivered,Sea,41000.0,26500.0,1325.0,30,True,2023-06-12
