carrier_id,period_start_date,carrier_name,carrier_type,period_type,total_shipments,on_time_delivery_rate,damage_rate,avg_transit_days,total_freight_cost,total_weight_kg,claim_count
CRR-4821,2026-09-01,Irongate Trucking Co.,Parcel,monthly,1284,94.7,1.2,3.4,387420.5,245800,15
CRR-7743,2026-09-01,Redwood Freight Solutions,FTL,quarterly,542,91.3,0.8,5.1,512300.0,892400,4
CRR-3319,2026-09-01,Irongate Trucking Co.,LTL,quarterly,8730,97.2,0.4,1.8,143600.75,38200,35
CRR-5582,2026-09-01,Pacific Rim Logistics,Parcel,monthly,318,88.9,1.5,6.3,298750.0,671500,5
CRR-9104,2026-09-01,Apex Ground Transport,Parcel,monthly,2105,93.1,1.8,4.0,521890.25,334700,38
CRR-4821,2026-08-01,Irongate Trucking Co.,Parcel,monthly,1197,95.3,1.1,3.2,361800.0,228400,13
CRR-7743,2026-08-01,Apex Ground Transport,FTL,monthly,589,90.7,0.9,5.3,548900.5,967200,5
CRR-2267,2026-08-01,NorthStar Distribution,Parcel,monthly,423,86.4,2.1,8.7,634500.0,1245300,9
CRR-6638,2026-08-01,BlueStar Parcel Services,Intermodal,quarterly,1876,92.5,1.4,3.8,445200.0,301600,26
CRR-3319,2026-07-01,Meridian Express Freight,LTL,monthly,9142,96.8,0.5,1.9,151340.5,41800,46
CRR-5582,2026-07-01,Apex Ground Transport,LTL,quarterly,302,87.4,1.7,6.7,284100.0,638900,5
CRR-8815,2026-07-01,Pacific Rim Logistics,LTL,monthly,1432,94.0,1.3,3.6,398700.75,278500,19
CRR-4821,2026-04-01,Redwood Freight Solutions,Parcel,quarterly,3612,93.8,1.3,3.5,1092400.0,689200,47
CRR-7743,2026-04-01,Coastal Carriers Inc.,Intermodal,monthly,1645,90.2,1.0,5.4,1587300.5,2834100,16
CRR-2267,2026-04-01,NorthStar Distribution,FTL,monthly,1238,85.9,2.3,9.1,1876500.0,3672400,28
CRR-9104,2026-04-01,BlueStar Parcel Services,FTL,quarterly,6218,92.7,1.9,4.2,1548600.25,1012300,118
CRR-6638,2026-04-01,NorthStar Distribution,Parcel,monthly,5541,91.8,1.5,3.9,1328400.0,894700,83
CRR-4821,2026-01-01,Apex Ground Transport,FTL,quarterly,3408,92.4,1.4,3.7,1034500.0,651800,48
CRR-8815,2026-01-01,Pacific Rim Logistics,Intermodal,quarterly,4187,93.5,1.2,3.6,1167200.75,812600,50
CRR-5582,2026-01-01,Apex Ground Transport,LTL,quarterly,941,87.1,1.8,6.5,882300.0,1987600,17
CRR-3319,2025-10-01,NorthStar Distribution,Parcel,quarterly,26840,96.1,0.6,2.0,443700.5,117400,161
CRR-2267,2025-10-01,Apex Ground Transport,Intermodal,monthly,1184,84.7,2.6,9.4,1798200.0,3541200,31
CRR-9104,2025-07-01,Meridian Express Freight,Parcel,quarterly,5934,91.6,2.0,4.3,1481300.0,962100,119
CRR-6638,2025-07-01,Irongate Trucking Co.,LTL,quarterly,5229,90.9,1.6,4.1,1254800.5,845300,84
CRR-8815,2025-07-01,Apex Ground Transport,LTL,quarterly,3976,92.8,1.4,3.7,1108600.25,774900,56
