invoice_line_id,invoice_id,po_line_id,item_id,supplier_id,invoice_date,quantity_invoiced,unit_price,line_amount,price_variance,quantity_variance,line_status,unit_of_measure
ILN-83741,INV-19265,POL-26049,ITM-5067,SUP-2967,2024-01-15,150,42.75,6412.5,-127.5,0,Approved,EA
ILN-29384,INV-74563,POL-48293,ITM-1589,SUP-9057,2024-02-03,500,18.9,9450.0,0,50,Approved,KG
ILN-57203,INV-38056,POL-48293,ITM-5941,SUP-9057,2024-02-18,75,215.0,16125.0,375.0,-25,Pending,EA
ILN-64819,INV-38056,POL-32761,ITM-5067,SUP-8390,2024-03-05,1200,5.4,6480.0,120.0,0,Approved,LB
ILN-13056,INV-27416,POL-48293,ITM-8327,SUP-9057,2024-03-22,300,88.5,26550.0,-450.0,0,Approved,EA
ILN-90472,INV-63712,POL-84503,ITM-6389,SUP-4456,2024-04-10,50,1340.0,67000.0,2000.0,5,On Hold,EA
ILN-37614,INV-38056,POL-48293,ITM-8740,SUP-6640,2024-04-28,800,12.25,9800.0,0,-200,Approved,M
ILN-48293,INV-72184,POL-34256,ITM-8327,SUP-5102,2024-05-14,250,64.8,16200.0,-320.0,0,Approved,EA
ILN-71905,INV-98053,POL-58394,ITM-5812,SUP-6640,2024-05-30,100,475.0,47500.0,1250.0,10,Disputed,EA
ILN-25837,INV-47823,POL-26049,ITM-1589,SUP-9057,2024-06-11,600,9.75,5850.0,0,100,Approved,KG
ILN-63480,INV-24867,POL-34256,ITM-5941,SUP-9057,2024-06-25,400,33.6,13440.0,160.0,0,Approved,EA
ILN-19274,INV-24867,POL-78312,ITM-2931,SUP-5102,2024-07-08,90,892.0,80280.0,-1800.0,-10,Approved,EA
ILN-84503,INV-48593,POL-48293,ITM-5812,SUP-4821,2024-07-22,2000,3.15,6300.0,300.0,0,Approved,LB
ILN-32761,INV-19265,POL-58394,ITM-8740,SUP-8823,2024-08-05,35,2180.0,76300.0,700.0,5,On Hold,EA
ILN-57038,INV-47823,POL-29384,ITM-5067,SUP-9057,2024-08-19,1500,7.85,11775.0,-225.0,0,Approved,M
ILN-96142,INV-27416,POL-29384,ITM-5941,SUP-9057,2024-09-02,200,156.4,31280.0,480.0,0,Approved,EA
ILN-40875,INV-51847,POL-48293,ITM-8740,SUP-7781,2024-09-17,750,22.1,16575.0,0,-50,Cancelled,KG
ILN-73619,INV-27416,POL-34256,ITM-5067,SUP-3309,2024-10-01,125,318.0,39750.0,-1250.0,0,Approved,EA
ILN-21487,INV-44629,POL-48293,ITM-7394,SUP-3812,2024-10-14,3000,2.65,7950.0,150.0,500,Disputed,LB
ILN-58394,INV-29034,POL-78312,ITM-9854,SUP-8823,2024-10-28,60,745.0,44700.0,900.0,0,Approved,EA
ILN-87023,INV-63712,POL-34256,ITM-7216,SUP-9057,2024-11-12,450,38.2,17190.0,-810.0,-50,Approved,EA
ILN-34256,INV-24867,POL-57203,ITM-8740,SUP-9057,2024-11-26,1000,14.5,14500.0,500.0,0,Approved,KG
ILN-69781,INV-51847,POL-57038,ITM-3405,SUP-8823,2024-12-09,80,527.5,42200.0,-800.0,5,Pending,EA
