invoice_id,supplier_invoice_number,po_id,supplier_id,invoice_date,due_date,invoice_status,currency,gross_amount,tax_amount,discount_amount,net_amount,days_to_pay,is_3way_matched
INV-7342,SUPP-2024-8841,PO-19473,SUPP-3821,2026-09-01,2026-10-01,Approved,CAD,48200.0,3856.0,482.0,51574.0,30,true
INV-5918,SUPP-2026-3310,PO-28841,SUPP-4472,2026-09-01,2026-09-31,Paid,AUD,112500.0,9000.0,1125.0,120375.0,30,false
INV-6203,SUPP-2026-7724,PO-33901,SUPP-5139,2026-09-01,2026-10-16,Cancelled,GBP,67800.0,5424.0,0.0,73224.0,45,false
INV-8847,SUPP-2026-1156,PO-41022,SUPP-6784,2026-09-01,2026-10-01,Paid,CAD,295000.0,23600.0,2950.0,315650.0,30,false
INV-4491,SUPP-2026-9983,PO-52374,SUPP-2291,2026-09-01,2026-09-16,Under Review,USD,34100.0,6820.0,341.0,40579.0,15,true
INV-3076,SUPP-2026-4417,PO-67183,SUPP-8830,2026-08-14,2026-09-13,Cancelled,AUD,88400.0,7072.0,884.0,94588.0,30,true
INV-9120,SUPP-2026-5529,PO-74801,SUPP-1047,2026-07-22,2026-08-21,Approved,USD,153000.0,19890.0,1530.0,171360.0,30,true
INV-2588,SUPP-2026-2203,PO-83647,SUPP-3310,2026-06-10,2026-07-25,Cancelled,USD,521000.0,41680.0,5210.0,557470.0,45,true
INV-7764,SUPP-2026-8840,PO-91204,SUPP-7752,2026-05-03,2026-06-02,Disputed,AUD,74500.0,14900.0,745.0,88655.0,30,false
INV-1439,SUPP-2026-6671,PO-10583,SUPP-9923,2026-04-18,2026-06-02,Approved,AUD,237800.0,19024.0,0.0,256824.0,45,false
INV-8302,SUPP-2026-3384,PO-22918,SUPP-4186,2026-03-27,2026-04-26,Paid,GBP,61200.0,12240.0,612.0,72828.0,30,true
INV-5541,SUPP-2026-1092,PO-38476,SUPP-6618,2026-02-14,2026-03-16,Paid,CAD,189700.0,15176.0,1897.0,202979.0,30,false
INV-6877,SUPP-2026-7715,PO-47392,SUPP-2850,2026-01-30,2026-03-16,Pending,AUD,98300.0,9830.0,983.0,107147.0,45,false
INV-3955,SUPP-2026-4430,PO-59014,SUPP-7391,2026-01-08,2026-02-07,Pending,USD,43700.0,3496.0,437.0,46759.0,30,true
INV-2241,SUPP-2025-9917,PO-63827,SUPP-5503,2025-11-19,2026-01-03,Paid,GBP,317400.0,63480.0,3174.0,377706.0,45,true
INV-9083,SUPP-2025-6624,PO-71590,SUPP-8145,2025-09-04,2025-10-04,Disputed,GBP,77600.0,6208.0,776.0,83032.0,30,false
INV-4714,SUPP-2025-3381,PO-84203,SUPP-3629,2025-07-22,2025-09-05,Disputed,AUD,462000.0,36960.0,4620.0,494340.0,45,false
INV-8829,SUPP-2025-1108,PO-92748,SUPP-1764,2025-05-15,2025-06-14,Paid,GBP,29500.0,5900.0,0.0,35400.0,30,true
INV-1672,SUPP-2025-8847,PO-15837,SUPP-4940,2025-03-08,2025-04-22,Pending,CAD,138900.0,11112.0,1389.0,148623.0,45,false
INV-7190,SUPP-2024-5563,PO-24619,SUPP-6307,2024-12-20,2025-02-03,Approved,CAD,203500.0,26455.0,2035.0,227920.0,45,false
INV-5327,SUPP-2024-2279,PO-37084,SUPP-9571,2024-10-11,2024-11-10,Cancelled,GBP,56700.0,4536.0,0.0,61236.0,30,true
INV-6048,SUPP-2024-9934,PO-48715,SUPP-2078,2024-09-05,2024-10-05,Cancelled,CAD,412300.0,82460.0,4123.0,490637.0,30,false
