receipt_id,po_id,shipment_id,supplier_id,receipt_date,warehouse_id,quantity_received,quantity_accepted,quantity_rejected,receipt_status,is_quality_passed
GR-48291,PO-73845,SHP-92047,SUP-3841,2026-09-01,WH-Chicago-01,1200,1185,15,Completed,true
GR-58374,PO-61029,SHP-83741,SUP-7293,2026-09-01,WH-Dallas-03,450,450,0,Partially Accepted,true
GR-61847,PO-84920,SHP-71038,SUP-5512,2026-09-01,WH-Atlanta-02,830,780,50,Partially Accepted,false
GR-72059,PO-55381,SHP-60294,SUP-1174,2026-09-01,WH-Seattle-04,2100,2100,0,Completed,false
GR-83412,PO-39174,SHP-54812,SUP-8847,2026-09-01,WH-Phoenix-01,560,0,560,Rejected,true
GR-94837,PO-72613,SHP-48293,SUP-3022,2026-09-01,WH-Chicago-01,990,960,30,Completed,false
GR-10548,PO-48203,SHP-37492,SUP-6630,2026-09-01,WH-Dallas-03,375,375,0,Rejected,false
GR-21983,PO-91847,SHP-29183,SUP-4491,2026-09-01,WH-Memphis-02,1450,1430,20,Completed,true
GR-33271,PO-67492,SHP-19284,SUP-2809,2026-08-28,WH-Atlanta-02,620,600,20,Partially Accepted,false
GR-44592,PO-53018,SHP-84710,SUP-7293,2026-08-22,WH-Seattle-04,3200,3200,0,Rejected,true
GR-55018,PO-28741,SHP-75381,SUP-5512,2026-08-15,WH-Phoenix-01,890,845,45,Partially Accepted,true
GR-66347,PO-14839,SHP-62047,SUP-1174,2026-08-09,WH-Chicago-01,1750,1750,0,Completed,false
GR-77821,PO-80293,SHP-50183,SUP-8847,2026-07-30,WH-Dallas-03,410,410,0,Partially Accepted,false
GR-88473,PO-96482,SHP-43829,SUP-3841,2026-07-18,WH-Memphis-02,2650,2600,50,Rejected,false
GR-99284,PO-41857,SHP-38204,SUP-3022,2026-07-05,WH-Atlanta-02,780,780,0,Rejected,false
GR-11092,PO-57293,SHP-27491,SUP-6630,2026-06-24,WH-Seattle-04,1100,1070,30,Completed,true
GR-22481,PO-32948,SHP-18293,SUP-4491,2026-06-12,WH-Phoenix-01,540,0,540,Rejected,true
GR-33867,PO-19473,SHP-91847,SUP-2809,2026-05-29,WH-Chicago-01,1900,1900,0,Partially Accepted,true
GR-44183,PO-63819,SHP-82930,SUP-7293,2026-05-14,WH-Dallas-03,670,645,25,Completed,true
GR-55729,PO-77502,SHP-73018,SUP-1174,2026-04-30,WH-Memphis-02,3400,3400,0,Rejected,false
GR-66054,PO-44817,SHP-64729,SUP-5512,2026-04-11,WH-Atlanta-02,290,290,0,Partially Accepted,false
GR-77398,PO-88263,SHP-55481,SUP-8847,2026-03-22,WH-Seattle-04,820,795,25,Rejected,true
GR-88712,PO-29384,SHP-46382,SUP-3841,2026-03-08,WH-Phoenix-01,1580,1580,0,Partially Accepted,true
GR-99031,PO-51739,SHP-39201,SUP-3022,2026-02-17,WH-Chicago-01,460,460,0,Rejected,true
GR-10847,PO-65402,SHP-28473,SUP-6630,2026-01-30,WH-Dallas-03,2200,2150,50,Rejected,false
GR-21364,PO-38291,SHP-19847,SUP-4491,2025-11-18,WH-Memphis-02,730,700,30,Completed,true
GR-32891,PO-74918,SHP-11293,SUP-2809,2025-08-04,WH-Atlanta-02,1640,1640,0,Rejected,true
GR-43529,PO-20847,SHP-08392,SUP-5512,2024-12-11,WH-Seattle-04,950,920,30,Partially Accepted,true
