route_id,freight_order_id,carrier_id,carrier_name,origin_city,origin_country,destination_city,destination_country,transport_mode,order_date,order_status,distance_km,agreed_cost_usd,actual_cost_usd,cost_variance_usd,cost_variance_pct,cost_per_km_actual,industry_benchmark_per_km,benchmark_variance_pct,vehicle_type,load_weight_kg,load_capacity_kg,load_utilization_pct,transit_days,fuel_surcharge_usd,toll_cost_usd,handling_cost_usd,total_landed_cost_usd
RTE-8826-01,FO-83741,CRR-7364,RailLink Express,Chicago,USA,Detroit,USA,Road,2024-01-15,Delivered,458,4200.0,4380.5,180.5,4.3,9.57,9.20,4.0,18-Wheeler,18500,24000,77,1,312.5,85.0,220.0,4997.5
RTE-7581-01,FO-29156,CRR-4821,MetroFreight Co.,Los Angeles,USA,Phoenix,USA,Road,2024-02-03,Delivered,597,3750.0,3690.0,-60.0,-1.6,6.18,6.50,-4.9,Box Truck,12800,18000,71,1,248.0,42.0,180.0,4160.0
RTE-4821-01,FO-64802,CRR-6079,AeroCargo Solutions,Dallas,USA,Houston,USA,Road,2024-03-10,In Transit,386,1850.0,1920.75,70.75,3.8,4.97,4.80,3.5,Flatbed Truck,8200,20000,41,1,154.0,38.0,115.0,2227.0
RTE-2195-01,FO-51374,CRR-1485,CrossContinent Rail,New York,USA,Philadelphia,USA,Rail,2024-01-28,Delivered,151,2100.0,2045.0,-55.0,-2.6,13.54,14.00,-3.3,Rail Car,35000,50000,70,1,82.0,0.0,240.0,2367.0
RTE-8826-02,FO-37629,CRR-8842,GlobalShip Inc.,Seattle,USA,Portland,USA,Road,2024-02-14,Cancelled,280,1400.0,0.0,-1400.0,-100.0,0.00,5.20,-100.0,Box Truck,0,18000,0,1,0.0,0.0,0.0,0.0
RTE-4821-02,FO-90483,CRR-9203,NationWide Movers,Miami,USA,Atlanta,USA,Road,2024-03-22,Delivered,1063,5300.0,5475.25,175.25,3.3,5.15,5.00,3.0,18-Wheeler,22000,24000,92,2,438.0,195.0,320.0,6428.25
RTE-9154-01,FO-14567,CRR-8842,GlobalShip Inc.,Denver,USA,Salt Lake City,USA,Road,2024-04-05,Delivered,611,2900.0,2855.0,-45.0,-1.6,4.67,4.90,-4.7,Box Truck,14500,18000,81,1,228.0,68.0,195.0,3346.0
RTE-7581-02,FO-72938,CRR-6079,AeroCargo Solutions,Boston,USA,New York,USA,Road,2024-04-18,In Transit,346,1650.0,1710.0,60.0,3.6,4.94,4.80,2.9,Refrigerated Truck,11200,15000,75,1,136.8,72.0,185.0,2103.8
RTE-2195-02,FO-45821,CRR-1485,CrossContinent Rail,Minneapolis,USA,Milwaukee,USA,Rail,2024-05-02,Delivered,540,3100.0,3220.5,120.5,3.9,5.96,5.80,2.8,Rail Car,28000,50000,56,2,162.0,0.0,285.0,3667.5
RTE-7364-01,FO-68304,CRR-7364,RailLink Express,San Francisco,USA,Sacramento,USA,Road,2024-05-15,Pending,141,1250.0,1250.0,0.0,0.0,8.87,8.50,4.4,Flatbed Truck,5500,20000,28,1,100.0,22.0,145.0,1517.0
RTE-2195-03,FO-23759,CRR-1485,CrossContinent Rail,Kansas City,USA,St. Louis,USA,Road,2024-06-08,Delivered,376,1900.0,1875.0,-25.0,-1.3,4.99,5.00,-0.2,18-Wheeler,19800,24000,83,1,150.0,55.0,210.0,2290.0
RTE-4821-03,FO-58147,CRR-4821,MetroFreight Co.,Nashville,USA,Louisville,USA,Road,2024-06-21,Delivered,427,2200.0,2310.0,110.0,5.0,5.41,5.00,8.2,Box Truck,16200,18000,90,1,184.8,52.0,195.0,2741.8
RTE-5517-01,FO-31896,CRR-4821,MetroFreight Co.,Charlotte,USA,Raleigh,USA,Road,2024-07-03,In Transit,247,1100.0,1145.0,45.0,4.1,4.64,4.50,3.1,Box Truck,9800,18000,54,1,91.6,38.0,135.0,1409.6
RTE-2195-04,FO-79425,CRR-4821,MetroFreight Co.,Indianapolis,USA,Columbus,USA,Road,2024-07-19,Delivered,296,2450.0,2390.0,-60.0,-2.4,8.07,8.30,-2.8,Refrigerated Truck,13600,15000,91,1,191.2,45.0,215.0,2841.2
RTE-2195-05,FO-46283,CRR-8842,GlobalShip Inc.,Las Vegas,USA,Los Angeles,USA,Road,2024-08-01,Delivered,435,3600.0,3725.8,125.8,3.5,8.57,8.20,4.5,18-Wheeler,21500,24000,90,1,298.1,82.0,285.0,4390.9
RTE-2195-06,FO-17563,CRR-4821,MetroFreight Co.,Portland,USA,Boise,USA,Road,2024-08-14,Cancelled,702,2750.0,0.0,-2750.0,-100.0,0.00,4.20,-100.0,Flatbed Truck,0,20000,0,2,0.0,0.0,0.0,0.0
RTE-2195-07,FO-84931,CRR-4821,MetroFreight Co.,Memphis,USA,Birmingham,USA,Road,2024-08-27,Delivered,365,2050.0,2100.0,50.0,2.4,5.75,5.50,4.5,18-Wheeler,17900,24000,75,1,168.0,48.0,220.0,2536.0
RTE-2195-08,FO-52748,CRR-4821,MetroFreight Co.,San Antonio,USA,Austin,USA,Road,2024-09-10,Delivered,128,1350.0,1295.0,-55.0,-4.1,10.12,10.50,-3.6,Box Truck,6800,18000,38,1,103.6,18.0,145.0,1561.6
RTE-2195-09,FO-39167,CRR-5130,PrimeHaul Transport,Cincinnati,USA,Pittsburgh,USA,Road,2024-09-23,In Transit,484,2800.0,2950.0,150.0,5.4,6.09,5.80,5.0,18-Wheeler,20200,24000,84,1,236.0,95.0,285.0,3566.0
