cargo_item_id,shipment_id,item_type,commodity_category,is_hazardous,weight_kg,volume_cbm,declared_value,quantity,created_date
CGO-58312,SHP-29567,Pallet,Electronics,False,1240.5,4.8,87500.0,48,2024-03-15
CGO-72419,SHP-52843,Crate,Industrial Machinery,False,5800.0,18.2,214000.0,6,2024-01-22
CGO-34891,SHP-78340,Drum,Chemicals,True,920.0,2.1,31200.0,20,2024-05-08
CGO-61057,SHP-78340,Carton,Pharmaceuticals,False,380.0,1.6,145000.0,200,2024-07-11
CGO-29483,SHP-50934,Container,Textiles,False,12400.0,33.5,98000.0,1500,2023-11-03
CGO-85726,SHP-11748,Pallet,Food & Beverage,False,2100.0,6.4,42500.0,300,2024-02-19
CGO-47139,SHP-69357,Bag,Agriculture,False,8500.0,14.0,28700.0,850,2023-12-14
CGO-93205,SHP-91053,Crate,Automotive Parts,False,3750.0,9.7,176000.0,120,2024-04-27
CGO-16384,SHP-62714,Drum,Petroleum Products,True,4200.0,5.5,62000.0,40,2024-06-02
CGO-52871,SHP-78340,Carton,Consumer Goods,False,610.0,3.2,53400.0,400,2024-08-19
CGO-78564,SHP-62714,Pallet,Electronics,False,980.0,3.9,124000.0,60,2024-09-05
CGO-23917,SHP-67523,Container,Furniture,False,9600.0,42.0,88500.0,180,2023-10-28
CGO-41658,SHP-67523,Crate,Medical Equipment,False,720.0,4.3,310000.0,15,2024-01-09
CGO-67290,SHP-67523,Bag,Chemicals,True,3300.0,5.8,47800.0,330,2024-03-31
CGO-89043,SHP-31082,Pallet,Food & Beverage,False,4700.0,12.1,73200.0,560,2024-07-22
CGO-35712,SHP-83401,Carton,Apparel,False,520.0,2.9,38400.0,750,2024-05-17
CGO-54823,SHP-31082,Container,Raw Materials,False,18200.0,28.5,56000.0,1,2023-09-14
CGO-12067,SHP-52843,Drum,Petroleum Products,True,6100.0,8.4,94500.0,60,2024-10-01
CGO-76549,SHP-62714,Pallet,Pharmaceuticals,False,290.0,1.2,267000.0,80,2024-06-29
CGO-38104,SHP-11748,Crate,Automotive Parts,False,4100.0,11.3,142000.0,95,2024-02-08
CGO-91472,SHP-52843,Carton,Consumer Goods,False,870.0,4.6,61500.0,620,2024-08-14
CGO-25836,SHP-69357,Pallet,Industrial Machinery,False,7300.0,22.8,389000.0,8,2023-11-25
CGO-63914,SHP-83401,Bag,Agriculture,False,11400.0,19.2,34800.0,1140,2024-04-03
CGO-47283,SHP-62714,Container,Electronics,False,3200.0,16.7,512000.0,240,2024-09-18
CGO-80375,SHP-87463,Drum,Chemicals,True,2650.0,3.8,41200.0,30,2024-07-07
CGO-19527,SHP-36285,Crate,Medical Equipment,False,440.0,2.4,198000.0,12,2024-03-16
CGO-55691,SHP-62714,Pallet,Textiles,False,1800.0,7.3,55000.0,900,2024-07-12
CGO-33748,SHP-83401,Carton,Cosmetics,False,310.0,1.8,79600.0,480,2024-02-20
CGO-70162,SHP-62714,Pallet,Rubber & Plastics,False,2900.0,8.9,47300.0,360,2024-01-23
CGO-48239,SHP-87463,Drum,Chemicals,True,1580.0,3.2,58700.0,35,2024-05-09
CGO-86014,SHP-74182,Container,Steel & Metals,False,22500.0,24.0,183000.0,1,2024-04-28
