transaction_id,date,product_category,units_sold,unit_selling_price,unit_cost_of_goods,revenue,cost_of_goods_sold,gross_profit,gross_profit_margin,operating_expenses,operating_profit,net_profit,net_profit_margin
TXN-48271,2026-09-01,Industrial Components,340,127.5,84.2,43350.0,28628.0,14722.0,33.96,5200.0,9522.0,7418.0,17.11
TXN-83614,2026-09-02,Packaging Materials,1200,14.75,9.3,17700.0,11160.0,6540.0,36.95,1980.0,4560.0,3648.0,20.61
TXN-29047,2026-09-01,Raw Materials,580,210.0,158.4,121800.0,91872.0,29928.0,24.57,12400.0,17528.0,13462.0,11.05
TXN-57392,2026-09-02,Electronic Components,95,485.0,312.75,46075.0,29711.25,16363.75,35.52,5800.0,10563.75,8240.0,17.88
TXN-61845,2026-09-01,Safety Equipment,220,89.99,52.6,19797.8,11572.0,8225.8,41.55,2750.0,5475.8,4216.0,21.29
TXN-74123,2026-08-27,Logistics Equipment,45,1240.0,870.0,55800.0,39150.0,16650.0,29.84,7200.0,9450.0,7182.0,12.87
TXN-39856,2026-08-15,Chemical Supplies,760,67.25,44.8,51110.0,34048.0,17062.0,33.38,6300.0,10762.0,8394.0,16.42
TXN-52784,2026-07-22,Industrial Components,415,135.0,88.5,56025.0,36727.5,19297.5,34.45,6850.0,12447.5,9628.0,17.19
TXN-18463,2026-06-30,Packaging Materials,3400,8.5,5.1,28900.0,17340.0,11560.0,39.99,3200.0,8360.0,6548.0,22.66
TXN-96231,2026-06-14,Raw Materials,890,195.0,142.3,173550.0,126647.0,46903.0,27.02,18900.0,28003.0,21842.0,12.59
TXN-43718,2026-05-08,Electronic Components,142,520.0,335.0,73840.0,47570.0,26270.0,35.58,9100.0,17170.0,13184.0,17.85
TXN-67902,2026-04-19,Safety Equipment,308,94.5,58.2,29106.0,17925.6,11180.4,38.41,3800.0,7380.4,5757.0,19.78
TXN-21539,2026-03-25,Logistics Equipment,62,1180.0,820.0,73160.0,50840.0,22320.0,30.51,9400.0,12920.0,9879.0,13.5
TXN-85674,2026-03-05,Chemical Supplies,1050,72.0,47.5,75600.0,49875.0,25725.0,34.03,9200.0,16525.0,12890.0,17.05
TXN-34218,2026-02-11,Raw Materials,670,188.0,136.7,125960.0,91589.0,34371.0,27.29,15600.0,18771.0,14362.0,11.4
TXN-79045,2026-01-28,Electronic Components,78,610.0,395.0,47580.0,30810.0,16770.0,35.24,6200.0,10570.0,8178.0,17.19
TXN-56381,2026-01-09,Industrial Components,290,142.0,95.8,41180.0,27782.0,13398.0,32.53,5100.0,8298.0,6472.0,15.72
TXN-12904,2025-11-18,Packaging Materials,2800,11.25,7.0,31500.0,19600.0,11900.0,37.78,3600.0,8300.0,6474.0,20.55
TXN-48093,2025-09-30,Safety Equipment,415,78.0,48.5,32370.0,20127.5,12242.5,37.82,4400.0,7842.5,6017.0,18.59
TXN-63527,2025-07-14,Chemical Supplies,930,63.5,41.2,59055.0,38316.0,20739.0,35.12,7800.0,12939.0,9933.0,16.82
TXN-27841,2025-04-22,Logistics Equipment,38,1350.0,940.0,51300.0,35720.0,15580.0,30.37,7100.0,8480.0,6374.0,12.43
TXN-91462,2024-12-05,Raw Materials,740,202.0,148.6,149480.0,109964.0,39516.0,26.44,17200.0,22316.0,17206.0,11.51
