leg_id,shipment_id,carrier_id,route_id,vehicle_id,leg_sequence,leg_status,leg_distance_km,leg_cost,actual_transit_hours,planned_departure_date
LEG-7284,SHP-15926,CRR-8842,RTE-4821,VEH-4718,1,completed,342.5,1284.75,6.5,2024-01-15
LEG-3951,SHP-29567,CRR-1485,RTE-3382,VEH-7439,2,completed,518.0,2103.4,9.25,2024-01-16
LEG-6147,SHP-36285,CRR-9203,RTE-4821,VEH-1064,1,completed,275.8,987.6,5.0,2024-02-03
LEG-8823,SHP-29567,CRR-9203,RTE-3697,VEH-8612,2,completed,634.2,2456.8,11.75,2024-02-04
LEG-2036,SHP-44859,CRR-3316,RTE-3697,VEH-3847,3,completed,189.3,712.5,3.5,2024-02-06
LEG-5419,SHP-29567,CRR-7364,RTE-8826,VEH-3906,1,completed,892.4,3871.2,16.0,2024-02-18
LEG-1782,SHP-29567,CRR-7364,RTE-2195,VEH-1064,1,in_transit,453.7,1893.3,8.25,2024-03-05
LEG-9374,SHP-29567,CRR-4821,RTE-3382,VEH-3906,2,pending,310.6,1245.9,0.0,2024-03-07
LEG-4658,SHP-29567,CRR-5130,RTE-4821,VEH-3906,1,completed,720.1,3102.45,13.5,2024-03-12
LEG-3027,SHP-55174,CRR-6079,RTE-4821,VEH-2893,1,completed,562.9,2318.6,10.75,2024-03-20
LEG-7516,SHP-93016,CRR-8842,RTE-9154,VEH-3906,2,completed,384.5,1576.8,7.0,2024-03-22
LEG-2894,SHP-36285,CRR-2957,RTE-4470,VEH-5039,1,completed,1045.3,4812.7,19.5,2024-04-02
LEG-6381,SHP-18540,CRR-3316,RTE-4821,VEH-3906,2,completed,278.4,1034.2,5.25,2024-04-05
LEG-8049,SHP-44859,CRR-8842,RTE-4821,VEH-4718,1,cancelled,415.7,0.0,0.0,2024-04-11
LEG-1563,SHP-47839,CRR-4821,RTE-4470,VEH-3906,2,completed,667.2,2891.5,12.0,2024-04-14
LEG-4712,SHP-29567,CRR-6079,RTE-3382,VEH-7439,1,completed,529.8,2174.3,9.75,2024-04-22
LEG-9235,SHP-76219,CRR-4821,RTE-4821,VEH-3906,1,completed,812.6,3548.9,15.25,2024-05-07
LEG-5084,SHP-29567,CRR-3316,RTE-9154,VEH-5039,2,completed,346.1,1389.7,6.25,2024-05-09
LEG-7643,SHP-29567,CRR-8842,RTE-4821,VEH-3906,1,in_transit,978.4,4321.6,18.0,2024-05-15
LEG-2318,SHP-18540,CRR-5130,RTE-4821,VEH-3847,1,completed,437.9,1804.5,8.0,2024-05-28
LEG-8796,SHP-36285,CRR-4821,RTE-6709,VEH-3847,1,completed,1124.7,5236.8,21.5,2024-06-03
LEG-3462,SHP-29567,CRR-1485,RTE-4821,VEH-3847,1,completed,294.6,1127.3,5.5,2024-06-17
LEG-6927,SHP-36285,CRR-7364,RTE-4821,VEH-5039,1,completed,743.5,3287.4,14.0,2024-07-01
LEG-1054,SHP-29567,CRR-5130,RTE-5234,VEH-5039,1,completed,588.3,2496.1,10.5,2024-07-14
LEG-4387,SHP-29567,CRR-4821,RTE-4821,VEH-5039,1,in_transit,861.9,3754.2,16.75,2024-08-05
LEG-9162,SHP-29567,CRR-1485,RTE-8826,VEH-3906,1,completed,503.2,2067.9,9.0,2024-08-19
LEG-5731,SHP-29567,CRR-5130,RTE-7581,VEH-5039,1,completed,676.4,2934.6,12.5,2024-09-02
LEG-2845,SHP-87463,CRR-4821,RTE-4821,VEH-4718,1,pending,392.7,1623.8,0.0,2024-09-18
