fuel_record_id,vehicle_id,trip_id,fuel_type,country,litres_consumed,fuel_cost,cost_per_litre,co2_kg_emitted,distance_km,record_date
FUEL-48271,VEH-2893,TRIP-68415,Diesel,Germany,142.6,213.9,1.5,379.32,612.0,2024-01-15
FUEL-39284,VEH-5281,TRIP-22857,Diesel,France,198.4,311.49,1.57,527.75,847.0,2024-01-22
FUEL-57463,VEH-8325,TRIP-17529,LNG,Netherlands,175.2,245.28,1.4,350.4,730.0,2024-02-03
FUEL-62819,VEH-3906,TRIP-17529,Diesel,Poland,223.7,312.38,1.4,595.05,958.0,2024-02-14
FUEL-73541,VEH-6193,TRIP-68415,HVO,Sweden,161.0,254.38,1.58,201.25,695.0,2024-02-28
FUEL-84726,VEH-4718,TRIP-23694,Diesel,Spain,289.3,411.21,1.42,769.54,1243.0,2024-03-07
FUEL-19384,VEH-2893,TRIP-68415,CNG,Italy,134.5,174.85,1.3,268.6,578.0,2024-03-19
FUEL-25837,VEH-8325,TRIP-68415,Diesel,Belgium,108.9,171.98,1.58,289.68,467.0,2024-03-25
FUEL-36491,VEH-2893,TRIP-23694,Diesel,Czech Republic,247.8,347.22,1.4,659.15,1064.0,2024-04-08
FUEL-47382,VEH-2041,TRIP-92471,LNG,Austria,189.6,265.44,1.4,379.2,814.0,2024-04-17
FUEL-58294,VEH-1064,TRIP-68415,Diesel,Germany,312.4,468.6,1.5,831.18,1341.0,2024-04-29
FUEL-61738,VEH-4718,TRIP-39184,HVO,Denmark,153.7,245.92,1.6,192.13,660.0,2024-05-11
FUEL-72849,VEH-9562,TRIP-68415,Diesel,Hungary,278.1,375.44,1.35,739.95,1194.0,2024-05-22
FUEL-83627,VEH-6193,TRIP-92471,CNG,France,119.3,155.09,1.3,238.3,512.0,2024-06-04
FUEL-94731,VEH-7439,TRIP-17529,Diesel,Portugal,334.6,491.86,1.47,890.36,1437.0,2024-06-18
FUEL-10583,VEH-3847,TRIP-72948,Diesel,Netherlands,167.8,251.7,1.5,446.55,721.0,2024-07-02
FUEL-21947,VEH-4718,TRIP-17529,HVO,Sweden,144.9,231.84,1.6,181.13,623.0,2024-07-15
FUEL-32184,VEH-2893,TRIP-51736,Diesel,Poland,256.3,358.82,1.4,682.0,1101.0,2024-07-28
FUEL-43826,VEH-5039,TRIP-17529,LNG,Belgium,203.5,284.9,1.4,407.0,874.0,2024-08-09
FUEL-54739,VEH-3906,TRIP-36529,Diesel,Germany,319.7,473.16,1.48,850.42,1373.0,2024-08-21
FUEL-65847,VEH-3906,TRIP-59273,CNG,Italy,127.4,165.62,1.3,254.4,548.0,2024-09-03
FUEL-76293,VEH-6193,TRIP-75621,Diesel,Austria,182.9,268.86,1.47,486.72,786.0,2024-09-17
FUEL-87461,VEH-6193,TRIP-67182,HVO,Denmark,138.6,221.76,1.6,173.25,596.0,2024-10-01
FUEL-98374,VEH-4157,TRIP-29384,Diesel,Spain,298.5,427.46,1.43,794.21,1282.0,2024-10-14
FUEL-11293,VEH-8325,TRIP-59273,LNG,Czech Republic,211.4,295.96,1.4,422.8,908.0,2024-10-28
FUEL-22481,VEH-1064,TRIP-61945,Diesel,France,273.6,397.62,1.45,727.87,1175.0,2024-11-08
FUEL-33647,VEH-5039,TRIP-68415,CNG,Hungary,145.8,189.54,1.3,291.3,627.0,2024-11-21
FUEL-44829,VEH-3847,TRIP-28461,Diesel,Portugal,307.2,451.58,1.47,817.15,1320.0,2024-12-05
