id,line,purchase_order,item,quantity_ordered,quantity_received,unit_cost,line_total
1,1,51,12,121,79,122.82,14861.22
2,3,275,4,103,58,108.82,11208.46
3,2,280,5,208,160,141.0,29328.0
4,1,71,7,242,161,43.72,10580.24
5,4,187,8,225,182,12.81,2882.25
6,3,270,3,127,100,18.99,2411.73
7,2,413,12,139,136,122.74,17060.86
8,3,82,13,83,54,63.12,5238.96
9,3,254,9,47,34,29.64,1393.08
10,1,312,3,47,36,19.67,924.49
11,2,246,6,226,217,68.84,15557.84
12,3,220,4,233,228,114.11,26587.63
13,1,396,14,182,121,109.3,19892.6
14,4,362,13,35,27,63.54,2223.9
15,3,406,10,37,23,104.83,3878.71
16,1,373,3,77,48,19.52,1503.04
17,3,41,13,298,256,59.82,17826.36
18,2,277,2,174,146,107.31,18671.94
19,3,104,7,73,61,40.65,2967.45
20,2,295,5,250,195,136.14,34035.0
21,3,8,7,70,57,43.46,3042.2
22,2,64,12,292,287,118.23,34523.16
23,1,68,4,265,212,115.81,30689.65
24,3,161,11,83,60,136.97,11368.51
25,3,387,2,296,282,110.64,32749.44
26,2,52,8,164,100,12.4,2033.6
27,3,393,8,212,164,12.34,2616.08
28,2,266,8,56,48,13.03,729.68
29,1,190,1,94,78,62.73,5896.62
30,2,201,10,61,36,102.35,6243.35
31,3,278,11,62,57,145.84,9042.08
32,3,401,13,140,120,62.79,8790.6
33,3,300,2,75,47,110.92,8319.0
34,4,49,1,99,70,60.1,5949.9
35,1,155,3,100,98,19.13,1913.0
36,2,213,2,211,189,109.19,23039.09
37,4,292,3,175,144,19.64,3437.0
38,1,374,12,75,56,118.64,8898.0
39,3,25,7,227,135,43.13,9790.51
40,1,306,6,129,116,68.89,8886.81
41,2,84,4,85,51,107.7,9154.5
42,2,242,8,285,200,13.13,3742.05
43,4,377,5,263,216,141.28,37156.64
44,4,209,6,208,178,71.56,14884.48
45,1,210,11,278,248,144.42,40148.76
46,3,25,4,242,185,108.52,26261.84
47,3,371,9,32,21,29.12,931.84
48,4,266,6,283,225,70.32,19900.56
49,3,281,8,55,43,12.28,675.4
50,1,398,13,221,193,63.03,13929.63
51,4,150,14,124,86,102.26,12680.24
52,4,164,5,40,35,145.79,5831.6
53,4,291,2,199,110,105.36,20966.64
54,4,117,3,163,149,18.66,3041.58
55,3,313,8,232,188,12.83,2976.56
56,3,279,13,209,127,61.3,12811.7
57,4,106,12,32,20,116.02,3712.64
58,4,313,5,157,108,141.72,22250.04
59,4,296,13,100,59,60.52,6052.0
60,2,42,7,201,114,41.4,8321.4
61,1,114,6,120,77,70.3,8436.0
62,3,140,9,189,140,28.83,5448.87
63,3,238,11,231,152,146.41,33820.71
64,2,304,14,183,142,106.37,19465.71
65,3,263,7,146,119,41.12,6003.52
66,1,231,3,144,116,19.02,2738.88
