incident_id,shipment_id,vehicle_id,driver_id,incident_type,incident_severity,incident_status,estimated_loss_value,claim_amount,resolution_days,incident_date
INC-48273,SHP-44859,VEH-9562,DRV-4823,Collision,High,Resolved,28500,24750,18,2023-03-14
INC-71934,SHP-43726,VEH-9562,DRV-9875,Cargo Damage,Medium,Resolved,9800,8600,12,2023-05-22
INC-53618,SHP-18540,VEH-9562,DRV-2984,Theft,Critical,Under Investigation,62000,58000,45,2023-07-09
INC-29847,SHP-52843,VEH-8325,DRV-2218,Breakdown,Low,Resolved,3200,2900,5,2023-08-17
INC-64502,SHP-69357,VEH-7439,DRV-2984,Delay,Low,Closed,1500,1200,3,2023-09-04
INC-87361,SHP-83401,VEH-9562,DRV-9875,Collision,Critical,In Progress,95000,87500,60,2023-10-28
INC-31759,SHP-55174,VEH-9562,DRV-8563,Cargo Damage,High,Resolved,18700,16400,21,2023-11-13
INC-95024,SHP-47839,VEH-9562,DRV-7802,Fuel Spillage,Medium,Resolved,7400,6800,9,2023-12-05
INC-42816,SHP-44859,VEH-6754,DRV-4823,Theft,High,Under Investigation,41000,38500,38,2024-01-19
INC-76390,SHP-87463,VEH-4157,DRV-8563,Breakdown,Medium,Resolved,5600,4900,7,2024-02-08
INC-58143,SHP-22691,VEH-5281,DRV-3671,Collision,Medium,Resolved,14300,12800,15,2024-02-27
INC-23967,SHP-55174,VEH-9562,DRV-9184,Cargo Damage,Low,Closed,2100,1850,4,2024-03-11
INC-80524,SHP-52843,VEH-9562,DRV-3392,Delay,Medium,Closed,4800,4200,6,2024-03-29
INC-37215,SHP-38472,VEH-9562,DRV-1396,Fuel Spillage,High,Resolved,22000,19500,25,2024-04-14
INC-61849,SHP-52843,VEH-9562,DRV-8563,Theft,Critical,Under Investigation,78000,73000,55,2024-04-30
INC-14736,SHP-50934,VEH-2041,DRV-2218,Breakdown,Low,Resolved,2700,2400,4,2024-05-16
INC-92358,SHP-62714,VEH-3906,DRV-1396,Collision,High,In Progress,35000,31500,30,2024-06-02
INC-45691,SHP-69357,VEH-9562,DRV-7802,Cargo Damage,Medium,Resolved,11200,9800,13,2024-06-18
INC-73024,SHP-44859,VEH-9562,DRV-9184,Delay,Low,Closed,900,750,2,2024-07-07
INC-18467,SHP-62714,VEH-9562,DRV-2984,Fuel Spillage,Critical,Resolved,54000,49000,40,2024-07-23
INC-56830,SHP-87463,VEH-5281,DRV-2984,Theft,High,Closed,33500,30000,28,2024-08-05
INC-39175,SHP-91053,VEH-9562,DRV-2984,Breakdown,Medium,Resolved,6100,5500,8,2024-08-19
INC-82643,SHP-52843,VEH-4718,DRV-3671,Cargo Damage,High,In Progress,26800,23500,22,2024-09-01
INC-67319,SHP-87463,VEH-6193,DRV-4418,Collision,Low,Resolved,4400,3900,6,2024-09-14
INC-24058,SHP-74182,VEH-4157,DRV-7802,Delay,Medium,Closed,3700,3200,5,2024-09-28
INC-50782,SHP-44859,VEH-9562,DRV-6239,Fuel Spillage,Medium,Resolved,8900,7800,11,2024-10-10
INC-13496,SHP-44859,VEH-3847,DRV-2984,Theft,Critical,Under Investigation,89000,84000,62,2024-10-24
INC-77253,SHP-38472,VEH-2041,DRV-2984,Breakdown,Low,Resolved,1800,1600,3,2024-11-07
