schedule_id,po_id,supplier_id,warehouse_id,scheduled_delivery_date,confirmed_delivery_date,actual_delivery_date,schedule_status,dock_door,expected_quantity,expected_pallets,days_early_late,is_on_time
SCH-38472,PO-28940,SUP-6640,WH-7364,2024-01-15,2024-01-14,2024-01-15,Delivered,DD-03,1240,18,0,True
SCH-91053,PO-56719,SUP-8390,WH-2095,2024-02-08,2024-02-08,2024-02-11,Delivered,DD-07,3400,42,3,False
SCH-56719,PO-89432,SUP-2967,WH-2095,2024-03-20,2024-03-19,2024-03-18,Delivered,DD-02,820,12,-2,True
SCH-74831,PO-73508,SUP-2967,WH-7364,2024-04-05,2024-04-05,2024-04-05,Delivered,DD-11,5600,64,0,True
SCH-20364,PO-56719,SUP-2193,WH-2095,2024-04-22,2024-04-23,2024-04-25,Delivered,DD-05,2100,28,3,False
SCH-83916,PO-50921,SUP-9057,WH-2095,2024-05-10,2024-05-09,2024-05-10,Delivered,DD-08,760,10,0,True
SCH-47205,PO-67843,SUP-2967,WH-2095,2024-05-28,2024-05-27,2024-05-26,Delivered,DD-04,4300,52,-2,True
SCH-65480,PO-67843,SUP-7781,WH-5537,2024-06-14,2024-06-14,2024-06-18,Delivered,DD-01,1890,24,4,False
SCH-13847,PO-67843,SUP-8823,WH-2095,2024-07-03,2024-07-03,2024-07-03,Delivered,DD-09,3100,38,0,True
SCH-29573,PO-95037,SUP-1475,WH-5537,2024-07-19,2024-07-20,2024-07-21,Delivered,DD-06,2750,33,2,False
SCH-50921,PO-67843,SUP-7364,WH-9142,2024-08-06,2024-08-06,2024-08-06,Delivered,DD-10,980,14,0,True
SCH-78346,PO-67843,SUP-3309,WH-7364,2024-08-25,2024-08-24,2024-08-23,Delivered,DD-03,6200,74,-2,True
SCH-34819,PO-78346,SUP-7364,WH-2095,2024-09-12,2024-09-12,,Cancelled,DD-07,1500,20,0,False
SCH-62074,PO-91053,SUP-4456,WH-2095,2024-09-30,2024-09-30,2024-09-30,Delivered,DD-02,4750,56,0,True
SCH-89432,PO-67843,SUP-5102,WH-4821,2024-10-14,2024-10-15,2024-10-17,Delivered,DD-05,2340,30,3,False
SCH-41685,PO-67843,SUP-2967,WH-2095,2024-10-28,2024-10-28,2024-10-28,Delivered,DD-11,870,11,0,True
SCH-15293,PO-67843,SUP-7364,WH-2095,2024-11-07,2024-11-06,2024-11-05,Delivered,DD-08,3680,44,-2,True
SCH-73508,PO-41685,SUP-4456,WH-7364,2024-11-22,2024-11-22,,Scheduled,DD-04,1150,16,0,
SCH-28940,PO-41685,SUP-2193,WH-9142,2024-12-03,2024-12-04,2024-12-09,Delivered,DD-01,5100,60,6,False
SCH-96174,PO-11596,SUP-3812,WH-4821,2024-12-18,2024-12-18,2024-12-18,Delivered,DD-09,2200,27,0,True
SCH-53867,PO-50921,SUP-7364,WH-2095,2025-01-09,2025-01-09,2025-01-08,Delivered,DD-06,1460,19,-1,True
SCH-37026,PO-74831,SUP-2193,WH-7364,2025-01-24,2025-01-24,,In Transit,DD-10,3900,47,0,
SCH-82359,PO-67843,SUP-9057,WH-2095,2025-02-05,2025-02-05,,Confirmed,DD-03,2680,35,0,
