shipment_line_id,shipment_id,po_line_id,item_id,shipment_date,quantity_shipped,quantity_damaged,unit_of_measure,line_status
SHL-48321,SHP-23896,POL-63480,ITM-2056,2024-03-15,240,3,EA,Delivered
SHL-72904,SHP-23896,POL-48293,ITM-2764,2024-03-15,120,0,CASE,Delivered
SHL-61537,SHP-52930,POL-58394,ITM-8740,2024-05-22,500,12,EA,Delivered
SHL-39842,SHP-94613,POL-53890,ITM-8327,2024-05-22,80,0,PALLET,Delivered
SHL-85203,SHP-15947,POL-25837,ITM-7394,2024-07-09,300,5,EA,Partially Received
SHL-10674,SHP-23896,POL-32761,ITM-2056,2024-07-09,150,2,CASE,Delivered
SHL-56789,SHP-57314,POL-69781,ITM-2931,2024-01-18,1000,0,EA,Delivered
SHL-23415,SHP-15947,POL-71905,ITM-5941,2024-01-18,60,1,PALLET,Delivered
SHL-94870,SHP-57314,POL-71905,ITM-6603,2024-09-03,450,20,EA,Damaged
SHL-37261,SHP-45681,POL-48293,ITM-2056,2024-09-03,200,0,CASE,Delivered
SHL-68042,SHP-15947,POL-87023,ITM-5941,2024-11-14,750,8,EA,Delivered
SHL-51983,SHP-15947,POL-19274,ITM-7394,2024-11-14,90,0,PALLET,Delivered
SHL-17364,SHP-15947,POL-90472,ITM-4172,2023-12-05,320,4,EA,Delivered
SHL-80529,SHP-94613,POL-34256,ITM-5941,2023-12-05,180,0,CASE,Delivered
SHL-43896,SHP-23896,POL-87023,ITM-2056,2024-02-27,600,15,EA,Partially Received
SHL-29017,SHP-68139,POL-42637,ITM-6603,2024-02-27,110,0,PALLET,Delivered
SHL-75641,SHP-30586,POL-32761,ITM-5941,2024-06-18,420,6,EA,Delivered
SHL-32850,SHP-23896,POL-57203,ITM-2931,2024-06-18,75,2,CASE,Delivered
SHL-96273,SHP-15947,POL-37614,ITM-2056,2024-08-11,850,0,EA,Delivered
SHL-14728,SHP-23896,POL-71905,ITM-4172,2024-08-11,200,10,CASE,Damaged
SHL-58392,SHP-15947,POL-32761,ITM-6603,2024-10-02,540,0,EA,Delivered
SHL-27163,SHP-15947,POL-63480,ITM-2056,2024-10-02,100,3,PALLET,Delivered
SHL-89045,SHP-94613,POL-37614,ITM-3648,2024-04-25,380,0,EA,Delivered
SHL-63714,SHP-30586,POL-71905,ITM-5941,2024-04-25,225,7,CASE,Partially Received
SHL-40587,SHP-57314,POL-69781,ITM-1247,2023-11-30,670,0,EA,Delivered
SHL-19836,SHP-34167,POL-71905,ITM-5941,2023-11-30,55,1,PALLET,Delivered
SHL-74920,SHP-15947,POL-15904,ITM-8740,2024-12-01,490,18,EA,Damaged
SHL-52381,SHP-57314,POL-29384,ITM-3405,2024-12-01,130,0,CASE,In Transit
SHL-36047,SHP-15947,POL-58394,ITM-4821,2024-03-08,720,9,EA,Delivered
SHL-81654,SHP-86742,POL-58394,ITM-1247,2024-07-30,260,0,CASE,Delivered
SHL-25309,SHP-70523,POL-57038,ITM-7216,2024-09-19,400,11,EA,Partially Received
SHL-67832,SHP-72814,POL-21487,ITM-2056,2024-05-06,310,0,PALLET,Delivered
SHL-43071,SHP-23896,POL-37614,ITM-2056,2024-01-29,580,4,EA,Delivered
SHL-90246,SHP-15947,POL-34256,ITM-3405,2024-10-22,195,0,CASE,In Transit
