id,name,category,country,terms,lead_time_days,reliability_score,onboarded_date
1,Meridian Components,packaging,MX,net_45,39.46,3.88,2025-04-08
2,Pacific Metals,services,MX,net_60,16.19,1.49,2026-01-20
3,Nordwind GmbH,components,GB,net_30,34.0,2.37,2025-12-07
4,Delta Plastics,packaging,US,net_60,18.7,3.26,2026-07-14
5,Sunrise Packaging,services,US,net_30,13.91,3.05,2026-01-30
6,Osaka Precision,logistics,US,net_45,43.41,1.78,2026-06-05
7,Cascade Chemicals,packaging,FR,net_60,19.6,4.84,2026-02-22
8,Ironclad Tooling,components,GB,net_60,29.84,2.51,2025-08-09
9,Meridian Components 2,logistics,GB,net_60,42.23,1.77,2024-10-04
10,Pacific Metals 2,packaging,DE,net_15,21.67,2.13,2026-06-05
11,Nordwind GmbH 2,raw_materials,MX,net_60,7.5,4.74,2025-01-31
12,Delta Plastics 2,services,GB,net_15,5.69,3.8,2025-06-25
13,Sunrise Packaging 2,raw_materials,FR,net_45,26.79,4.91,2025-06-06
14,Osaka Precision 2,packaging,GB,net_15,37.51,2.81,2026-02-09
