po_id,supplier_id,po_date,expected_delivery_date,po_status,currency,total_amount,total_line_items,buyer_id,department,is_emergency
PO-84731,SUP-3821,2026-09-01,2026-09-15,Draft,USD,48250.75,12,BYR-1042,Procurement,false
PO-29183,SUP-6174,2026-09-01,2026-09-20,Pending,EUR,127400.0,8,BYR-2387,IT,false
PO-57604,SUP-9302,2026-09-01,2026-09-18,Received,CAD,63800.5,15,BYR-4519,Logistics,true
PO-13946,SUP-2218,2026-09-01,2026-09-25,Cancelled,EUR,22175.3,5,BYR-3764,Logistics,true
PO-70258,SUP-5487,2026-09-01,2026-09-30,Approved,USD,95300.0,20,BYR-1892,Logistics,false
PO-44892,SUP-7631,2026-08-22,2026-09-10,Approved,CAD,311500.0,34,BYR-5023,Operations,false
PO-61327,SUP-4409,2026-08-15,2026-09-05,Closed,USD,74820.4,9,BYR-2387,Operations,true
PO-38510,SUP-8823,2026-08-05,2026-08-28,Received,USD,18640.0,6,BYR-4519,IT,false
PO-92047,SUP-1156,2026-07-28,2026-08-20,Closed,GBP,256800.0,28,BYR-1042,Manufacturing,false
PO-16784,SUP-3821,2026-07-14,2026-08-01,Closed,GBP,43900.75,11,BYR-3764,Procurement,true
PO-83265,SUP-6174,2026-07-02,2026-07-25,Closed,CAD,87400.0,17,BYR-5023,Facilities,true
PO-54931,SUP-9302,2026-06-18,2026-07-10,Pending,EUR,192300.5,22,BYR-1892,Manufacturing,true
PO-27408,SUP-2218,2026-06-03,2026-06-27,Pending,EUR,55670.0,13,BYR-2387,Facilities,true
PO-70913,SUP-5487,2026-05-20,2026-06-12,Closed,CAD,134500.0,19,BYR-4519,Manufacturing,true
PO-48127,SUP-7631,2026-05-08,2026-05-30,Pending,GBP,408900.0,41,BYR-1042,Facilities,false
PO-35694,SUP-4409,2026-04-22,2026-05-14,Closed,USD,29840.25,7,BYR-3764,Procurement,true
PO-62089,SUP-8823,2026-04-09,2026-05-01,Received,CAD,71250.0,16,BYR-5023,Manufacturing,false
PO-19374,SUP-1156,2026-03-25,2026-04-15,Closed,GBP,183600.0,24,BYR-1892,Procurement,true
PO-87542,SUP-3821,2026-03-10,2026-04-02,Draft,GBP,66800.5,10,BYR-2387,Operations,true
PO-41267,SUP-6174,2026-02-18,2026-03-10,Closed,CAD,224500.0,30,BYR-4519,Logistics,false
PO-75831,SUP-9302,2026-02-04,2026-02-25,Received,EUR,39150.75,8,BYR-1042,Operations,false
PO-58304,SUP-2218,2026-01-20,2026-02-10,Approved,USD,117900.0,18,BYR-3764,Manufacturing,true
PO-23619,SUP-5487,2026-01-07,2026-01-28,Pending,USD,52300.0,9,BYR-5023,IT,true
PO-96452,SUP-7631,2025-11-14,2025-12-05,Cancelled,GBP,345200.0,37,BYR-1892,Logistics,false
PO-31087,SUP-4409,2025-09-28,2025-10-20,Draft,GBP,88450.0,14,BYR-2387,Operations,false
PO-64739,SUP-8823,2025-09-10,2025-10-02,Closed,USD,41700.25,11,BYR-4519,Operations,true
PO-17523,SUP-1156,2024-12-05,2024-12-26,Closed,USD,278900.0,32,BYR-1042,Facilities,true
PO-80146,SUP-3821,2024-09-19,2024-10-10,Cancelled,GBP,59300.0,13,BYR-3764,Manufacturing,false
