supplier_item_id,supplier_id,item_id,supplier_part_number,negotiated_unit_cost,minimum_order_qty,lead_time_days,currency,is_preferred_supplier,is_active,effective_date
SI-3847,SUP-5102,ITM-7216,PRT-AX2291-BLK,47.85,100,14,USD,True,True,2023-06-01
SI-6203,SUP-4456,ITM-9173,VND-7364-CM450,312.5,25,21,USD,False,True,2023-09-15
SI-9145,SUP-2967,ITM-1589,MFG-2193-GX77,8.42,500,7,EUR,True,True,2024-01-10
SI-1728,SUP-7364,ITM-6603,SUP9057-HV-3301,1250.0,5,45,USD,True,True,2023-11-20
SI-5039,SUP-5102,ITM-9173,5538-BOLT-M12-SS,0.78,2000,10,USD,False,True,2023-08-05
SI-7462,SUP-2967,ITM-5941,3812-PCB-REV2C,89.99,50,28,USD,True,False,2022-12-01
SI-2891,SUP-2967,ITM-1589,6640-FLT-A4-PKG,3.15,1000,5,GBP,False,True,2024-02-18
SI-4317,SUP-2967,ITM-7216,1475-CAB-USB3-2M,6.5,250,12,USD,True,True,2023-07-22
SI-8756,SUP-5102,ITM-3405,8823-SRV-RK2U-48,4875.0,2,60,USD,True,True,2024-03-01
SI-3092,SUP-2967,ITM-6389,3309-SEAL-ORG-15,1.24,5000,8,USD,False,True,2023-10-14
SI-6584,SUP-3812,ITM-4821,7781-MTR-DC24V,215.75,10,35,EUR,True,True,2023-05-30
SI-1263,SUP-8823,ITM-4172,4456-LBL-THM-4X6,0.03,10000,3,USD,False,False,2022-11-07
SI-9820,SUP-8390,ITM-8740,2967-PUMP-HYD-200,638.0,8,30,USD,True,True,2024-01-25
SI-5471,SUP-2967,ITM-3648,5102-BRKT-STL-GZ,14.6,200,18,CAD,False,True,2023-04-11
SI-7039,SUP-9057,ITM-2764,8390-SENS-TEMP-PT,52.3,75,22,USD,True,True,2024-02-05
