shipment_id,freight_order_id,carrier_id,carrier_name,route_id,origin_city,origin_country,destination_city,destination_country,transport_mode,shipment_status,booked_date,planned_departure,actual_departure,planned_arrival,actual_arrival,planned_transit_days,actual_transit_days,delay_days,is_late,is_hazardous,total_weight_kg,freight_cost_usd,insurance_cost_usd,cost_per_kg,distance_km,on_time_flag
SHP-38472,FO-83741,CRR-5567,FastFreight Carriers,RTE-8826,Chicago,USA,Detroit,USA,Road,Delivered,2024-01-15,2024-01-16,2024-01-16,2024-01-19,2024-01-19,3,3,0,False,False,1245.5,3820.75,114.62,3.07,458,True
SHP-91053,FO-29156,CRR-2957,SkyRush Logistics,RTE-7581,Los Angeles,USA,London,UK,Air,In Transit,2024-11-02,2024-11-03,2024-11-03,2024-11-04,,,1,,False,False,320.8,9450.00,472.50,29.46,8757,
SHP-47839,FO-64802,CRR-3316,OceanBridge Freight,RTE-4821,New York,USA,Paris,France,Sea,Delivered,2023-08-10,2023-08-12,2023-08-13,2023-09-02,2023-09-04,21,23,2,True,False,18500.0,12300.50,615.03,0.67,6840,False
SHP-62714,FO-61594,CRR-5567,FastFreight Carriers,RTE-2195,Dallas,USA,Houston,USA,Road,Delayed,2024-03-22,2024-03-23,2024-03-24,2024-03-28,2024-04-02,5,10,5,True,True,870.3,2150.00,64.50,2.47,386,False
SHP-15926,FO-51374,CRR-7364,RailLink Express,RTE-8826,Chicago,USA,Denver,USA,Rail,Delivered,2023-11-18,2023-11-19,2023-11-19,2023-11-26,2023-11-26,7,7,0,False,False,4200.0,5600.00,280.00,1.33,1920,True
SHP-83401,FO-90483,CRR-7364,RailLink Express,RTE-4821,Miami,USA,Atlanta,USA,Road,Delivered,2024-06-05,2024-06-06,2024-06-06,2024-06-08,2024-06-08,2,2,0,False,False,560.0,1480.25,44.41,2.64,1063,True
SHP-29567,FO-37629,CRR-6079,AeroCargo Solutions,RTE-8826,Seattle,USA,Portland,USA,Air,Cancelled,2024-07-14,2024-07-15,,2024-07-16,,1,,,False,False,95.2,2800.00,140.00,29.41,280,
SHP-74182,FO-14567,CRR-8842,GlobalShip Inc.,RTE-9154,Los Angeles,USA,Tokyo,Japan,Sea,In Transit,2024-10-01,2024-10-03,2024-10-03,2024-10-31,,28,,0,True,False,32400.0,21500.00,1075.00,0.66,8756,
SHP-50934,FO-23759,CRR-8842,GlobalShip Inc.,RTE-2195,New York,USA,London,UK,Road,Delivered,2023-12-03,2023-12-04,2023-12-04,2023-12-08,2023-12-08,4,4,0,False,False,1875.6,4100.80,123.02,2.19,151,True
SHP-36285,FO-45821,CRR-1485,CrossContinent Rail,RTE-7581,Minneapolis,USA,Milwaukee,USA,Rail,Delivered,2024-02-28,2024-03-01,2024-03-01,2024-03-11,2024-03-11,10,10,0,False,False,9800.0,8750.00,437.50,0.89,540,True
SHP-11748,FO-31896,CRR-4821,MetroFreight Co.,RTE-2195,Charlotte,USA,Raleigh,USA,Road,Processing,2024-11-18,2024-11-19,2024-11-19,2024-11-22,,3,,0,False,False,430.0,1100.00,33.00,2.56,247,
SHP-67523,FO-79425,CRR-1485,CrossContinent Rail,RTE-4821,Los Angeles,USA,Singapore,Singapore,Air,Delivered,2024-04-17,2024-04-18,2024-04-18,2024-04-20,2024-04-20,2,2,0,False,True,210.4,6300.00,378.00,29.94,15581,True
SHP-93016,FO-46283,CRR-2957,SkyRush Logistics,RTE-2195,Miami,USA,Amsterdam,Netherlands,Sea,Delivered,2023-09-25,2023-09-27,2023-09-27,2023-10-15,2023-10-16,18,19,1,True,False,27600.0,17800.00,890.00,0.64,7700,False
SHP-44859,FO-73129,CRR-3316,OceanBridge Freight,RTE-2195,Dallas,USA,Toronto,Canada,Road,In Transit,2024-11-10,2024-11-11,2024-11-11,2024-11-17,,6,,0,False,False,1560.9,3275.50,98.27,2.10,2201,
SHP-78340,FO-58147,CRR-4821,MetroFreight Co.,RTE-2195,Nashville,USA,Louisville,USA,Rail,Delivered,2024-05-30,2024-05-31,2024-05-31,2024-06-09,2024-06-09,9,9,0,False,False,6300.0,7200.00,360.00,1.14,427,True
SHP-22691,FO-84931,CRR-4821,MetroFreight Co.,RTE-8826,Memphis,USA,Birmingham,USA,Road,Delayed,2024-08-22,2024-08-23,2024-08-23,2024-08-27,2024-09-01,4,9,5,True,True,740.0,1950.00,97.50,2.64,365,False
SHP-55174,FO-87265,CRR-3316,OceanBridge Freight,RTE-5517,Seattle,USA,Yokohama,Japan,Sea,Delivered,2023-10-14,2023-10-16,2023-10-16,2023-11-10,2023-11-10,25,25,0,False,False,15200.0,10400.00,520.00,0.68,8325,True
SHP-87463,FO-34572,CRR-3316,OceanBridge Freight,RTE-7364,New Orleans,USA,Rotterdam,Netherlands,Air,Delivered,2024-01-30,2024-01-31,2024-01-31,2024-02-01,2024-02-01,1,1,0,False,False,145.7,4350.00,217.50,29.86,8740,True
SHP-31082,FO-39167,CRR-7364,RailLink Express,RTE-2195,Cincinnati,USA,Pittsburgh,USA,Road,Processing,2024-11-20,2024-11-21,2024-11-21,2024-11-26,,5,,0,False,False,2100.0,4800.00,144.00,2.29,484,
SHP-69357,FO-18947,CRR-6079,AeroCargo Solutions,RTE-8826,Cleveland,USA,Buffalo,USA,Rail,Delivered,2024-03-08,2024-03-09,2024-03-09,2024-03-21,2024-03-21,12,12,0,False,False,11500.0,9900.00,495.00,0.86,315,True
