inspection_id,inspection_date,receipt_id,supplier_id,item_id,inspection_type,inspection_result,quantity_inspected,quantity_defective,defect_rate,inspector_id,is_passed
QI-38472,2024-03-15,GR-83160,SUP-7781,ITM-8740,Incoming,Accepted,500,8,1.6,INS-1042,True
QI-29156,2024-01-22,GR-34802,SUP-8823,ITM-5067,Incoming,Rejected,300,47,15.67,INS-2387,False
QI-51834,2024-05-08,GR-95274,SUP-6640,ITM-4172,Periodic,Accepted,750,12,1.6,INS-3751,True
QI-67203,2023-11-30,GR-63841,SUP-5538,ITM-4821,Incoming,Conditionally Accepted,200,14,7.0,INS-1042,True
QI-43918,2024-07-19,GR-21953,SUP-5102,ITM-4821,Incoming,Accepted,1000,5,0.5,INS-4609,True
QI-82647,2024-02-14,GR-61749,SUP-8390,ITM-4821,Audit,Rejected,450,72,16.0,INS-2387,False
QI-15390,2024-04-03,GR-90312,SUP-7781,ITM-5067,Incoming,Accepted,600,9,1.5,INS-3751,True
QI-74021,2023-12-11,GR-95274,SUP-4456,ITM-6389,Periodic,Accepted,250,3,1.2,INS-5823,True
QI-36854,2024-06-27,GR-79034,SUP-7781,ITM-9854,Incoming,Conditionally Accepted,800,52,6.5,INS-1042,True
QI-92475,2024-08-05,GR-58321,SUP-6640,ITM-3405,Incoming,Accepted,350,4,1.14,INS-4609,True
QI-58139,2024-03-28,GR-40638,SUP-3812,ITM-8740,Audit,Rejected,120,25,20.83,INS-2387,False
QI-21763,2024-09-14,GR-67831,SUP-6640,ITM-1589,Incoming,Accepted,900,11,1.22,INS-5823,True
QI-47390,2023-10-19,GR-34802,SUP-3812,ITM-5067,Periodic,Accepted,400,6,1.5,INS-3751,True
QI-63081,2024-10-02,GR-95274,SUP-2967,ITM-1589,Incoming,Conditionally Accepted,275,19,6.91,INS-1042,True
QI-85247,2024-01-08,GR-53978,SUP-5102,ITM-7394,Incoming,Rejected,500,88,17.6,INS-4609,False
QI-39672,2024-05-21,GR-34802,SUP-8390,ITM-9854,Audit,Accepted,650,7,1.08,INS-2387,True
QI-17548,2024-07-30,GR-90312,SUP-5102,ITM-2931,Incoming,Accepted,1200,18,1.5,INS-5823,True
QI-72934,2023-09-05,GR-31847,SUP-3812,ITM-5067,Periodic,Rejected,320,41,12.81,INS-3751,False
QI-50816,2024-11-10,GR-53978,SUP-9057,ITM-5067,Incoming,Accepted,480,5,1.04,INS-1042,True
QI-28403,2024-02-27,GR-67831,SUP-2967,ITM-5067,Incoming,Conditionally Accepted,700,43,6.14,INS-4609,True
QI-91257,2024-09-22,GR-68417,SUP-1475,ITM-5812,Audit,Accepted,550,8,1.45,INS-2387,True
QI-64182,2024-06-03,GR-53978,SUP-5102,ITM-9854,Incoming,Accepted,430,3,0.7,INS-5823,True
QI-33749,2023-12-28,GR-53978,SUP-3812,ITM-7394,Periodic,Rejected,260,38,14.62,INS-3751,False
QI-78560,2024-10-17,GR-63841,SUP-3812,ITM-6389,Incoming,Accepted,820,10,1.22,INS-1042,True
QI-46023,2024-08-29,GR-53978,SUP-5102,ITM-5812,Incoming,Conditionally Accepted,375,22,5.87,INS-4609,True
