proposal_id,proposal_date,item_id,supplier_id,warehouse_id,proposal_status,proposal_source,current_qty_on_hand,reorder_point_qty,proposed_order_qty,estimated_total_cost,po_id,is_auto_generated
ROP-84712,2026-09-01,ITM-3847,SUP-2291,WH-0441,PO Created,Manual Entry,142,300,500,18750.0,PO-66341,true
ROP-91053,2026-09-01,ITM-5512,SUP-4873,WH-0882,Rejected,Demand Forecast,58,150,300,9420.0,,false
ROP-77284,2026-09-01,ITM-1093,SUP-1156,WH-0231,Pending,Manual Entry,210,400,600,31200.0,,true
ROP-63841,2026-09-01,ITM-7724,SUP-3390,WH-0441,PO Created,Manual Entry,75,200,400,14800.0,PO-71284,true
ROP-50927,2026-09-01,ITM-4461,SUP-7712,WH-1105,Approved,Demand Forecast,380,350,200,6600.0,,true
ROP-48293,2026-08-22,ITM-2238,SUP-5541,WH-0882,Rejected,Demand Forecast,90,250,750,42375.0,PO-58821,true
ROP-39174,2026-08-14,ITM-8834,SUP-2291,WH-0231,Cancelled,MRP System,120,300,1000,53000.0,PO-44612,true
ROP-72651,2026-08-05,ITM-6617,SUP-8823,WH-1105,Approved,Demand Forecast,45,100,250,11250.0,PO-39047,false
ROP-28841,2026-07-18,ITM-3301,SUP-4873,WH-0441,Approved,Demand Forecast,30,150,500,27500.0,PO-29938,false
ROP-55109,2026-07-03,ITM-9912,SUP-1156,WH-0882,Approved,Manual Entry,195,300,600,39000.0,PO-61773,true
ROP-66438,2026-06-20,ITM-4780,SUP-3390,WH-0231,Rejected,Manual Entry,55,200,800,64000.0,PO-18847,true
ROP-17392,2026-06-08,ITM-2109,SUP-7712,WH-1105,PO Created,Demand Forecast,310,500,1200,86400.0,PO-52201,false
ROP-83017,2026-05-14,ITM-5512,SUP-5541,WH-0441,Rejected,Manual Entry,88,200,450,22500.0,PO-73819,true
ROP-24586,2026-04-27,ITM-7724,SUP-8823,WH-0882,PO Created,MRP System,170,350,700,49000.0,PO-81456,true
ROP-61743,2026-04-09,ITM-1093,SUP-2291,WH-1105,Approved,Demand Forecast,420,300,350,12250.0,,true
ROP-38820,2026-03-15,ITM-8834,SUP-4873,WH-0231,Rejected,MRP System,65,250,900,72000.0,PO-44098,true
ROP-92374,2026-02-28,ITM-6617,SUP-1156,WH-0441,Cancelled,Demand Forecast,112,200,350,19250.0,PO-67334,true
ROP-47018,2026-02-10,ITM-3301,SUP-3390,WH-0882,Pending,Demand Forecast,40,175,600,48000.0,PO-55792,true
ROP-13657,2026-01-22,ITM-9912,SUP-7712,WH-1105,Cancelled,Demand Forecast,220,400,800,56000.0,PO-38211,true
ROP-59482,2026-01-07,ITM-4461,SUP-5541,WH-0231,Cancelled,MRP System,85,250,500,27500.0,PO-91034,false
ROP-30294,2025-11-18,ITM-2238,SUP-8823,WH-0441,Pending,Demand Forecast,60,200,700,52500.0,PO-77841,false
ROP-71856,2025-08-04,ITM-4780,SUP-2291,WH-0882,Approved,Manual Entry,510,300,200,7800.0,,false
ROP-44531,2024-12-11,ITM-2109,SUP-4873,WH-1105,Approved,MRP System,105,350,1000,93000.0,PO-22948,false
