schedule_id,po_id,supplier_id,warehouse_id,scheduled_delivery_date,confirmed_delivery_date,actual_delivery_date,schedule_status,dock_door,expected_quantity,expected_pallets,days_early_late,is_on_time
SCH-7423,PO-83741,SUP-2814,WH-0391,2026-09-01,2026-09-01,2026-09-01,Delivered,D-05,1240,18,0,True
SCH-3856,PO-61029,SUP-4472,WH-0715,2026-09-01,2026-09-01,2026-09-01,Delivered,D-06,870,12,0,True
SCH-9104,PO-44583,SUP-1193,WH-0391,2026-09-01,2026-08-30,2026-09-01,Delivered,D-04,2100,30,0,True
SCH-5271,PO-77302,SUP-3367,WH-1042,2026-09-01,2026-09-01,2026-09-01,Delivered,D-07,560,8,0,True
SCH-6830,PO-29481,SUP-5589,WH-0715,2026-09-01,2026-09-01,2026-09-01,Delivered,D-02,1580,22,0,True
SCH-2947,PO-55817,SUP-7821,WH-2230,2026-09-01,2026-08-28,2026-09-01,Delivered,D-10,3200,45,0,True
SCH-1384,PO-90124,SUP-6640,WH-1042,2026-08-22,2026-08-21,2026-08-25,Delivered,D-05,950,14,3,False
SCH-8052,PO-13756,SUP-2814,WH-0391,2026-08-15,2026-08-15,2026-08-13,Delivered,D-01,1760,25,-2,True
SCH-4619,PO-68430,SUP-4472,WH-2230,2026-08-07,2026-08-07,2026-08-11,Delivered,D-01,420,6,4,False
SCH-7763,PO-34892,SUP-1193,WH-0715,2026-07-29,2026-07-28,2026-07-29,Delivered,D-08,2450,35,0,True
SCH-3091,PO-47215,SUP-9034,WH-1042,2026-07-14,2026-07-14,2026-07-16,Delivered,D-12,780,11,2,False
SCH-5548,PO-82067,SUP-5589,WH-0391,2026-06-30,2026-06-30,2026-06-30,Delivered,D-11,1320,19,0,True
SCH-8834,PO-19374,SUP-3367,WH-2230,2026-06-18,2026-06-17,2026-06-15,Delivered,D-09,690,10,-3,True
SCH-2206,PO-60548,SUP-7821,WH-0715,2026-05-22,2026-05-22,2026-05-27,Delivered,D-05,1890,27,5,False
SCH-6417,PO-25891,SUP-6640,WH-1042,2026-05-08,2026-05-08,2026-05-08,Delivered,D-01,1100,16,0,True
SCH-9882,PO-73106,SUP-9034,WH-0391,2026-04-15,2026-04-14,2026-04-14,Delivered,D-01,2750,39,-1,True
SCH-1765,PO-48623,SUP-2814,WH-2230,2026-03-27,2026-03-27,2026-03-29,Delivered,D-04,510,7,2,False
SCH-4338,PO-11947,SUP-4472,WH-0715,2026-02-19,2026-02-19,2026-02-19,Delivered,D-12,1640,23,0,True
SCH-7019,PO-86452,SUP-1193,WH-1042,2026-01-30,2026-01-29,2026-02-01,Delivered,D-12,930,13,2,False
SCH-3574,PO-52780,SUP-5589,WH-0391,2025-11-14,2025-11-13,2025-11-14,Delivered,D-10,2060,29,0,True
SCH-8291,PO-37164,SUP-3367,WH-2230,2025-08-22,2025-08-22,2025-08-26,Delivered,D-04,730,10,4,False
SCH-6053,PO-94308,SUP-7821,WH-0715,2024-12-09,2024-12-09,2024-12-07,Delivered,D-09,1470,21,-2,True
SCH-2718,PO-65831,SUP-6640,WH-1042,2024-10-03,2024-10-03,2024-10-07,Delivered,D-10,840,12,4,False
