fulfillment_event_id,event_date,order_id,warehouse_id,item_id,event_type,fulfillment_status,quantity_requested,quantity_fulfilled,fulfillment_rate,processing_time_mins,operator_id
FEV-38291,2024-03-15,ORD-74831,WH-2095,ITM-3648,PICK,Completed,120,120,100.0,18,OPR-5614
FEV-92047,2024-05-22,ORD-83920,WH-9142,ITM-3648,PACK,Completed,45,45,100.0,12,OPR-2287
FEV-10583,2024-01-09,ORD-61047,WH-9142,ITM-8327,SHIP,Completed,200,195,97.5,35,OPR-8831
FEV-55712,2024-07-04,ORD-29384,WH-9142,ITM-1589,RECEIVE,Completed,300,300,100.0,52,OPR-4409
FEV-74398,2023-11-18,ORD-54712,WH-4821,ITM-2764,PICK,Partial,80,63,78.75,22,OPR-7753
FEV-21864,2024-02-28,ORD-10948,WH-9142,ITM-2931,PACK,Completed,60,60,100.0,15,OPR-3362
FEV-66031,2024-06-11,ORD-77253,WH-9142,ITM-2931,SHIP,Completed,150,150,100.0,28,OPR-9918
FEV-47205,2023-12-03,ORD-38561,WH-4821,ITM-3648,RETURN,Completed,25,25,100.0,40,OPR-1145
FEV-83719,2024-04-17,ORD-92047,WH-9142,ITM-9173,PICK,Failed,90,0,0.0,8,OPR-6672
FEV-30146,2024-08-29,ORD-48309,WH-9142,ITM-6389,RECEIVE,Completed,500,498,99.6,75,OPR-5214
FEV-58437,2024-01-25,ORD-65823,WH-5537,ITM-4821,PACK,Completed,35,35,100.0,10,OPR-8843
FEV-19284,2024-03-08,ORD-71560,WH-2095,ITM-3648,SHIP,Partial,250,210,84.0,44,OPR-2290
FEV-72561,2024-09-14,ORD-53071,WH-7364,ITM-5941,PICK,Completed,75,75,100.0,20,OPR-4417
FEV-43892,2023-10-31,ORD-84619,WH-9142,ITM-3405,RETURN,Completed,10,10,100.0,30,OPR-7761
FEV-96150,2024-05-05,ORD-27834,WH-9142,ITM-2764,RECEIVE,Completed,400,400,100.0,68,OPR-3358
FEV-27483,2024-07-19,ORD-39201,WH-2095,ITM-3405,PICK,Completed,110,110,100.0,24,OPR-9905
FEV-61037,2024-02-14,ORD-58462,WH-9142,ITM-8327,PACK,Partial,180,155,86.11,33,OPR-1182
FEV-84726,2024-10-02,ORD-14785,WH-2095,ITM-8740,SHIP,Completed,55,55,100.0,19,OPR-6643
FEV-35918,2023-09-27,ORD-63590,WH-9142,ITM-3648,PICK,Completed,320,320,100.0,55,OPR-2271
FEV-50294,2024-08-08,ORD-91047,WH-9142,ITM-8740,RETURN,Failed,18,0,0.0,6,OPR-8854
FEV-13657,2024-04-30,ORD-47218,WH-9142,ITM-9173,RECEIVE,Completed,600,592,98.67,88,OPR-4430
FEV-78342,2024-06-26,ORD-32894,WH-2095,ITM-3648,PACK,Completed,95,95,100.0,17,OPR-7740
FEV-24871,2023-12-21,ORD-80563,WH-2095,ITM-9854,SHIP,Partial,140,112,80.0,38,OPR-3319
FEV-90163,2024-09-07,ORD-25671,WH-9142,ITM-4821,PICK,Completed,220,220,100.0,41,OPR-5598
FEV-67429,2024-11-15,ORD-69302,WH-2095,ITM-4172,RECEIVE,Completed,380,380,100.0,62,OPR-1167
