snapshot_date,item_id,item_name,item_category,warehouse_id,warehouse_name,warehouse_region,quantity_on_hand,quantity_reserved,quantity_available,reorder_point,safety_stock_qty,days_of_supply,is_below_reorder,is_below_safety_stock,avg_daily_demand,unit_cost_usd,total_value_usd,aging_bucket,slow_moving_flag,stockout_risk,last_receipt_date,next_po_expected_date,lead_time_days
2024-01-15,ITM-4821,Industrial Hydraulic Pump,Machinery Parts,WH-2095,Chicago Central Warehouse,North America,145,30,115,50,25,38,False,False,3.0,1250.00,181250,0-30 days,False,Low,2023-12-28,2024-02-10,14
2024-02-10,ITM-4821,Industrial Hydraulic Pump,Machinery Parts,WH-7364,Detroit Distribution Hub,North America,98,45,53,50,25,18,False,False,3.0,1250.00,122500,31-60 days,False,Medium,2024-01-15,2024-02-28,14
2024-03-05,ITM-4821,Industrial Hydraulic Pump,Machinery Parts,WH-7364,Detroit Distribution Hub,North America,42,20,22,50,25,7,True,False,3.0,1250.00,52500,0-30 days,False,High,2024-02-10,2024-03-15,14
2024-04-18,ITM-4821,Industrial Hydraulic Pump,Machinery Parts,WH-5537,Atlanta Fulfillment Center,North America,210,60,150,50,25,50,False,False,3.0,1250.00,262500,0-30 days,False,Low,2024-04-01,2024-05-20,14
2024-05-22,ITM-4821,Industrial Hydraulic Pump,Machinery Parts,WH-4821,Memphis Logistics Park,North America,35,10,25,50,25,8,True,False,3.0,1250.00,43750,0-30 days,False,High,2024-05-01,2024-06-10,14
2024-01-20,ITM-7394,Stainless Steel Fastener Set,Hardware,WH-4821,Memphis Logistics Park,North America,2500,400,2100,500,200,42,False,False,50.0,4.50,11250,0-30 days,False,Low,2024-01-05,2024-02-15,10
2024-02-14,ITM-7394,Stainless Steel Fastener Set,Hardware,WH-4821,Memphis Logistics Park,North America,320,100,220,500,200,4,True,False,50.0,4.50,1440,31-60 days,False,Critical,2024-01-20,2024-02-28,10
2024-03-08,ITM-7394,Stainless Steel Fastener Set,Hardware,WH-5537,Atlanta Fulfillment Center,North America,1750,250,1500,500,200,30,False,False,50.0,4.50,7875,0-30 days,False,Low,2024-02-28,2024-04-10,10
2024-04-25,ITM-7394,Stainless Steel Fastener Set,Hardware,WH-4821,Memphis Logistics Park,North America,480,50,430,500,200,9,True,False,50.0,4.50,2160,0-30 days,False,High,2024-03-08,2024-05-05,10
2024-05-30,ITM-7394,Stainless Steel Fastener Set,Hardware,WH-2095,Chicago Central Warehouse,North America,3100,600,2500,500,200,50,False,False,50.0,4.50,13950,0-30 days,False,Low,2024-05-10,2024-07-01,10
2024-02-05,ITM-2056,Medical Grade Latex Gloves,Medical Supplies,WH-4821,Memphis Logistics Park,North America,8000,1500,6500,2000,800,32,False,False,200.0,0.85,6800,0-30 days,False,Low,2024-01-20,2024-03-10,12
2024-03-12,ITM-2056,Medical Grade Latex Gloves,Medical Supplies,WH-5537,Atlanta Fulfillment Center,North America,1200,300,900,2000,800,5,True,True,200.0,0.85,1020,0-30 days,False,Critical,2024-02-05,2024-03-25,12
2024-04-01,ITM-2056,Medical Grade Latex Gloves,Medical Supplies,WH-2095,Chicago Central Warehouse,North America,5400,800,4600,2000,800,23,False,False,200.0,0.85,4590,0-30 days,False,Low,2024-03-12,2024-04-28,12
2024-01-28,ITM-9173,Polymer Resin Pellets,Raw Materials,WH-7364,Detroit Distribution Hub,North America,12000,3000,9000,4000,1500,18,False,False,500.0,1.20,14400,0-30 days,False,Medium,2024-01-10,2024-02-20,8
2024-03-15,ITM-9173,Polymer Resin Pellets,Raw Materials,WH-5537,Atlanta Fulfillment Center,North America,3200,800,2400,4000,1500,5,True,False,500.0,1.20,3840,0-30 days,False,Critical,2024-02-28,2024-03-28,8
2024-04-10,ITM-9173,Polymer Resin Pellets,Raw Materials,WH-2095,Chicago Central Warehouse,North America,18500,4500,14000,4000,1500,28,False,False,500.0,1.20,22200,0-30 days,False,Low,2024-03-28,2024-05-10,8
2024-02-20,ITM-3648,Heavy Duty Conveyor Belt,Industrial Equipment,WH-7364,Detroit Distribution Hub,North America,25,8,17,10,5,85,False,False,0.2,4800.00,120000,0-30 days,True,Low,2024-01-15,2024-04-10,30
2024-03-25,ITM-3648,Heavy Duty Conveyor Belt,Industrial Equipment,WH-4821,Memphis Logistics Park,North America,7,3,4,10,5,20,True,False,0.2,4800.00,33600,31-60 days,False,High,2024-02-20,2024-04-20,30
2024-01-10,ITM-5812,Electronic Control Module,Electronics,WH-2095,Chicago Central Warehouse,North America,560,120,440,100,40,88,False,False,5.0,320.00,179200,0-30 days,True,Low,2023-12-20,2024-03-01,21
2024-04-05,ITM-5812,Electronic Control Module,Electronics,WH-2095,Chicago Central Warehouse,North America,85,40,45,100,40,9,True,False,5.0,320.00,27200,0-30 days,False,High,2024-03-01,2024-04-20,21
2024-02-28,ITM-1247,Precision Ball Bearing 6205,Mechanical Components,WH-7364,Detroit Distribution Hub,North America,3800,700,3100,1000,400,62,False,False,50.0,8.75,33250,0-30 days,False,Low,2024-02-10,2024-04-01,18
2024-05-14,ITM-1247,Precision Ball Bearing 6205,Mechanical Components,WH-7364,Detroit Distribution Hub,North America,820,200,620,1000,400,12,True,False,50.0,8.75,7175,0-30 days,False,High,2024-04-01,2024-05-25,18
2024-03-20,ITM-6389,Alkaline Battery Pack AA,Consumer Electronics,WH-5537,Atlanta Fulfillment Center,North America,14500,2000,12500,3000,1000,50,False,False,250.0,2.40,34800,0-30 days,False,Low,2024-03-01,2024-05-05,15
2024-04-12,ITM-8740,Safety Hardhat Type II,Safety Equipment,WH-2095,Chicago Central Warehouse,North America,640,90,550,150,60,44,False,False,12.5,18.50,11840,0-30 days,False,Low,2024-04-01,2024-06-01,14
2024-05-08,ITM-8740,Safety Hardhat Type II,Safety Equipment,WH-9142,Dallas Regional Depot,North America,110,50,60,150,60,5,True,False,12.5,18.50,2035,0-30 days,False,Critical,2024-04-12,2024-05-22,14
2024-01-30,ITM-2931,Forklift Propane Cylinder,Warehouse Equipment,WH-9142,Dallas Regional Depot,North America,72,12,60,20,8,30,False,False,2.0,145.00,10440,0-30 days,False,Low,2024-01-15,2024-03-01,20
