spend_transaction_id,po_id,supplier_id,transaction_date,spend_category,cost_center,currency,spend_amount,tax_amount,discount_amount,payment_status
TXN-48291,PO-73814,SUP-2947,2026-09-01,MRO Supplies,CC-Maintenance-06,CAD,142500.0,12825.0,2850.0,Under Review
TXN-61047,PO-58203,SUP-4182,2026-09-01,Contract Labor,CC-Finance-05,EUR,38750.0,3487.5,775.0,Under Review
TXN-83502,PO-91647,SUP-7361,2026-09-01,Packaging Materials,CC-Logistics-03,EUR,67300.0,13460.0,3365.0,Cancelled
TXN-29438,PO-34782,SUP-8514,2026-09-01,Packaging Materials,CC-Finance-05,CAD,21400.0,1926.0,428.0,Pending
TXN-57803,PO-62091,SUP-3076,2026-09-01,Contract Labor,CC-Logistics-03,CAD,95000.0,8550.0,4750.0,Under Review
TXN-14726,PO-47390,SUP-6293,2026-09-01,Logistics & Freight,CC-Maintenance-06,GBP,18650.0,1678.5,0.0,Pending
TXN-92014,PO-85127,SUP-1849,2026-09-01,IT Equipment,CC-HR-08,CAD,54200.0,4878.0,5420.0,Paid
TXN-36851,PO-21563,SUP-5728,2026-09-01,Software Licenses,CC-Technology-02,CAD,29300.0,2637.0,0.0,Disputed
TXN-70293,PO-68940,SUP-9034,2026-08-22,Professional Services,CC-Facilities-07,CAD,215800.0,19422.0,6474.0,Paid
TXN-48630,PO-39271,SUP-2471,2026-08-15,Software Licenses,CC-Legal-09,CAD,87400.0,7866.0,0.0,Cancelled
TXN-25917,PO-52804,SUP-6817,2026-08-08,Logistics & Freight,CC-Finance-05,CAD,43600.0,8720.0,1308.0,Pending
TXN-63748,PO-14926,SUP-3592,2026-07-29,Packaging Materials,CC-Maintenance-06,CAD,16900.0,1521.0,845.0,Paid
TXN-81402,PO-76318,SUP-4905,2026-07-14,Logistics & Freight,CC-Legal-09,CAD,128700.0,11583.0,9652.5,Paid
TXN-39265,PO-43057,SUP-7240,2026-07-03,Raw Materials,CC-HR-08,USD,22150.0,1993.5,443.0,Pending
TXN-54089,PO-29684,SUP-8163,2026-06-20,Professional Services,CC-Logistics-03,EUR,175000.0,15750.0,8750.0,Pending
TXN-17834,PO-61492,SUP-2384,2026-06-05,Software Licenses,CC-Finance-05,GBP,304500.0,60900.0,15225.0,Paid
TXN-90571,PO-87253,SUP-5617,2026-05-18,Professional Services,CC-Operations-04,EUR,48300.0,4347.0,2415.0,Pending
TXN-42617,PO-35870,SUP-9481,2026-05-07,Raw Materials,CC-HR-08,CAD,62800.0,5652.0,0.0,Under Review
TXN-68293,PO-54139,SUP-1726,2026-04-22,Software Licenses,CC-Operations-04,CAD,91200.0,8208.0,0.0,Disputed
TXN-31508,PO-72846,SUP-6039,2026-04-10,Raw Materials,CC-Maintenance-06,CAD,55700.0,5013.0,1671.0,Cancelled
TXN-75840,PO-18374,SUP-3857,2026-03-28,IT Equipment,CC-Legal-09,CAD,189600.0,17064.0,5688.0,Disputed
TXN-20163,PO-96520,SUP-4713,2026-03-12,Contract Labor,CC-Technology-02,GBP,31450.0,4088.5,944.0,Under Review
TXN-58374,PO-40685,SUP-8296,2026-02-19,Software Licenses,CC-Operations-04,USD,120000.0,10800.0,6000.0,Disputed
TXN-84726,PO-23917,SUP-5142,2026-02-04,IT Equipment,CC-Manufacturing-01,CAD,245300.0,22077.0,12265.0,Cancelled
TXN-13945,PO-80461,SUP-7684,2026-01-17,Facilities Management,CC-Manufacturing-01,CAD,27800.0,2502.0,556.0,Under Review
TXN-47382,PO-65234,SUP-2068,2025-11-13,Contract Labor,CC-Finance-05,USD,378200.0,34038.0,18910.0,Disputed
TXN-65819,PO-48702,SUP-9325,2025-08-27,Utilities,CC-HR-08,EUR,74500.0,6705.0,2235.0,Disputed
TXN-29074,PO-11859,SUP-6470,2025-01-08,Utilities,CC-Manufacturing-01,USD,108700.0,9783.0,0.0,Pending
