shipment_line_id,shipment_id,po_line_id,item_id,shipment_date,quantity_shipped,quantity_damaged,unit_of_measure,line_status
SHL-48291,SHP-83741,POL-29384,ITM-57821,2026-09-01,240,2,EACH,Received with Exceptions
SHL-73812,SHP-83741,POL-29385,ITM-34920,2026-09-01,500,0,CASE,Cancelled
SHL-91047,SHP-74920,POL-38471,ITM-82910,2026-09-01,120,5,EACH,Received with Exceptions
SHL-20384,SHP-74920,POL-38472,ITM-66104,2026-09-01,300,0,PALLET,Partially Received
SHL-55931,SHP-61083,POL-44812,ITM-91203,2026-09-01,85,1,EACH,Delivered
SHL-67204,SHP-92847,POL-57293,ITM-47381,2026-08-27,1000,20,EACH,Received with Exceptions
SHL-38410,SHP-92847,POL-57294,ITM-20948,2026-08-27,75,0,CASE,Partially Received
SHL-14827,SHP-50391,POL-63481,ITM-38201,2026-08-19,400,8,EACH,Partially Received
SHL-82039,SHP-50391,POL-63482,ITM-55739,2026-08-19,150,0,PALLET,Partially Received
SHL-39471,SHP-37284,POL-72018,ITM-10384,2026-08-11,600,0,EACH,Partially Received
SHL-50182,SHP-37284,POL-72019,ITM-74820,2026-08-11,200,3,CASE,Cancelled
SHL-61739,SHP-28471,POL-81920,ITM-29047,2026-07-30,350,0,EACH,Delivered
SHL-27493,SHP-28471,POL-81921,ITM-63820,2026-07-30,90,6,PALLET,Partially Received
SHL-84720,SHP-19384,POL-90234,ITM-84729,2026-07-15,720,0,EACH,Partially Received
SHL-19283,SHP-19384,POL-90235,ITM-51023,2026-07-15,480,12,EACH,Cancelled
SHL-72019,SHP-84720,POL-10293,ITM-38472,2026-06-28,180,0,CASE,Cancelled
SHL-43820,SHP-84720,POL-10294,ITM-92847,2026-06-28,60,0,PALLET,Partially Received
SHL-56284,SHP-73920,POL-24810,ITM-17384,2026-06-10,900,15,EACH,Cancelled
SHL-30192,SHP-73920,POL-24811,ITM-40293,2026-06-10,270,0,EACH,Cancelled
SHL-81473,SHP-64831,POL-38291,ITM-65920,2026-05-22,1200,0,EACH,Partially Received
SHL-24019,SHP-64831,POL-38292,ITM-28401,2026-05-22,320,4,CASE,Received with Exceptions
SHL-93847,SHP-53720,POL-49203,ITM-73840,2026-04-30,540,0,EACH,Received with Exceptions
SHL-47201,SHP-53720,POL-49204,ITM-89203,2026-04-30,110,0,PALLET,Partially Received
SHL-68293,SHP-42017,POL-56784,ITM-32918,2026-03-18,800,30,EACH,Delivered
SHL-15920,SHP-42017,POL-56785,ITM-48203,2026-03-18,450,0,EACH,Delivered
SHL-79384,SHP-30192,POL-67291,ITM-61039,2026-02-05,660,0,CASE,Cancelled
SHL-36018,SHP-30192,POL-67292,ITM-24819,2026-02-05,90,9,PALLET,Delivered
SHL-52847,SHP-21847,POL-78302,ITM-56284,2026-01-20,380,0,EACH,Received with Exceptions
SHL-10293,SHP-21847,POL-78303,ITM-79203,2026-01-20,210,0,EACH,Delivered
SHL-87492,SHP-10293,POL-89103,ITM-43018,2025-11-14,750,10,EACH,Cancelled
SHL-63019,SHP-10293,POL-89104,ITM-87293,2025-11-14,190,0,CASE,Received with Exceptions
SHL-28401,SHP-98374,POL-94820,ITM-30192,2025-08-03,520,0,EACH,Cancelled
SHL-49203,SHP-98374,POL-94821,ITM-58201,2025-08-03,130,7,PALLET,Delivered
SHL-71830,SHP-87492,POL-10284,ITM-19384,2024-12-09,440,0,EACH,Delivered
