po_line_id,po_id,item_id,po_date,supplier_id,quantity_ordered,quantity_received,unit_cost,line_total,unit_of_measure,line_status,id,line,purchase_order,item
POL-83471,PO-29384,ITM-5521,2026-09-01,SUP-7741,500,500,14.75,7375.0,KG,Received,10021,2,23140,5521
POL-93812,PO-29384,ITM-6302,2026-09-01,SUP-7741,250,200,28.4,7100.0,M,Cancelled,10022,2,28819,5533
POL-74205,PO-31057,ITM-4418,2026-09-01,SUP-3390,1200,1200,3.6,4320.0,EA,Cancelled,10023,1,31057,2245
POL-61843,PO-28819,ITM-7755,2026-08-21,SUP-5582,75,75,210.0,15750.0,M,Closed,10024,2,28819,6302
POL-55630,PO-28819,ITM-8834,2026-08-21,SUP-5582,40,40,87.5,3500.0,EA,Cancelled,10025,1,26108,6641
POL-47291,PO-27643,ITM-3301,2026-07-14,SUP-1127,3000,3000,1.25,3750.0,M,Open,10026,1,31204,5533
POL-38857,PO-27643,ITM-9921,2026-07-14,SUP-1127,800,750,6.8,5440.0,M,Cancelled,10027,1,26108,1190
POL-29473,PO-26108,ITM-2245,2026-06-05,SUP-8863,100,100,345.0,34500.0,LB,Partially Received,10028,1,27643,6302
POL-18564,PO-26108,ITM-1137,2026-06-05,SUP-8863,50,0,520.0,26000.0,EA,Closed,10029,2,26108,8834
POL-67024,PO-25391,ITM-6670,2026-05-19,SUP-4456,600,600,9.15,5490.0,M,Open,10030,1,22487,7714
POL-72381,PO-24755,ITM-5089,2026-04-08,SUP-2219,150,150,67.3,10095.0,EA,Partially Received,10031,2,22487,1137
POL-84902,PO-24755,ITM-3348,2026-04-08,SUP-2219,200,200,44.8,8960.0,KG,Open,10032,2,31057,2278
POL-91657,PO-23140,ITM-7823,2026-03-22,SUP-6634,2500,2500,0.88,2200.0,EA,Open,10033,1,31204,2278
POL-53318,PO-22487,ITM-4562,2026-02-11,SUP-9971,80,80,185.0,14800.0,KG,Closed,10034,2,26108,6641
POL-44782,PO-21903,ITM-8810,2026-01-29,SUP-3390,400,400,22.6,9040.0,M,Received,10035,2,20318,2278
POL-36194,PO-20318,ITM-1190,2025-11-14,SUP-7741,60,60,412.0,24720.0,KG,Partially Received,10036,2,21903,5521
POL-27045,PO-19762,ITM-6641,2025-09-30,SUP-5582,1000,1000,5.45,5450.0,EA,Cancelled,10037,1,22487,5533
POL-19836,PO-18504,ITM-2278,2025-07-07,SUP-1127,320,300,15.9,5088.0,KG,Open,10038,1,26108,4418
POL-88423,PO-31204,ITM-5533,2026-09-01,SUP-4456,90,0,299.0,26910.0,LB,Closed,10039,1,24755,6641
POL-76519,PO-31204,ITM-7714,2026-09-01,SUP-4456,450,0,11.2,5040.0,LB,Received,10040,2,27643,4418
