transaction_id,transaction_date,transaction_type,item_id,location_id,warehouse_id,quantity_change,quantity_before,quantity_after,unit_cost,total_cost_impact,reference_id,created_by
TXN-84712,2026-09-01,RECEIPT,ITM-30284,LOC-A12,WH-4401,250,120,370,47.85,11962.5,PO-92841,Marcus Rivera
TXN-61093,2026-09-01,SHIPMENT,ITM-11547,LOC-B07,WH-2215,-80,340,260,132.5,-10600.0,ORD-47329,Priya Nair
TXN-73856,2026-09-01,ADJUSTMENT,ITM-20093,LOC-C03,WH-4401,-15,198,183,22.1,-331.5,ADJ-10573,Darnell Washington
TXN-29481,2026-09-01,TRANSFER,ITM-45611,LOC-D15,WH-3308,60,85,145,88.0,5280.0,TRF-20041,Svetlana Kuznetsova
TXN-55274,2026-09-01,RETURN,ITM-67832,LOC-A05,WH-2215,30,410,440,215.75,6472.5,RET-88412,Fatima Al-Hassan
TXN-38104,2026-09-01,CYCLE_COUNT,ITM-33920,LOC-B11,WH-5509,5,200,205,64.3,321.5,CC-30091,Jerome Baptiste
TXN-90217,2026-09-01,SHIPMENT,ITM-78441,LOC-E02,WH-3308,-120,500,380,310.0,-37200.0,ORD-58817,Aiko Tanaka
TXN-14659,2026-08-22,RECEIPT,ITM-52107,LOC-C09,WH-5509,400,50,450,18.45,7380.0,PO-77643,Carlos Mendez
TXN-47823,2026-08-15,ADJUSTMENT,ITM-11547,LOC-B07,WH-2215,-22,362,340,132.5,-2915.0,ADJ-10589,Priya Nair
TXN-63501,2026-07-30,TRANSFER,ITM-29374,LOC-F04,WH-4401,-100,300,200,55.2,-5520.0,TRF-20038,Nguyen Thi Lan
TXN-80334,2026-07-14,RECEIPT,ITM-84562,LOC-A01,WH-4401,175,30,205,420.0,73500.0,PO-68291,Marcus Rivera
TXN-22917,2026-06-28,SHIPMENT,ITM-33920,LOC-B11,WH-5509,-50,250,200,64.3,-3215.0,ORD-40182,Jerome Baptiste
TXN-51748,2026-06-10,RETURN,ITM-45611,LOC-D15,WH-3308,12,73,85,88.0,1056.0,RET-87004,Alicia Fontaine
TXN-39056,2026-05-19,CYCLE_COUNT,ITM-67832,LOC-A05,WH-2215,-8,418,410,215.75,-1726.0,CC-29877,Fatima Al-Hassan
TXN-76182,2026-04-25,RECEIPT,ITM-20093,LOC-C03,WH-4401,500,0,500,22.1,11050.0,PO-61084,Darnell Washington
TXN-48309,2026-03-31,SHIPMENT,ITM-78441,LOC-E02,WH-3308,-200,700,500,310.0,-62000.0,ORD-33019,Aiko Tanaka
TXN-27645,2026-03-12,ADJUSTMENT,ITM-52107,LOC-C09,WH-5509,18,432,450,18.45,332.1,ADJ-10521,Carlos Mendez
TXN-91043,2026-02-18,TRANSFER,ITM-84562,LOC-A01,WH-4401,-75,205,130,420.0,-31500.0,TRF-19987,Svetlana Kuznetsova
TXN-65827,2026-01-29,RECEIPT,ITM-29374,LOC-F04,WH-4401,300,0,300,55.2,16560.0,PO-55308,Nguyen Thi Lan
TXN-34712,2025-12-10,SHIPMENT,ITM-30284,LOC-A12,WH-4401,-90,210,120,47.85,-4306.5,ORD-28741,Marcus Rivera
TXN-58290,2025-10-04,CYCLE_COUNT,ITM-11547,LOC-B07,WH-2215,10,352,362,132.5,1325.0,CC-28814,Priya Nair
TXN-17463,2025-09-22,RETURN,ITM-20093,LOC-C03,WH-4401,25,475,500,22.1,552.5,RET-85312,Alicia Fontaine
TXN-82614,2024-11-15,RECEIPT,ITM-67832,LOC-A05,WH-2215,600,0,600,215.75,129450.0,PO-41728,Fatima Al-Hassan
