spend_transaction_id,po_id,supplier_id,transaction_date,spend_category,cost_center,currency,spend_amount,tax_amount,discount_amount,payment_status
TXN-83041,PO-96174,SUP-8823,2024-01-15,Raw Materials,CC-4821,USD,48750.0,3900.0,975.0,Paid
TXN-29174,PO-53867,SUP-8823,2024-02-03,Logistics & Freight,CC-4821,USD,12300.0,984.0,246.0,Paid
TXN-56803,PO-65480,SUP-2193,2024-02-18,MRO Supplies,CC-6142,EUR,7825.5,626.04,0.0,Paid
TXN-41297,PO-89432,SUP-4821,2024-03-07,Packaging Materials,CC-4821,USD,23400.0,1872.0,468.0,Paid
TXN-67520,PO-41685,SUP-8823,2024-03-22,IT Equipment,CC-6142,USD,95600.0,7648.0,4780.0,Pending
TXN-18435,PO-13847,SUP-2193,2024-04-10,Professional Services,CC-4821,USD,34500.0,2760.0,690.0,Paid
TXN-93762,PO-82359,SUP-3309,2024-04-25,Facilities Management,CC-4821,GBP,18750.0,3750.0,0.0,Paid
TXN-35089,PO-65480,SUP-8823,2024-05-08,Raw Materials,CC-4821,USD,72300.0,5784.0,1446.0,Paid
TXN-74316,PO-53867,SUP-7364,2024-05-20,Office Supplies,CC-5507,USD,3240.0,259.2,64.8,Paid
TXN-52648,PO-96174,SUP-2193,2024-06-04,Chemical Supplies,CC-6142,USD,41800.0,3344.0,836.0,Paid
TXN-86923,PO-11596,SUP-4821,2024-06-17,Logistics & Freight,CC-6142,USD,15900.0,1272.0,318.0,Overdue
TXN-10574,PO-65480,SUP-4456,2024-07-02,Industrial Equipment,CC-4821,EUR,128500.0,25700.0,6425.0,Paid
TXN-47831,PO-13847,SUP-8390,2024-07-15,MRO Supplies,CC-6142,USD,9670.0,773.6,0.0,Paid
TXN-63205,PO-96174,SUP-7781,2024-07-28,Packaging Materials,CC-8839,USD,31200.0,2496.0,624.0,Pending
TXN-29847,PO-37026,SUP-9057,2024-08-12,Safety Equipment,CC-2688,USD,18450.0,1476.0,369.0,Paid
TXN-71493,PO-47205,SUP-5538,2024-08-25,Raw Materials,CC-6142,USD,64800.0,5184.0,1296.0,Paid
TXN-38016,PO-65480,SUP-3309,2024-09-09,IT Services,CC-4821,USD,42000.0,3360.0,2100.0,Paid
TXN-85742,PO-96174,SUP-2967,2024-09-22,Facilities Management,CC-4821,GBP,22600.0,4520.0,0.0,Paid
TXN-54189,PO-96174,SUP-2193,2024-10-07,Chemical Supplies,CC-5507,USD,53700.0,4296.0,1074.0,Paid
TXN-20863,PO-11596,SUP-3309,2024-10-18,Professional Services,CC-5507,USD,28500.0,2280.0,570.0,Pending
TXN-97354,PO-73508,SUP-9057,2024-11-04,Office Supplies,CC-9415,USD,5120.0,409.6,102.4,Paid
TXN-43607,PO-74831,SUP-8823,2024-11-19,Industrial Equipment,CC-4821,EUR,87300.0,17460.0,4365.0,Paid
TXN-16290,PO-96174,SUP-7781,2024-12-03,Safety Equipment,CC-4821,USD,14200.0,1136.0,284.0,Overdue
TXN-68431,PO-96174,SUP-8823,2024-12-16,Logistics & Freight,CC-4821,USD,19850.0,1588.0,397.0,Paid
TXN-32975,PO-96174,SUP-3309,2025-01-08,Raw Materials,CC-6142,USD,91500.0,7320.0,1830.0,Paid
TXN-79148,PO-96174,SUP-4456,2025-01-22,IT Equipment,CC-1953,USD,67400.0,5392.0,3370.0,Pending
TXN-25063,PO-49712,SUP-2193,2025-02-10,Packaging Materials,CC-5507,USD,26800.0,2144.0,536.0,Paid
TXN-58712,PO-96174,SUP-6640,2025-02-24,MRO Supplies,CC-6142,USD,11350.0,908.0,227.0,Paid
