transfer_id,transfer_date,item_id,from_warehouse_id,to_warehouse_id,transfer_status,quantity_requested,quantity_shipped,quantity_received,transfer_cost,expected_arrival_date,is_urgent
TRF-8472,2024-01-15,ITM-4172,WH-4821,WH-5537,Completed,500,500,498,1250.0,2024-01-18,False
TRF-3156,2024-02-03,ITM-9173,WH-9142,WH-5537,Completed,200,200,200,875.5,2024-02-07,False
TRF-9023,2024-02-18,ITM-9173,WH-5537,WH-5537,In Transit,350,350,0,1640.75,2024-02-22,True
TRF-5841,2024-03-05,ITM-9173,WH-2095,WH-4821,Completed,1000,1000,995,3200.0,2024-03-09,False
TRF-2794,2024-03-22,ITM-7216,WH-2095,WH-4821,Completed,750,740,740,2180.25,2024-03-26,False
TRF-6317,2024-04-08,ITM-7216,WH-2095,WH-2095,Cancelled,300,0,0,0.0,2024-04-12,False
TRF-1082,2024-04-17,ITM-5067,WH-5537,WH-5537,Completed,450,450,450,1875.0,2024-04-21,True
TRF-7563,2024-05-02,ITM-4821,WH-4821,WH-4821,Completed,600,600,597,2450.5,2024-05-06,False
TRF-4290,2024-05-19,ITM-3405,WH-5537,WH-5537,Partially Received,800,800,650,3100.0,2024-05-23,True
TRF-8831,2024-06-04,ITM-3648,WH-5537,WH-5537,Completed,250,250,250,925.75,2024-06-08,False
TRF-3647,2024-06-21,ITM-4821,WH-5537,WH-5537,Completed,1200,1200,1198,4750.0,2024-06-25,False
TRF-9914,2024-07-09,ITM-9173,WH-4821,WH-7364,In Transit,400,400,0,1520.25,2024-07-13,True
TRF-2158,2024-07-25,ITM-5941,WH-9142,WH-4821,Completed,550,550,548,2075.0,2024-07-29,False
TRF-5473,2024-08-12,ITM-9173,WH-2095,WH-4821,Completed,900,900,900,3680.5,2024-08-16,False
TRF-7826,2024-08-29,ITM-5812,WH-7364,WH-5537,Cancelled,150,0,0,0.0,2024-09-02,False
TRF-1349,2024-09-14,ITM-1589,WH-2095,WH-2095,Completed,700,700,696,2890.0,2024-09-18,True
TRF-6082,2024-09-30,ITM-2764,WH-2095,WH-9142,Partially Received,1100,1100,900,4125.75,2024-10-04,False
TRF-3715,2024-10-17,ITM-5941,WH-5537,WH-9142,Completed,325,325,325,1380.0,2024-10-21,False
TRF-8264,2024-11-01,ITM-2764,WH-7364,WH-4821,In Transit,480,480,0,1960.25,2024-11-05,True
TRF-4937,2024-11-18,ITM-4821,WH-2095,WH-5537,Completed,850,845,845,3215.5,2024-11-22,False
TRF-2601,2024-12-03,ITM-3648,WH-9142,WH-2095,Completed,620,620,618,2540.0,2024-12-07,False
TRF-7148,2024-12-19,ITM-1589,WH-4821,WH-9142,Pending,275,0,0,0.0,2024-12-23,True
TRF-5389,2025-01-07,ITM-2056,WH-4821,WH-7364,Completed,430,430,430,1720.75,2025-01-11,False
TRF-9672,2025-01-23,ITM-4172,WH-5537,WH-2095,In Transit,960,960,0,3840.0,2025-01-27,True
TRF-1856,2025-02-10,ITM-4821,WH-9142,WH-4821,Pending,510,0,0,0.0,2025-02-14,False
