invoice_id,supplier_invoice_number,po_id,supplier_id,invoice_date,due_date,invoice_status,currency,gross_amount,tax_amount,discount_amount,net_amount,days_to_pay,is_3way_matched
INV-38291,SI-2024-00847,PO-47205,SUP-1475,2024-01-15,2024-02-14,Paid,USD,47250.0,3780.0,945.0,50085.0,28,True
INV-74563,SI-2024-01203,PO-20364,SUP-1475,2024-02-03,2024-03-04,Paid,USD,128400.0,10272.0,2568.0,136104.0,30,True
INV-51847,SI-2024-00391,PO-74831,SUP-8390,2024-03-11,2024-04-10,Approved,EUR,63750.0,5100.0,0.0,68850.0,45,True
INV-29034,SI-2024-00655,PO-91053,SUP-5538,2024-04-07,2024-05-07,Paid,USD,89500.0,7160.0,1790.0,94870.0,22,True
INV-63712,SI-2024-02014,PO-65480,SUP-4456,2024-04-22,2024-05-22,Under Review,GBP,34200.0,6840.0,0.0,41040.0,0,False
INV-80156,SI-2024-01588,PO-41685,SUP-7781,2024-05-09,2024-06-08,Paid,USD,215000.0,17200.0,4300.0,227900.0,18,True
INV-47823,SI-2024-00972,PO-49712,SUP-3812,2024-05-28,2024-06-27,Approved,USD,52800.0,4224.0,1056.0,55968.0,35,True
INV-15490,SI-2024-03301,PO-11596,SUP-7781,2024-06-14,2024-07-14,Disputed,CAD,41600.0,2080.0,0.0,43680.0,0,False
INV-92374,SI-2024-02756,PO-13847,SUP-2193,2024-07-02,2024-08-01,Paid,USD,176300.0,14104.0,3526.0,186878.0,25,True
INV-38056,SI-2024-01145,PO-89432,SUP-9057,2024-07-19,2024-08-18,Paid,USD,68900.0,5512.0,689.0,73723.0,30,True
INV-56218,SI-2024-04002,PO-20364,SUP-7781,2024-08-05,2024-09-04,Approved,EUR,93400.0,7472.0,1868.0,99004.0,42,True
INV-71039,SI-2024-03489,PO-56719,SUP-8390,2024-08-21,2024-09-20,Cancelled,USD,27500.0,2200.0,0.0,29700.0,0,False
INV-24867,SI-2024-02831,PO-91053,SUP-8390,2024-09-10,2024-10-10,Paid,USD,154700.0,12376.0,3094.0,163982.0,19,True
INV-48593,SI-2024-05117,PO-74831,SUP-7781,2024-09-25,2024-10-25,Under Review,GBP,58300.0,11660.0,1166.0,68794.0,0,False
INV-83741,SI-2024-04623,PO-89432,SUP-4456,2024-10-08,2024-11-07,Paid,USD,312500.0,25000.0,6250.0,331250.0,27,True
INV-19265,SI-2024-03768,PO-78346,SUP-9057,2024-10-23,2024-11-22,Approved,USD,76100.0,6088.0,1522.0,80666.0,38,True
INV-60438,SI-2024-06204,PO-49712,SUP-2967,2024-11-05,2024-12-05,Paid,CAD,49850.0,2493.0,997.0,51346.0,21,True
INV-35907,SI-2024-05559,PO-82359,SUP-7781,2024-11-18,2024-12-18,Disputed,EUR,87600.0,7008.0,0.0,94608.0,0,False
INV-72184,SI-2024-07031,PO-11596,SUP-9057,2024-12-02,2025-01-01,Approved,USD,138200.0,11056.0,2764.0,146492.0,55,True
INV-44629,SI-2025-00112,PO-65480,SUP-5102,2025-01-14,2025-02-13,Paid,USD,225000.0,18000.0,4500.0,238500.0,16,True
INV-98053,SI-2025-00388,PO-65480,SUP-4456,2025-02-07,2025-03-09,Under Review,USD,61400.0,4912.0,0.0,66312.0,0,False
INV-27416,SI-2025-00541,PO-11596,SUP-7781,2025-03-01,2025-03-31,Approved,GBP,104500.0,20900.0,2090.0,123310.0,48,True
