transaction_id,date,product_category,units_sold,unit_selling_price,unit_cost_of_goods,revenue,cost_of_goods_sold,gross_profit,gross_profit_margin,operating_expenses,operating_profit,net_profit,net_profit_margin
TXN-1000,2025-10-02,Industrial,5,24474.12,14554.52,122370.59999999999,72772.6,49597.999999999985,0.40530977211846625,24474.12,25123.879999999986,19847.86519999999,0.16219471997358836
TXN-1001,2025-04-20,Electronics,12,15248.36,9737.47,182980.32,116849.63999999998,66130.68000000002,0.36140870231290456,32936.46,33194.22000000002,26223.43380000002,0.1433128644654246
TXN-1002,2025-02-16,Electronics,3,14800.94,8225.74,44402.82,24677.22,19725.6,0.4442420548965133,7992.51,11733.089999999998,9269.141099999999,0.20875118066825482
TXN-1003,2025-04-25,Packaging,2,4261.48,2034.47,8522.96,4068.94,4454.019999999999,0.5225907431221077,1107.98,3346.0399999999986,2643.371599999999,0.3101471319823159
TXN-1004,2025-04-24,Electronics,19,15256.62,8189.26,289875.78,155595.94,134279.84000000003,0.4632323542173824,52177.64,82102.20000000003,64860.73800000003,0.22375356092185425
TXN-1005,2025-03-15,Electronics,18,16075.41,8621.3,289357.38,155183.4,134173.98,0.4636964158301406,52084.33,82089.65000000001,64850.82350000001,0.22412016413751054
TXN-1006,2025-04-03,Electronics,19,14425.45,9569.03,274083.55,181811.57,92271.97999999998,0.3366563954677323,49335.04,42936.93999999998,33920.182599999986,0.12375854953717576
TXN-1007,2025-02-19,Electronics,19,15213.61,8438.17,289058.59,160325.23,128733.36000000002,0.4453538640730241,52030.55,76702.81000000001,60595.21990000001,0.20962954223225128
TXN-1008,2025-12-15,Electronics,19,13678.8,8470.73,259897.19999999998,160943.87,98953.32999999999,0.38074026961429364,46781.5,52171.82999999999,41215.74569999999,0.15858480083663848
TXN-1009,2025-08-21,Packaging,25,3851.32,2237.65,96283.0,55941.25,40341.75,0.41899141073709795,12516.79,27824.96,21981.7184,0.2283032144823074
TXN-1010,2025-05-05,Industrial,10,23742.13,14975.25,237421.30000000002,149752.5,87668.80000000002,0.3692541486378855,47484.26,40184.540000000015,31745.786600000014,0.1337107774239296
TXN-1011,2025-06-25,Electronics,19,14400.75,8991.21,273614.25,170832.99,102781.26000000001,0.3756429352637884,49250.56,53530.70000000001,42289.25300000001,0.15455793329477543
TXN-1012,2025-09-20,Packaging,10,4087.17,2012.21,40871.7,20122.1,20749.6,0.5076764607295513,5313.32,15436.279999999999,12194.6612,0.29836442330512314
TXN-1013,2025-09-08,Packaging,6,4205.71,2046.87,25234.260000000002,12281.22,12953.040000000003,0.5133116643800928,3280.45,9672.590000000004,7641.346100000003,0.3028163338255214
TXN-1014,2025-10-13,Packaging,2,4369.62,2014.15,8739.24,4028.3,4710.94,0.5390560277552738,1136.1,3574.8399999999997,2824.1236,0.32315437040291833
TXN-1015,2025-10-24,Industrial,11,25976.48,16301.98,285741.27999999997,179321.78,106419.49999999997,0.3724330625242526,57148.26,49271.23999999997,38924.27959999998,0.13622210833520443
TXN-1016,2025-08-31,Packaging,3,4271.97,2395.66,12815.91,7186.98,5628.93,0.4392142266916669,1666.07,3962.8600000000006,3130.6594000000005,0.24427913429479456
TXN-1017,2025-10-23,Electronics,2,15693.48,8657.29,31386.96,17314.58,14072.379999999997,0.44835116239355444,5649.65,8422.729999999998,6653.956699999999,0.2119974887660353
TXN-1018,2025-06-27,Packaging,10,4173.3,2370.3,41733.0,23703.0,18030.0,0.4320322047300697,5425.29,12604.71,9957.7209,0.2386054417367551
TXN-1019,2025-09-10,Electronics,15,14566.39,9199.66,218495.84999999998,137994.9,80500.94999999998,0.3684323981439464,39329.25,41171.69999999998,32525.64299999999,0.14886160538060558
TXN-1020,2025-05-07,Electronics,7,15804.7,8332.81,110632.90000000001,58329.67,52303.23000000001,0.47276379811068864,19913.92,32389.310000000012,25587.55490000001,0.23128341478891007
TXN-1021,2025-03-27,Packaging,13,4333.45,2198.46,56334.85,28579.98,27754.87,0.4926767356263485,7323.53,20431.34,16140.758600000001,0.2865146281564609
TXN-1022,2025-08-09,Packaging,13,4039.55,2368.69,52514.15,30792.97,21721.18,0.4136252800435692,6826.84,14894.34,11766.528600000001,0.22406396371263748
TXN-1023,2025-07-14,Industrial,23,24576.48,15548.07,565259.04,357605.61,207653.43000000005,0.3673597683638992,113051.81,94601.62000000005,74735.27980000005,0.13221421421230176
TXN-1024,2025-12-04,Apparel,5,3208.09,1674.47,16040.45,8372.35,7668.1,0.4780476856946033,1924.85,5743.25,4537.1675000000005,0.2828578687006911
TXN-1025,2025-05-15,Apparel,1,3489.47,1832.08,3489.47,1832.08,1657.3899999999999,0.47496897809696026,418.74,1238.6499999999999,978.5334999999999,0.2804246776731137
TXN-1026,2025-11-09,Industrial,1,23228.38,16110.69,23228.38,16110.69,7117.6900000000005,0.3064221439463277,4645.68,2472.01,1952.8879000000002,0.08407335767711739
TXN-1027,2025-11-13,Industrial,5,25952.47,16049.57,129762.35,80247.85,49514.5,0.38157832375877904,25952.47,23562.03,18614.0037,0.14344687576943543
TXN-1028,2025-12-15,Electronics,15,16198.6,9503.95,242979.0,142559.25,100419.75,0.4132857160495351,43736.22,56683.53,44779.9887,0.18429571567913278
TXN-1029,2025-11-21,Packaging,13,3919.18,2025.56,50949.34,26332.28,24617.059999999998,0.48316739726167207,6623.41,17993.649999999998,14214.983499999998,0.2790023089602338
TXN-1030,2025-08-14,Packaging,2,3752.49,2413.25,7504.98,4826.5,2678.4799999999996,0.356893689257,975.65,1702.8299999999995,1345.2356999999997,0.1792457408280901
TXN-1031,2025-01-01,Apparel,4,3388.04,1638.93,13552.16,6555.72,6996.44,0.5162601386052112,1626.26,5370.179999999999,4242.4421999999995,0.31304546286348445
TXN-1032,2025-01-14,Apparel,18,3221.03,1750.9,57978.54,31516.2,26462.34,0.4564161153419869,6957.42,19504.92,15408.8868,0.2657687965236793
TXN-1033,2025-11-21,Electronics,28,14123.86,8777.21,395468.08,245761.87999999998,149706.20000000004,0.3785544461641507,71184.25,78521.95000000004,62032.340500000035,0.1568580212592633
TXN-1034,2025-03-01,Industrial,12,25511.4,15917.28,306136.80000000005,191007.36000000002,115129.44000000003,0.3760718737505586,61227.36,53902.08000000003,42582.64320000003,0.13909678026294134
