id,date,type,status,counterparty_type,supplier,shipment,item,reason_code,closed_date,amount_filed,amount_paid,days_open
1,2026-06-15,warranty,resolved,customer,12,1,11,short_ship,2026-06-20,743.62,54.06,24.23
2,2026-01-09,deduction,resolved,customer,9,2,10,spec_fail,2026-02-07,1066.67,1019.2,21.84
3,2025-11-24,deduction,open,supplier,12,3,7,concealed_damage,,1267.93,0.0,15.99
4,2026-07-21,insurance,denied,customer,14,4,12,short_ship,2026-08-19,675.12,0.0,26.12
5,2025-02-26,warranty,denied,supplier,9,5,13,spec_fail,2025-04-03,757.23,0.0,17.45
6,2024-08-11,warranty,denied,supplier,12,6,1,late_delivery,2024-08-31,249.57,0.0,5.52
7,2026-04-11,shortage,approved,customer,10,7,8,concealed_damage,2026-04-28,2090.42,121.03,7.48
8,2025-05-22,chargeback,resolved,customer,7,8,7,spec_fail,2025-07-04,590.55,544.54,26.05
9,2026-05-16,shortage,denied,customer,7,9,12,concealed_damage,2026-05-28,3028.87,0.0,13.23
10,2025-03-11,damage,open,supplier,12,10,6,temperature_excursion,,152.19,0.0,24.72
11,2024-09-27,warranty,approved,customer,3,11,14,temperature_excursion,2024-10-24,2642.07,2163.59,7.5
12,2026-04-22,chargeback,resolved,customer,7,12,9,temperature_excursion,2026-05-14,2444.0,1845.22,3.39
13,2025-06-26,warranty,resolved,customer,6,13,8,concealed_damage,2025-07-08,2908.36,411.24,7.91
14,2024-10-11,shortage,denied,carrier,8,14,7,spec_fail,2024-10-18,3740.7,0.0,27.25
15,2025-10-03,shortage,resolved,supplier,11,15,7,concealed_damage,2025-11-04,2121.13,646.31,9.6
16,2026-01-08,warranty,resolved,supplier,5,16,8,late_delivery,2026-01-31,2853.5,571.84,1.52
17,2025-08-28,shortage,resolved,customer,3,17,8,temperature_excursion,2025-09-25,3104.46,1062.35,8.54
18,2024-10-21,insurance,denied,carrier,1,18,10,short_ship,2024-10-29,1446.2,0.0,18.98
19,2025-10-21,warranty,open,customer,12,19,12,concealed_damage,,3234.98,0.0,5.81
20,2026-04-12,deduction,approved,customer,11,20,9,concealed_damage,2026-05-22,1704.79,1481.63,18.64
21,2025-05-14,deduction,approved,carrier,9,21,12,temperature_excursion,2025-06-04,221.95,82.23,29.2
22,2026-06-29,chargeback,approved,customer,6,22,6,temperature_excursion,2026-08-06,3101.88,994.77,23.91
23,2026-02-11,shortage,resolved,supplier,14,23,4,concealed_damage,2026-02-21,532.39,426.81,10.0
24,2025-01-28,warranty,denied,carrier,13,24,6,temperature_excursion,2025-02-27,3518.26,0.0,29.42
25,2025-02-01,warranty,denied,carrier,3,25,2,temperature_excursion,2025-03-08,1829.33,0.0,23.79
26,2026-07-11,shortage,resolved,customer,7,26,6,spec_fail,2026-08-20,2577.84,904.31,26.93
27,2025-05-19,insurance,approved,carrier,11,27,13,short_ship,2025-05-29,2829.2,1025.59,28.2
28,2026-05-03,damage,denied,carrier,2,28,3,spec_fail,2026-05-28,2655.76,0.0,21.98
29,2025-10-31,shortage,open,customer,5,29,6,short_ship,,2691.81,0.0,12.19
30,2025-12-24,warranty,open,carrier,5,30,6,late_delivery,,534.9,0.0,4.31
31,2024-11-04,damage,denied,carrier,14,31,7,concealed_damage,2024-11-09,196.1,0.0,19.38
32,2026-04-29,chargeback,denied,supplier,13,32,5,concealed_damage,2026-06-13,2246.91,0.0,5.29
33,2025-09-05,insurance,approved,carrier,2,33,1,temperature_excursion,2025-09-09,3125.7,2445.86,27.18
34,2025-01-02,warranty,denied,supplier,3,34,8,late_delivery,2025-01-19,1319.3,0.0,22.2
35,2026-07-24,damage,resolved,carrier,6,35,3,short_ship,2026-07-26,2749.56,765.48,28.24
36,2026-07-10,insurance,denied,supplier,7,36,5,temperature_excursion,2026-07-31,2464.29,0.0,22.9
37,2024-08-27,insurance,denied,supplier,12,37,8,spec_fail,2024-10-07,1801.39,0.0,7.94
38,2025-03-21,shortage,denied,supplier,14,38,1,late_delivery,2025-03-25,3091.77,0.0,16.31
39,2025-12-30,shortage,denied,supplier,8,39,13,short_ship,2026-01-05,3301.56,0.0,6.55
40,2025-12-18,shortage,resolved,customer,6,40,13,short_ship,2025-12-30,3077.74,987.03,14.16
