item_id,warehouse_id,snapshot_date,item_name,item_category,age_bucket,qty_0_30_days,qty_31_90_days,qty_91_180_days,qty_over_180_days,total_qty_on_hand,total_inventory_value,slow_moving_value
ITM-4821,WH-4821,2024-01-31,Industrial Ball Bearing 6205,Mechanical Components,0-30 days,320,145,60,25,550,12650.0,1955.0
ITM-7394,WH-7364,2024-01-31,Hydraulic Seal Kit HS-200,Seals & Gaskets,31-90 days,88,210,95,42,435,21750.0,6835.0
ITM-2056,WH-2095,2024-02-29,PVC Conduit 1-inch x 10ft,Electrical Supplies,0-30 days,540,320,115,75,1050,8925.0,1615.0
ITM-9173,WH-5537,2024-02-29,Stainless Steel Hex Bolt M12,Fasteners,91-180 days,1200,850,430,180,2660,5320.0,1220.0
ITM-3648,WH-9142,2024-03-31,Pneumatic Actuator PA-500,Automation Components,0-30 days,45,30,12,8,95,47500.0,10000.0
ITM-5812,WH-4821,2024-03-31,Copper Cable 12AWG 500ft Roll,Electrical Supplies,31-90 days,75,120,55,20,270,32400.0,9000.0
ITM-1247,WH-7364,2024-04-30,Safety Gloves Nitrile XL,Personal Protective Equipment,over 180 days,300,200,150,400,1050,10500.0,5500.0
ITM-6389,WH-2095,2024-04-30,Air Filter Element AF-110,Filtration,0-30 days,185,95,40,15,335,16750.0,2750.0
ITM-8740,WH-5537,2024-05-31,Electric Motor 5HP 3-Phase,Motors & Drives,91-180 days,12,18,22,9,61,91500.0,46500.0
ITM-2931,WH-9142,2024-05-31,Lubricating Grease 400g Cartridge,Lubricants,31-90 days,220,310,90,45,665,9975.0,2025.0
ITM-5067,WH-4821,2024-06-30,Polypropylene Pallet 48x40,Material Handling,0-30 days,150,80,35,20,285,28500.0,5500.0
ITM-7216,WH-7364,2024-06-30,HDPE Drum 55-Gallon,Containers & Packaging,over 180 days,60,90,70,130,350,24500.0,14000.0
ITM-3405,WH-2095,2024-07-31,Pressure Gauge 0-150 PSI,Instrumentation,31-90 days,95,140,55,30,320,19200.0,5100.0
ITM-9854,WH-5537,2024-07-31,Conveyor Belt 18in x 50ft,Conveyor Systems,0-30 days,22,15,8,5,50,75000.0,19500.0
ITM-4172,WH-9142,2024-08-31,Thread Seal Tape PTFE 1/2in,Seals & Gaskets,over 180 days,500,350,200,650,1700,5100.0,2550.0
ITM-6603,WH-4821,2024-08-31,LED High Bay Light 150W,Lighting,91-180 days,40,55,70,25,190,38000.0,19000.0
ITM-1589,WH-7364,2024-09-30,Forklift Battery 48V 500Ah,Power & Batteries,0-30 days,8,5,3,2,18,54000.0,15000.0
ITM-8327,WH-2095,2024-09-30,Stretch Wrap Film 18in x 1500ft,Containers & Packaging,31-90 days,250,380,120,50,800,14400.0,3060.0
ITM-2764,WH-5537,2024-10-31,Solenoid Valve 1/2in NPT 24VDC,Fluid Control,0-30 days,65,40,18,10,133,26600.0,5600.0
ITM-5941,WH-9142,2024-10-31,Anti-Static ESD Bag 12x16in,Packaging Materials,over 180 days,800,600,400,950,2750,8250.0,4075.0
ITM-4821,WH-7364,2024-11-30,Industrial Ball Bearing 6205,Mechanical Components,31-90 days,180,260,80,35,555,12765.0,2645.0
ITM-3648,WH-4821,2024-11-30,Pneumatic Actuator PA-500,Automation Components,91-180 days,28,22,30,11,91,45500.0,20500.0
ITM-9173,WH-2095,2024-12-31,Stainless Steel Hex Bolt M12,Fasteners,0-30 days,1450,720,310,140,2620,5240.0,900.0
